N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,13.653388025005881,0.000328741,0.000328741
3.0,3.0,0,0,3.0,0,14.533288472886836,0.00027981,0.00027981
4.0,4.0,0,0,4.0,0,15.34585363784592,0.000256131,0.000256131
5.0,5.0,0,0,5.0,0,15.378899798748183,0.00026756800000000004,0.00026756800000000004
6.0,6.0,0,0,6.0,0,15.636067309225314,0.0002518,0.0002518
7.0,7.0,0,0,7.0,0,15.69179510436352,0.000261744,0.000261744
8.0,8.0,0,0,8.0,0,16.061125148123956,0.000364923,0.000364923
9.0,9.0,0,0,9.0,0,16.08042510920533,0.000275322,0.000275322
10.0,10.0,0,0,10.0,0,16.155594977983508,0.000250373,0.000250373
11.0,11.0,0,0,11.0,0,16.28536676693082,0.000254038,0.000254038
12.0,12.0,0,0,12.0,0,16.621449432466047,0.0005101880000000001,0.0005101880000000001
13.0,13.0,0,0,13.0,0,16.528997394958946,0.00027906000000000003,0.00027906000000000003
14.0,14.0,0,0,14.0,0,17.228628199812434,0.000272331,0.000272331
15.0,15.0,0,0,15.0,0,17.899597328908946,0.001086699,0.001086699
16.0,16.0,0,0,16.0,0,17.60730096934675,0.000297013,0.000297013
17.0,17.0,0,0,17.0,0,18.321318871098477,0.000275548,0.000275548
18.0,18.0,0,0,18.0,0,18.437356706646376,0.000292789,0.000292789
19.0,19.0,0,0,19.0,0,18.75446102978985,0.0014397420000000001,0.0014397420000000001
20.0,20.0,0,0,20.0,0,18.624038006548208,0.000542736,0.000542736
21.0,21.0,0,0,21.0,0,18.757476416896232,0.000523528,0.000523528
22.0,22.0,0,0,22.0,0,19.2041679368888,0.00042095500000000004,0.00042095500000000004
23.0,23.0,0,0,23.0,0,19.000660821371206,0.00042852000000000005,0.00042852000000000005
24.0,24.0,0,0,24.0,0,19.4689129801913,0.0005513390000000001,0.0005513390000000001
25.0,25.0,0,0,25.0,0,19.281607903957884,0.00033861000000000004,0.00033861000000000004
26.0,26.0,0,0,26.0,0,19.609530114009843,0.000337152,0.000337152
27.0,27.0,0,0,27.0,0,19.4604055282985,0.00044642700000000005,0.00044642700000000005
28.0,28.0,0,0,28.0,0,19.830387308520493,0.00036260800000000005,0.00036260800000000005
29.0,29.0,0,0,29.0,0,19.702783588076404,0.000345852,0.000345852
30.0,30.0,0,0,30.0,0,19.87836001646028,0.00035206900000000005,0.00035206900000000005
31.0,31.0,0,0,31.0,0,19.836419072413992,0.00036278600000000003,0.00036278600000000003
32.0,32.0,0,0,32.0,0,19.961577817564567,0.00036320300000000004,0.00036320300000000004
33.0,33.0,0,0,33.0,0,19.93537166156245,0.000407921,0.000407921
34.0,34.0,0,0,34.0,0,20.226989215822222,0.000406499,0.000406499
35.0,35.0,0,0,35.0,0,20.10235143011732,0.00041141400000000003,0.00041141400000000003
36.0,36.0,0,0,36.0,0,20.31824772167959,0.000459132,0.000459132
37.0,37.0,0,0,37.0,0,20.432393688161994,0.000426201,0.000426201
38.0,38.0,0,0,38.0,0,20.410249988124775,0.001360892,0.001360892
39.0,39.0,0,0,39.0,0,20.639285589553012,0.000707499,0.000707499
40.0,40.0,0,0,40.0,0,21.1196132360309,0.000471269,0.000471269
41.0,41.0,0,0,41.0,0,20.839462940510842,0.00044446400000000005,0.00044446400000000005
42.0,42.0,0,0,42.0,0,21.062855825204174,0.0005139330000000001,0.0005139330000000001
