N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,14.368657327190729,0.000383359,0.000383359
3.0,3.0,0,0,3.0,0,14.083876025492044,0.00044519700000000004,0.00044519700000000004
4.0,4.0,0,0,4.0,0,15.000028372832006,0.000358719,0.000358719
5.0,5.0,0,0,5.0,0,14.63161186199251,0.00027573100000000003,0.00027573100000000003
6.0,6.0,0,0,6.0,0,15.200894046319045,0.000245825,0.000245825
7.0,7.0,0,0,7.0,0,15.180773110736467,0.00026348800000000004,0.00026348800000000004
8.0,8.0,0,0,8.0,0,15.175094390556275,0.0009115140000000001,0.0009115140000000001
9.0,9.0,0,0,9.0,0,16.436366838030597,0.000259915,0.000259915
10.0,10.0,0,0,10.0,0,15.222745762799171,0.00024683100000000004,0.00024683100000000004
11.0,11.0,0,0,11.0,0,16.77203283357947,0.00031481900000000004,0.00031481900000000004
12.0,12.0,0,0,12.0,0,16.14924391972927,0.000349309,0.000349309
13.0,13.0,0,0,13.0,0,16.717138112625477,0.000268441,0.000268441
14.0,14.0,0,0,14.0,0,16.455976731408455,0.001424869,0.001424869
15.0,15.0,0,0,15.0,0,18.49775463054793,0.000283964,0.000283964
16.0,16.0,0,0,16.0,0,16.425550768583825,0.000333968,0.000333968
17.0,17.0,0,0,17.0,0,17.805767895305536,0.001194472,0.001194472
18.0,18.0,0,0,18.0,0,17.384201058919945,0.00041419600000000003,0.00041419600000000003
19.0,19.0,0,0,19.0,0,17.965279323406968,0.000405461,0.000405461
20.0,20.0,0,0,20.0,0,17.542673227752815,0.00035960800000000003,0.00035960800000000003
21.0,21.0,0,0,21.0,0,17.932227977022684,0.000429971,0.000429971
22.0,22.0,0,0,22.0,0,17.746543812877057,0.000610418,0.000610418
23.0,23.0,0,0,23.0,0,17.969851449153154,0.000457184,0.000457184
24.0,24.0,0,0,24.0,0,18.346364753618307,0.000430615,0.000430615
25.0,25.0,0,0,25.0,0,17.82470612992992,0.000349515,0.000349515
26.0,26.0,0,0,26.0,0,18.965164736350246,0.0010721740000000002,0.0010721740000000002
27.0,27.0,0,0,27.0,0,17.970034941234577,0.000340408,0.000340408
