N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,13.180472419544271,0.12231151200000001,0.12231151200000001
3.0,3.0,0,0,3.0,0,14.668587397781117,0.000253064,0.000253064
4.0,4.0,0,0,4.0,0,15.181918389086084,0.00029782500000000004,0.00029782500000000004
5.0,5.0,0,0,5.0,0,15.405341879318845,0.00025702,0.00025702
6.0,6.0,0,0,6.0,0,15.410894412765792,0.00045144900000000003,0.00045144900000000003
7.0,7.0,0,0,7.0,0,15.774080913891197,0.000255205,0.000255205
8.0,8.0,0,0,8.0,0,16.043506785733594,0.00025708400000000003,0.00025708400000000003
9.0,9.0,0,0,9.0,0,16.075348026024443,0.0008875150000000001,0.0008875150000000001
10.0,10.0,0,0,10.0,0,16.015937053989823,0.000392722,0.000392722
11.0,11.0,0,0,11.0,0,16.237708789383205,0.000299311,0.000299311
12.0,12.0,0,0,12.0,0,16.538566433894708,0.00035386900000000004,0.00035386900000000004
13.0,13.0,0,0,13.0,0,16.637407866756092,0.00029999700000000003,0.00029999700000000003
14.0,14.0,0,0,14.0,0,16.989712274497442,0.000301114,0.000301114
15.0,15.0,0,0,15.0,0,17.973786569731676,0.000281933,0.000281933
16.0,16.0,0,0,16.0,0,18.138285961793162,0.000284658,0.000284658
17.0,17.0,0,0,17.0,0,18.239510870600064,0.00034139500000000003,0.00034139500000000003
18.0,18.0,0,0,18.0,0,18.44507805993361,0.0012885610000000001,0.0012885610000000001
19.0,19.0,0,0,19.0,0,18.67617827952324,0.000496191,0.000496191
20.0,20.0,0,0,20.0,0,18.762312756170072,0.000513448,0.000513448
21.0,21.0,0,0,21.0,0,18.799161524917483,0.0006686130000000001,0.0006686130000000001
22.0,22.0,0,0,22.0,0,19.011967364507733,0.000526947,0.000526947
23.0,23.0,0,0,23.0,0,19.1679024806549,0.000531643,0.000531643
24.0,24.0,0,0,24.0,0,19.38916256562719,0.000351554,0.000351554
25.0,25.0,0,0,25.0,0,19.410356123296218,0.00038160200000000004,0.00038160200000000004
26.0,26.0,0,0,26.0,0,19.412058133179883,0.000359635,0.000359635
27.0,27.0,0,0,27.0,0,19.55229389386148,0.00036858100000000004,0.00036858100000000004
28.0,28.0,0,0,28.0,0,19.79498191829596,0.000384316,0.000384316
29.0,29.0,0,0,29.0,0,19.852244731173002,0.00039364200000000004,0.00039364200000000004
30.0,30.0,0,0,30.0,0,19.891237930484422,0.00040319300000000004,0.00040319300000000004
31.0,31.0,0,0,31.0,0,19.98370716728725,0.000582336,0.000582336
32.0,32.0,0,0,32.0,0,20.000402966148698,0.00041054100000000005,0.00041054100000000005
