N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,13.900412674154946,0.00033778700000000004,0.00033778700000000004
3.0,3.0,0,0,3.0,0,14.475339870957225,0.000328824,0.000328824
4.0,4.0,0,0,4.0,0,15.424700958898418,0.000430453,0.000430453
5.0,5.0,0,0,5.0,0,15.132553887541773,0.00026946200000000004,0.00026946200000000004
6.0,6.0,0,0,6.0,0,15.904877413122623,0.00025735600000000003,0.00025735600000000003
7.0,7.0,0,0,7.0,0,15.617291360006734,0.0007373600000000001,0.0007373600000000001
8.0,8.0,0,0,8.0,0,16.017746857905973,0.000251167,0.000251167
9.0,9.0,0,0,9.0,0,16.29534211968577,0.00047389400000000004,0.00047389400000000004
10.0,10.0,0,0,10.0,0,15.813027232406524,0.000470156,0.000470156
11.0,11.0,0,0,11.0,0,16.726272807929586,0.00047179100000000005,0.00047179100000000005
12.0,12.0,0,0,12.0,0,16.71030138456938,0.00035140700000000003,0.00035140700000000003
13.0,13.0,0,0,13.0,0,16.518716638195922,0.00028859700000000003,0.00028859700000000003
14.0,14.0,0,0,14.0,0,16.841961193999083,0.00031770400000000003,0.00031770400000000003
15.0,15.0,0,0,15.0,0,18.528882722771783,0.00033823100000000004,0.00033823100000000004
16.0,16.0,0,0,16.0,0,17.060478950525845,0.00027862300000000003,0.00027862300000000003
17.0,17.0,0,0,17.0,0,17.800301421817334,0.00031451600000000004,0.00031451600000000004
18.0,18.0,0,0,18.0,0,18.20732027980813,0.00032768600000000005,0.00032768600000000005
19.0,19.0,0,0,19.0,0,18.593091362179027,0.00127385,0.00127385
20.0,20.0,0,0,20.0,0,18.336348088003888,0.0005281330000000001,0.0005281330000000001
21.0,21.0,0,0,21.0,0,18.642591432449784,0.000663926,0.000663926
22.0,22.0,0,0,22.0,0,18.937443385621783,0.0006992210000000001,0.0006992210000000001
23.0,23.0,0,0,23.0,0,18.936360454740676,0.000444934,0.000444934
24.0,24.0,0,0,24.0,0,19.331624980363095,0.000441817,0.000441817
25.0,25.0,0,0,25.0,0,18.842131946483235,0.000435349,0.000435349
26.0,26.0,0,0,26.0,0,19.833766493260473,0.00033713300000000004,0.00033713300000000004
27.0,27.0,0,0,27.0,0,18.88110398844942,0.000386029,0.000386029
28.0,28.0,0,0,28.0,0,19.864037763479335,0.000567777,0.000567777
29.0,29.0,0,0,29.0,0,19.38556783491915,0.000352436,0.000352436
30.0,30.0,0,0,30.0,0,20.00945228285743,0.00035883700000000003,0.00035883700000000003
31.0,31.0,0,0,31.0,0,19.21529915439319,0.000359301,0.000359301
32.0,32.0,0,0,32.0,0,20.221157580514635,0.000362603,0.000362603
33.0,33.0,0,0,33.0,0,19.46620264594388,0.000573887,0.000573887
34.0,34.0,0,0,34.0,0,20.5571616266772,0.000420254,0.000420254
35.0,35.0,0,0,35.0,0,19.753567596401208,0.000468084,0.000468084
36.0,36.0,0,0,36.0,0,20.49192907535632,0.00045487100000000003,0.00045487100000000003
37.0,37.0,0,0,37.0,0,20.340437882390255,0.000419999,0.000419999
38.0,38.0,0,0,38.0,0,20.401004986893845,0.00044396,0.00044396
39.0,39.0,0,0,39.0,0,20.452603877900675,0.00043716400000000003,0.00043716400000000003
40.0,40.0,0,0,40.0,0,21.022523227256183,0.000437527,0.000437527
41.0,41.0,0,0,41.0,0,20.58435422459489,0.00044944,0.00044944
42.0,42.0,0,0,42.0,0,20.634561275238713,0.00045730600000000004,0.00045730600000000004
43.0,43.0,0,0,43.0,0,21.146039806781275,0.000457404,0.000457404
44.0,44.0,0,0,44.0,0,20.835154623726083,0.000461615,0.000461615
45.0,45.0,0,0,45.0,0,20.92844457525647,0.00047540600000000005,0.00047540600000000005
46.0,46.0,0,0,46.0,0,21.03111173801224,0.00048161600000000003,0.00048161600000000003
47.0,47.0,0,0,47.0,0,21.45542382122165,0.000483749,0.000483749
48.0,48.0,0,0,48.0,0,20.890158691166544,0.000494073,0.000494073
49.0,49.0,0,0,49.0,0,21.135813257821138,0.000503188,0.000503188
50.0,50.0,0,0,50.0,0,21.164973650392934,0.0005122890000000001,0.0005122890000000001
