N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,15.806520244440211,0.000300096,0.000300096
3.0,3.0,0,0,3.0,0,15.859351883786152,0.000237857,0.000237857
4.0,4.0,0,0,4.0,0,15.853035120363732,0.000276202,0.000276202
5.0,5.0,0,0,5.0,0,15.879192734886782,0.00023410100000000001,0.00023410100000000001
6.0,6.0,0,0,6.0,0,16.689681521831726,0.000278202,0.000278202
7.0,7.0,0,0,7.0,0,16.774289277265567,0.00033698100000000003,0.00033698100000000003
8.0,8.0,0,0,8.0,0,18.136088742734234,0.000375572,0.000375572
9.0,9.0,0,0,9.0,0,18.05299863325925,0.0009462790000000001,0.0009462790000000001
10.0,10.0,0,0,10.0,0,18.831474194461514,0.000305273,0.000305273
11.0,11.0,0,0,11.0,0,18.755119935426976,0.000267412,0.000267412
12.0,12.0,0,0,12.0,0,18.981968242780905,0.000267035,0.000267035
13.0,13.0,0,0,13.0,0,18.940875083173417,0.00026508200000000003,0.00026508200000000003
14.0,14.0,0,0,14.0,0,19.300089314104728,0.00029425800000000004,0.00029425800000000004
15.0,15.0,0,0,15.0,0,19.306147444498546,0.000258152,0.000258152
16.0,16.0,0,0,16.0,0,19.812034175337292,0.000253099,0.000253099
17.0,17.0,0,0,17.0,0,19.750791352984937,0.000267012,0.000267012
18.0,18.0,0,0,18.0,0,19.985597834622336,0.00028641,0.00028641
19.0,19.0,0,0,19.0,0,19.861155937554134,0.00033393,0.00033393
20.0,20.0,0,0,20.0,0,20.164427159002102,0.00037231700000000005,0.00037231700000000005
21.0,21.0,0,0,21.0,0,20.09520846288877,0.0008990990000000001,0.0008990990000000001
22.0,22.0,0,0,22.0,0,20.298554758851907,0.00030756500000000004,0.00030756500000000004
23.0,23.0,0,0,23.0,0,20.470937238141815,0.00031606,0.00031606
24.0,24.0,0,0,24.0,0,20.51209394003118,0.0005430060000000001,0.0005430060000000001
25.0,25.0,0,0,25.0,0,20.702465177861626,0.00032608,0.00032608
26.0,26.0,0,0,26.0,0,20.851079493467832,0.000326631,0.000326631
27.0,27.0,0,0,27.0,0,20.745893081276854,0.00032985800000000004,0.00032985800000000004
28.0,28.0,0,0,28.0,0,21.026194692997468,0.00034326500000000004,0.00034326500000000004
29.0,29.0,0,0,29.0,0,20.888941496851764,0.00034454200000000004,0.00034454200000000004
30.0,30.0,0,0,30.0,0,21.0872333435896,0.000355158,0.000355158
31.0,31.0,0,0,31.0,0,21.004340245777684,0.000375889,0.000375889
32.0,32.0,0,0,32.0,0,21.22201107444459,0.001650643,0.001650643
33.0,33.0,0,0,33.0,0,21.112662883350126,0.00048779400000000005,0.00048779400000000005
34.0,34.0,0,0,34.0,0,21.404031496245203,0.000431051,0.000431051
35.0,35.0,0,0,35.0,0,21.128116310636877,0.000792494,0.000792494
36.0,36.0,0,0,36.0,0,21.908192564933646,0.000435968,0.000435968
37.0,37.0,0,0,37.0,0,21.519219888261517,0.00045635600000000005,0.00045635600000000005
38.0,38.0,0,0,38.0,0,22.09400556212231,0.000502884,0.000502884
39.0,39.0,0,0,39.0,0,21.828446964468668,0.00045171500000000005,0.00045171500000000005
40.0,40.0,0,0,40.0,0,22.100675321651405,0.000598058,0.000598058
41.0,41.0,0,0,41.0,0,22.167938426228957,0.000471958,0.000471958
42.0,42.0,0,0,42.0,0,22.08344695400455,0.000495203,0.000495203
43.0,43.0,0,0,43.0,0,22.604420305277063,0.000477452,0.000477452
44.0,44.0,0,0,44.0,0,22.26781232401702,0.0007249950000000001,0.0007249950000000001
45.0,45.0,0,0,45.0,0,22.657421908882664,0.00054294,0.00054294
46.0,46.0,0,0,46.0,0,22.4665659524332,0.00047136100000000006,0.00047136100000000006
47.0,47.0,0,0,47.0,0,22.62753717378918,0.000495186,0.000495186
48.0,48.0,0,0,48.0,0,22.66368747869816,0.000489098,0.000489098
49.0,49.0,0,0,49.0,0,22.645806218660773,0.000499442,0.000499442
50.0,50.0,0,0,50.0,0,22.790261743082397,0.00051941,0.00051941
51.0,51.0,0,0,51.0,0,22.701337813923274,0.000522746,0.000522746
52.0,52.0,0,0,52.0,0,22.774410278194694,0.000641939,0.000641939
53.0,53.0,0,0,53.0,0,22.842462526931794,0.000528343,0.000528343
54.0,54.0,0,0,54.0,0,22.820795518645895,0.000535786,0.000535786
55.0,55.0,0,0,55.0,0,22.96309399930623,0.000556333,0.000556333
56.0,56.0,0,0,56.0,0,22.942288129904217,0.000576825,0.000576825
57.0,57.0,0,0,57.0,0,23.120078651423466,0.000557121,0.000557121
58.0,58.0,0,0,58.0,0,22.99835676894931,0.0005720370000000001,0.0005720370000000001
59.0,59.0,0,0,59.0,0,22.990514517070288,0.000572936,0.000572936
60.0,60.0,0,0,60.0,0,23.24244121892766,0.0006215880000000001,0.0006215880000000001
61.0,61.0,0,0,61.0,0,23.50924498741112,0.000607455,0.000607455
62.0,62.0,0,0,62.0,0,23.462370579944988,0.0006020540000000001,0.0006020540000000001
63.0,63.0,0,0,63.0,0,23.69546227320827,0.0006082170000000001,0.0006082170000000001
64.0,64.0,0,0,64.0,0,23.565731114839572,0.000581232,0.000581232
65.0,65.0,0,0,65.0,0,23.917305513330696,0.000626301,0.000626301
66.0,66.0,0,0,66.0,0,23.56815552750151,0.0006410140000000001,0.0006410140000000001
67.0,67.0,0,0,67.0,0,24.018187665057336,0.000688232,0.000688232
68.0,68.0,0,0,68.0,0,23.945942048477136,0.0006555090000000001,0.0006555090000000001
