N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,15.127949911420464,0.000309856,0.000309856
3.0,3.0,0,0,3.0,0,15.921276669461552,0.00024242300000000002,0.00024242300000000002
4.0,4.0,0,0,4.0,0,15.54421325216611,0.000236564,0.000236564
5.0,5.0,0,0,5.0,0,16.203058378209192,0.00023934300000000002,0.00023934300000000002
6.0,6.0,0,0,6.0,0,17.551940740830815,0.000267176,0.000267176
7.0,7.0,0,0,7.0,0,16.11815201672008,0.000271027,0.000271027
8.0,8.0,0,0,8.0,0,18.53665952100956,0.00035227,0.00035227
9.0,9.0,0,0,9.0,0,16.961916083249115,0.000639583,0.000639583
10.0,10.0,0,0,10.0,0,18.84156905533594,0.000362286,0.000362286
11.0,11.0,0,0,11.0,0,17.219517821234472,0.000287646,0.000287646
12.0,12.0,0,0,12.0,0,19.401185446694004,0.00025720800000000004,0.00025720800000000004
13.0,13.0,0,0,13.0,0,17.533499253867305,0.00026215900000000004,0.00026215900000000004
14.0,14.0,0,0,14.0,0,19.605956314920242,0.000273071,0.000273071
15.0,15.0,0,0,15.0,0,17.732630949063694,0.000274417,0.000274417
16.0,16.0,0,0,16.0,0,19.619401320096113,0.000274933,0.000274933
17.0,17.0,0,0,17.0,0,18.281204497262664,0.00027757000000000004,0.00027757000000000004
18.0,18.0,0,0,18.0,0,19.779205183748402,0.000277073,0.000277073
19.0,19.0,0,0,19.0,0,19.075239602414463,0.000284952,0.000284952
20.0,20.0,0,0,20.0,0,19.790911130541055,0.000294012,0.000294012
21.0,21.0,0,0,21.0,0,18.756378206696272,0.000308819,0.000308819
22.0,22.0,0,0,22.0,0,20.034533009244573,0.000546038,0.000546038
23.0,23.0,0,0,23.0,0,19.074353807052514,0.000318123,0.000318123
24.0,24.0,0,0,24.0,0,20.749643106118345,0.000321057,0.000321057
25.0,25.0,0,0,25.0,0,19.422974752892596,0.000343039,0.000343039
26.0,26.0,0,0,26.0,0,20.41973478815102,0.000520061,0.000520061
27.0,27.0,0,0,27.0,0,19.356410176993275,0.000535003,0.000535003
28.0,28.0,0,0,28.0,0,20.606110739976785,0.000369288,0.000369288
29.0,29.0,0,0,29.0,0,20.06066823503283,0.000354464,0.000354464
30.0,30.0,0,0,30.0,0,20.43015752832651,0.0013911400000000001,0.0013911400000000001
31.0,31.0,0,0,31.0,0,20.207023493021,0.00047951000000000005,0.00047951000000000005
32.0,32.0,0,0,32.0,0,20.41482002550726,0.0005049210000000001,0.0005049210000000001
33.0,33.0,0,0,33.0,0,20.28192552275744,0.000517476,0.000517476
34.0,34.0,0,0,34.0,0,20.53904752826034,0.0005126390000000001,0.0005126390000000001
35.0,35.0,0,0,35.0,0,20.459247666195953,0.0005505180000000001,0.0005505180000000001
36.0,36.0,0,0,36.0,0,21.0024822606741,0.000749045,0.000749045
37.0,37.0,0,0,37.0,0,20.436785825965135,0.00044755,0.00044755
38.0,38.0,0,0,38.0,0,21.21182935502256,0.00063159,0.00063159
39.0,39.0,0,0,39.0,0,20.71455772712452,0.00043931000000000005,0.00043931000000000005
40.0,40.0,0,0,40.0,0,20.88364432220314,0.00044407,0.00044407
41.0,41.0,0,0,41.0,0,21.579412728658433,0.000454842,0.000454842
42.0,42.0,0,0,42.0,0,20.821217221570222,0.000461481,0.000461481
43.0,43.0,0,0,43.0,0,22.076379165517316,0.0004966090000000001,0.0004966090000000001
44.0,44.0,0,0,44.0,0,20.929881320874376,0.00048583000000000003,0.00048583000000000003
45.0,45.0,0,0,45.0,0,21.715819752357426,0.000554524,0.000554524
46.0,46.0,0,0,46.0,0,20.990958712572315,0.00048576200000000004,0.00048576200000000004
47.0,47.0,0,0,47.0,0,21.178725375098153,0.000514803,0.000514803
48.0,48.0,0,0,48.0,0,21.76459308775008,0.0006750840000000001,0.0006750840000000001
49.0,49.0,0,0,49.0,0,21.63460697569398,0.000506843,0.000506843
50.0,50.0,0,0,50.0,0,21.747869787898612,0.000505015,0.000505015
51.0,51.0,0,0,51.0,0,22.03693520165992,0.000518276,0.000518276
52.0,52.0,0,0,52.0,0,21.442873901549426,0.001284592,0.001284592
53.0,53.0,0,0,53.0,0,22.56527887857752,0.000536404,0.000536404
54.0,54.0,0,0,54.0,0,21.37505944066568,0.00058272,0.00058272
55.0,55.0,0,0,55.0,0,22.728137324202958,0.000541646,0.000541646
56.0,56.0,0,0,56.0,0,21.428494474979914,0.0005524130000000001,0.0005524130000000001
57.0,57.0,0,0,57.0,0,22.728782852228843,0.0005596780000000001,0.0005596780000000001
58.0,58.0,0,0,58.0,0,21.87802946923339,0.000687333,0.000687333
59.0,59.0,0,0,59.0,0,22.108963519015695,0.000571318,0.000571318
60.0,60.0,0,0,60.0,0,22.384846801217403,0.00058066,0.00058066
61.0,61.0,0,0,61.0,0,22.634433682681788,0.000670339,0.000670339
62.0,62.0,0,0,62.0,0,22.17202317946573,0.0008063100000000001,0.0008063100000000001
63.0,63.0,0,0,63.0,0,23.14627722741825,0.0005952500000000001,0.0005952500000000001
64.0,64.0,0,0,64.0,0,22.30641757617663,0.000585773,0.000585773
65.0,65.0,0,0,65.0,0,23.80088730997532,0.0006251060000000001,0.0006251060000000001
66.0,66.0,0,0,66.0,0,21.745531637076173,0.000642269,0.000642269
67.0,67.0,0,0,67.0,0,23.605368288261374,0.000649179,0.000649179
68.0,68.0,0,0,68.0,0,22.083111407431836,0.000653806,0.000653806
69.0,69.0,0,0,69.0,0,23.186320271036923,0.000665283,0.000665283
70.0,70.0,0,0,70.0,0,22.77500754922699,0.00067648,0.00067648
71.0,71.0,0,0,71.0,0,23.08888182535409,0.000790209,0.000790209
72.0,72.0,0,0,72.0,0,22.91765323460214,0.0007172810000000001,0.0007172810000000001
73.0,73.0,0,0,73.0,0,22.968686935548867,0.0007152510000000001,0.0007152510000000001
74.0,74.0,0,0,74.0,0,22.809913775856707,0.001188217,0.001188217
75.0,75.0,0,0,75.0,0,23.336241787259322,0.000710938,0.000710938
76.0,76.0,0,0,76.0,0,22.678633670601755,0.0007150310000000001,0.0007150310000000001
77.0,77.0,0,0,77.0,0,24.1201969342236,0.000734639,0.000734639
