N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,15.850643847072538,0.000353116,0.000353116
3.0,3.0,0,0,3.0,0,15.84467126253821,0.00021795900000000002,0.00021795900000000002
4.0,4.0,0,0,4.0,0,15.763679365561647,0.00042101400000000005,0.00042101400000000005
5.0,5.0,0,0,5.0,0,15.92148730268049,0.00022647400000000003,0.00022647400000000003
6.0,6.0,0,0,6.0,0,16.600350461908395,0.000301651,0.000301651
7.0,7.0,0,0,7.0,0,17.044744142677164,0.00030620500000000004,0.00030620500000000004
8.0,8.0,0,0,8.0,0,17.989401398365136,0.00027405100000000004,0.00027405100000000004
9.0,9.0,0,0,9.0,0,18.35252458167606,0.00039303200000000003,0.00039303200000000003
10.0,10.0,0,0,10.0,0,18.683843616144923,0.000312318,0.000312318
11.0,11.0,0,0,11.0,0,18.840779519757806,0.000344176,0.000344176
12.0,12.0,0,0,12.0,0,18.877396522284297,0.00030772300000000004,0.00030772300000000004
13.0,13.0,0,0,13.0,0,19.12148530427992,0.00030291300000000003,0.00030291300000000003
14.0,14.0,0,0,14.0,0,19.425715642541903,0.000297145,0.000297145
15.0,15.0,0,0,15.0,0,19.508867338358197,0.000339988,0.000339988
16.0,16.0,0,0,16.0,0,19.765598862967458,0.000266468,0.000266468
17.0,17.0,0,0,17.0,0,19.821635995790846,0.00026755800000000004,0.00026755800000000004
18.0,18.0,0,0,18.0,0,19.88080976659655,0.000789525,0.000789525
19.0,19.0,0,0,19.0,0,19.91712515620831,0.00027706000000000003,0.00027706000000000003
20.0,20.0,0,0,20.0,0,20.01705315374105,0.000281496,0.000281496
21.0,21.0,0,0,21.0,0,20.227873609609258,0.00028885900000000003,0.00028885900000000003
22.0,22.0,0,0,22.0,0,20.421283658725862,0.000299769,0.000299769
23.0,23.0,0,0,23.0,0,20.382341480698976,0.000298655,0.000298655
24.0,24.0,0,0,24.0,0,20.422495602886844,0.00030663500000000003,0.00030663500000000003
25.0,25.0,0,0,25.0,0,20.6404652450542,0.000621116,0.000621116
26.0,26.0,0,0,26.0,0,20.86612871767137,0.000320721,0.000320721
27.0,27.0,0,0,27.0,0,20.911594330432216,0.000326327,0.000326327
28.0,28.0,0,0,28.0,0,20.94130300812693,0.00034328500000000003,0.00034328500000000003
29.0,29.0,0,0,29.0,0,20.968458888959884,0.000412994,0.000412994
30.0,30.0,0,0,30.0,0,21.130668724905675,0.0005230790000000001,0.0005230790000000001
31.0,31.0,0,0,31.0,0,21.12977753080169,0.000408625,0.000408625
32.0,32.0,0,0,32.0,0,21.138880403462398,0.00037887800000000003,0.00037887800000000003
33.0,33.0,0,0,33.0,0,21.135685857318904,0.000537943,0.000537943
34.0,34.0,0,0,34.0,0,21.27390855249235,0.000519364,0.000519364
35.0,35.0,0,0,35.0,0,21.36140156151062,0.001834838,0.001834838
36.0,36.0,0,0,36.0,0,21.761827488948853,0.0009202370000000001,0.0009202370000000001
37.0,37.0,0,0,37.0,0,21.825648113847308,0.000552699,0.000552699
38.0,38.0,0,0,38.0,0,21.90988247365047,0.000689268,0.000689268
39.0,39.0,0,0,39.0,0,21.925254895175122,0.000534156,0.000534156
40.0,40.0,0,0,40.0,0,22.033823997735134,0.00046876400000000004,0.00046876400000000004
41.0,41.0,0,0,41.0,0,22.155330446911222,0.00044055900000000004,0.00044055900000000004
42.0,42.0,0,0,42.0,0,22.275943399368337,0.00046010500000000004,0.00046010500000000004
43.0,43.0,0,0,43.0,0,22.398246851392656,0.00044702800000000003,0.00044702800000000003
44.0,44.0,0,0,44.0,0,22.43177728574286,0.00046086300000000005,0.00046086300000000005
45.0,45.0,0,0,45.0,0,22.60901090808549,0.00046696700000000004,0.00046696700000000004
46.0,46.0,0,0,46.0,0,22.60482701624563,0.00058845,0.00058845
47.0,47.0,0,0,47.0,0,22.600265857295945,0.00047865200000000004,0.00047865200000000004
48.0,48.0,0,0,48.0,0,22.598977213938536,0.000487878,0.000487878
49.0,49.0,0,0,49.0,0,22.684778332057697,0.0004974080000000001,0.0004974080000000001
50.0,50.0,0,0,50.0,0,22.75630782076918,0.000502472,0.000502472
51.0,51.0,0,0,51.0,0,22.77543093732756,0.000543273,0.000543273
52.0,52.0,0,0,52.0,0,22.826829943093983,0.0005316590000000001,0.0005316590000000001
53.0,53.0,0,0,53.0,0,22.828999874587048,0.000753824,0.000753824
54.0,54.0,0,0,54.0,0,22.830772692899437,0.000542176,0.000542176
55.0,55.0,0,0,55.0,0,22.8329080972628,0.000530649,0.000530649
56.0,56.0,0,0,56.0,0,22.881156848630766,0.0005375600000000001,0.0005375600000000001
57.0,57.0,0,0,57.0,0,23.015351968224003,0.000551845,0.000551845
58.0,58.0,0,0,58.0,0,23.046320500040327,0.0005612470000000001,0.0005612470000000001
59.0,59.0,0,0,59.0,0,23.10912994967312,0.000572012,0.000572012
60.0,60.0,0,0,60.0,0,23.475822478115266,0.000569445,0.000569445
61.0,61.0,0,0,61.0,0,23.53807212764437,0.0005916060000000001,0.0005916060000000001
62.0,62.0,0,0,62.0,0,23.615509066847874,0.000723592,0.000723592
63.0,63.0,0,0,63.0,0,23.60053843304152,0.000595164,0.000595164
64.0,64.0,0,0,64.0,0,23.641905705053077,0.000577046,0.000577046
65.0,65.0,0,0,65.0,0,23.755031451466806,0.000619989,0.000619989
66.0,66.0,0,0,66.0,0,23.83813083976532,0.000639883,0.000639883
67.0,67.0,0,0,67.0,0,24.108780796275905,0.0006652650000000001,0.0006652650000000001
68.0,68.0,0,0,68.0,0,24.130159989628446,0.000883724,0.000883724
69.0,69.0,0,0,69.0,0,24.136387157338245,0.000661591,0.000661591
70.0,70.0,0,0,70.0,0,24.13941701469689,0.000657723,0.000657723
71.0,71.0,0,0,71.0,0,24.148330056037437,0.0006665,0.0006665
72.0,72.0,0,0,72.0,0,24.232706276949866,0.000671627,0.000671627
73.0,73.0,0,0,73.0,0,24.287154981785704,0.000682387,0.000682387
74.0,74.0,0,0,74.0,0,24.294788155404333,0.000708291,0.000708291
75.0,75.0,0,0,75.0,0,24.300970245581773,0.0007040550000000001,0.0007040550000000001
76.0,76.0,0,0,76.0,0,24.29430459020869,0.000715211,0.000715211
77.0,77.0,0,0,77.0,0,24.33917852159417,0.000822118,0.000822118
78.0,78.0,0,0,78.0,0,24.344103167217654,0.00140419,0.00140419
79.0,79.0,0,0,79.0,0,24.358987668933764,0.0012406980000000001,0.0012406980000000001
80.0,80.0,0,0,80.0,0,24.370350647454146,0.00074483,0.00074483
81.0,81.0,0,0,81.0,0,24.3911407017255,0.0007427450000000001,0.0007427450000000001
82.0,82.0,0,0,82.0,0,24.44078716759549,0.0008164270000000001,0.0008164270000000001
83.0,83.0,0,0,83.0,0,24.531240332884185,0.000758485,0.000758485
84.0,84.0,0,0,84.0,0,24.56511961274501,0.0008324140000000001,0.0008324140000000001
85.0,85.0,0,0,85.0,0,24.582502036096933,0.000772729,0.000772729
86.0,86.0,0,0,86.0,0,24.628137187742595,0.000772841,0.000772841
87.0,87.0,0,0,87.0,0,24.734706013910856,0.000788388,0.000788388
88.0,88.0,0,0,88.0,0,24.769287498734258,0.0007964410000000001,0.0007964410000000001
89.0,89.0,0,0,89.0,0,24.79293505289036,0.000885309,0.000885309
90.0,90.0,0,0,90.0,0,24.82287157752227,0.001056398,0.001056398
91.0,91.0,0,0,91.0,0,25.057169856714353,0.0008302310000000001,0.0008302310000000001
92.0,92.0,0,0,92.0,0,25.12319310429789,0.0008255700000000001,0.0008255700000000001
93.0,93.0,0,0,93.0,0,25.11381831564385,0.000829511,0.000829511
94.0,94.0,0,0,94.0,0,25.112301075549283,0.0009730050000000001,0.0009730050000000001
95.0,95.0,0,0,95.0,0,25.13651371400894,0.0008441690000000001,0.0008441690000000001
96.0,96.0,0,0,96.0,0,25.428954317984296,0.00084787,0.00084787
97.0,97.0,0,0,97.0,0,25.433092927076764,0.0008887910000000001,0.0008887910000000001
98.0,98.0,0,0,98.0,0,25.424528747620055,0.000982781,0.000982781
99.0,99.0,0,0,99.0,0,25.453353003238526,0.000916827,0.000916827
100.0,100.0,0,0,100.0,0,25.616184452287936,0.001045796,0.001045796
101.0,101.0,0,0,101.0,0,25.63609388934635,0.001201372,0.001201372
102.0,102.0,0,0,102.0,0,25.64069714638711,0.0009342980000000001,0.0009342980000000001
103.0,103.0,0,0,103.0,0,25.651700561630015,0.001042551,0.001042551
104.0,104.0,0,0,104.0,0,25.67056805282052,0.001085527,0.001085527
105.0,105.0,0,0,105.0,0,25.672561867668847,0.0009926260000000001,0.0009926260000000001
106.0,106.0,0,0,106.0,0,25.67661987897072,0.001097965,0.001097965
107.0,107.0,0,0,107.0,0,25.678333860686173,0.000987864,0.000987864
108.0,108.0,0,0,108.0,0,25.683763191626948,0.0009898090000000001,0.0009898090000000001
109.0,109.0,0,0,109.0,0,25.684459040536446,0.001652264,0.001652264
110.0,110.0,0,0,110.0,0,25.711225687329478,0.0010200200000000002,0.0010200200000000002
111.0,111.0,0,0,111.0,0,25.796925983667723,0.001168058,0.001168058
112.0,112.0,0,0,112.0,0,25.805224172859585,0.001025749,0.001025749
113.0,113.0,0,0,113.0,0,25.80685221616242,0.001035961,0.001035961
114.0,114.0,0,0,114.0,0,25.80866114163757,0.001038693,0.001038693
115.0,115.0,0,0,115.0,0,25.833082259488123,0.001050415,0.001050415
116.0,116.0,0,0,116.0,0,25.845601295848468,0.0011635640000000002,0.0011635640000000002
117.0,117.0,0,0,117.0,0,25.858602271103646,0.001060512,0.001060512
118.0,118.0,0,0,118.0,0,25.868535117938023,0.001073429,0.001073429
119.0,119.0,0,0,119.0,0,25.88317457999159,0.001063692,0.001063692
120.0,120.0,0,0,120.0,0,25.893007137547595,0.001080666,0.001080666
121.0,121.0,0,0,121.0,0,25.88924692865199,0.001239918,0.001239918
122.0,122.0,0,0,122.0,0,25.905954837764394,0.001068556,0.001068556
123.0,123.0,0,0,123.0,0,26.021625863019146,0.001112533,0.001112533
124.0,124.0,0,0,124.0,0,26.08821110878762,0.0011207130000000002,0.0011207130000000002
125.0,125.0,0,0,125.0,0,26.10731856151662,0.001130589,0.001130589
126.0,126.0,0,0,126.0,0,26.153814070330533,0.0011272160000000001,0.0011272160000000001
127.0,127.0,0,0,127.0,0,26.299829663659708,0.001270855,0.001270855
128.0,128.0,0,0,128.0,0,26.338304949066078,0.001133715,0.001133715
129.0,129.0,0,0,129.0,0,26.447598583879124,0.0011861060000000001,0.0011861060000000001
130.0,130.0,0,0,130.0,0,26.442775893790103,0.001219809,0.001219809
131.0,131.0,0,0,131.0,0,26.438293406727183,0.001214924,0.001214924
132.0,132.0,0,0,132.0,0,26.433036247751392,0.0012724120000000001,0.0012724120000000001
133.0,133.0,0,0,133.0,0,26.43141050071123,0.0012500570000000002,0.0012500570000000002
134.0,134.0,0,0,134.0,0,26.427833421467405,0.0012655770000000002,0.0012655770000000002
135.0,135.0,0,0,135.0,0,26.500851069825934,0.001264644,0.001264644
136.0,136.0,0,0,136.0,0,26.501423037995686,0.001264994,0.001264994
137.0,137.0,0,0,137.0,0,26.54553807221424,0.00129371,0.00129371
138.0,138.0,0,0,138.0,0,26.609499054082857,0.001305862,0.001305862
139.0,139.0,0,0,139.0,0,26.629720540883817,0.001325809,0.001325809
140.0,140.0,0,0,140.0,0,26.61820725429419,0.001329599,0.001329599
141.0,141.0,0,0,141.0,0,26.632424705226292,0.001326841,0.001326841
142.0,142.0,0,0,142.0,0,26.622518895837857,0.001289729,0.001289729
143.0,143.0,0,0,143.0,0,26.65755103895055,0.0012982780000000001,0.0012982780000000001
144.0,144.0,0,0,144.0,0,26.667523085380964,0.0020778000000000003,0.0020778000000000003
145.0,145.0,0,0,145.0,0,26.666595578110403,0.00151029,0.00151029
146.0,146.0,0,0,146.0,0,26.677990507601635,0.00135369,0.00135369
147.0,147.0,0,0,147.0,0,26.75209333303811,0.0013823730000000001,0.0013823730000000001
148.0,148.0,0,0,148.0,0,26.79911274534554,0.00134191,0.00134191
149.0,149.0,0,0,149.0,0,26.79409057900567,0.001386569,0.001386569
150.0,150.0,0,0,150.0,0,26.787552335899747,0.00138856,0.00138856
151.0,151.0,0,0,151.0,0,26.808096028041216,0.0015062860000000001,0.0015062860000000001
152.0,152.0,0,0,152.0,0,26.79938469320043,0.001520007,0.001520007
153.0,153.0,0,0,153.0,0,26.797051431174207,0.0019357730000000002,0.0019357730000000002
154.0,154.0,0,0,154.0,0,26.944747609282608,0.001438288,0.001438288
155.0,155.0,0,0,155.0,0,27.037958134368075,0.001528014,0.001528014
156.0,156.0,0,0,156.0,0,27.016688751001674,0.0016643860000000001,0.0016643860000000001
157.0,157.0,0,0,157.0,0,27.043873055265454,0.0014687060000000002,0.0014687060000000002
158.0,158.0,0,0,158.0,0,27.016799148333934,0.0014662120000000002,0.0014662120000000002
159.0,159.0,0,0,159.0,0,27.13056739448608,0.001472086,0.001472086
160.0,160.0,0,0,160.0,0,27.13901495707254,0.001491366,0.001491366
161.0,161.0,0,0,161.0,0,27.20112382162833,0.0014989180000000001,0.0014989180000000001
162.0,162.0,0,0,162.0,0,27.23007959451662,0.001545588,0.001545588
163.0,163.0,0,0,163.0,0,27.249876124512763,0.0015256920000000002,0.0015256920000000002
164.0,164.0,0,0,164.0,0,27.282479666537405,0.0017048970000000001,0.0017048970000000001
165.0,165.0,0,0,165.0,0,27.302023181715175,0.001658224,0.001658224
166.0,166.0,0,0,166.0,0,27.313498629735324,0.0018450650000000001,0.0018450650000000001
167.0,167.0,0,0,167.0,0,27.36890223565174,0.002366715,0.002366715
168.0,168.0,0,0,168.0,0,27.366528303872492,0.0016605200000000002,0.0016605200000000002
169.0,169.0,0,0,169.0,0,27.374122111097773,0.001628834,0.001628834
170.0,170.0,0,0,170.0,0,27.49391937207619,0.002408387,0.002408387
171.0,171.0,0,0,171.0,0,27.651126937816603,0.001608258,0.001608258
172.0,172.0,0,0,172.0,0,27.639166016490787,0.0016078400000000001,0.0016078400000000001
173.0,173.0,0,0,173.0,0,27.654117682704296,0.001628986,0.001628986
174.0,174.0,0,0,174.0,0,27.66827004843003,0.001622516,0.001622516
175.0,175.0,0,0,175.0,0,27.66807913150479,0.0018258450000000002,0.0018258450000000002
176.0,176.0,0,0,176.0,0,27.70937427153468,0.0016271130000000001,0.0016271130000000001
177.0,177.0,0,0,177.0,0,27.79559310082778,0.0017115490000000001,0.0017115490000000001
178.0,178.0,0,0,178.0,0,27.88809616676492,0.001937778,0.001937778
179.0,179.0,0,0,179.0,0,27.951940802292565,0.00173046,0.00173046
180.0,180.0,0,0,180.0,0,27.96167390630285,0.0017223990000000001,0.0017223990000000001
181.0,181.0,0,0,181.0,0,27.96820486599113,0.0017398930000000002,0.0017398930000000002
182.0,182.0,0,0,182.0,0,27.993128650906243,0.001767632,0.001767632
183.0,183.0,0,0,183.0,0,27.992843604150547,0.0017870300000000002,0.0017870300000000002
184.0,184.0,0,0,184.0,0,27.997129878542157,0.0017915700000000001,0.0017915700000000001
185.0,185.0,0,0,185.0,0,28.096407602936768,0.0017298480000000002,0.0017298480000000002
186.0,186.0,0,0,186.0,0,28.10008763238015,0.0017731350000000001,0.0017731350000000001
187.0,187.0,0,0,187.0,0,28.094536480531648,0.001816003,0.001816003
188.0,188.0,0,0,188.0,0,28.157336315663173,0.001853582,0.001853582
189.0,189.0,0,0,189.0,0,28.19533838715955,0.002587757,0.002587757
190.0,190.0,0,0,190.0,0,28.175650996784217,0.001963963,0.001963963
