N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,15.691915998444543,0.000318478,0.000318478
3.0,3.0,0,0,3.0,0,15.841218263101135,0.00022061400000000003,0.00022061400000000003
4.0,4.0,0,0,4.0,0,15.854322963209507,0.00026794000000000004,0.00026794000000000004
5.0,5.0,0,0,5.0,0,15.933980991143235,0.000240126,0.000240126
6.0,6.0,0,0,6.0,0,17.10914531162186,0.000265166,0.000265166
7.0,7.0,0,0,7.0,0,16.20673418067043,0.000272136,0.000272136
8.0,8.0,0,0,8.0,0,18.70367144796045,0.000659202,0.000659202
9.0,9.0,0,0,9.0,0,17.33720104390685,0.00109894,0.00109894
10.0,10.0,0,0,10.0,0,19.024598880023525,0.000296828,0.000296828
11.0,11.0,0,0,11.0,0,18.021529326478003,0.00027976,0.00027976
12.0,12.0,0,0,12.0,0,19.254234081479076,0.000397297,0.000397297
13.0,13.0,0,0,13.0,0,18.460287691894816,0.000303179,0.000303179
14.0,14.0,0,0,14.0,0,19.496358638962512,0.00027964,0.00027964
15.0,15.0,0,0,15.0,0,18.91388988398499,0.00027928800000000004,0.00027928800000000004
16.0,16.0,0,0,16.0,0,19.959495611722826,0.000271601,0.000271601
17.0,17.0,0,0,17.0,0,19.354880091944423,0.00027717000000000003,0.00027717000000000003
18.0,18.0,0,0,18.0,0,20.274378729302185,0.000283073,0.000283073
19.0,19.0,0,0,19.0,0,19.56927174463805,0.00029037800000000004,0.00029037800000000004
20.0,20.0,0,0,20.0,0,20.40346540835101,0.000296989,0.000296989
21.0,21.0,0,0,21.0,0,19.59964403967572,0.00030510600000000003,0.00030510600000000003
22.0,22.0,0,0,22.0,0,20.43041431996503,0.00031019200000000004,0.00031019200000000004
23.0,23.0,0,0,23.0,0,20.00570320236898,0.000307111,0.000307111
24.0,24.0,0,0,24.0,0,20.821003194073185,0.000306803,0.000306803
25.0,25.0,0,0,25.0,0,20.28498315879879,0.00031614100000000003,0.00031614100000000003
26.0,26.0,0,0,26.0,0,21.022048262929765,0.00031893700000000004,0.00031893700000000004
27.0,27.0,0,0,27.0,0,20.403824937392923,0.000332938,0.000332938
28.0,28.0,0,0,28.0,0,21.37499310379603,0.000344441,0.000344441
29.0,29.0,0,0,29.0,0,20.657004744716495,0.00036461500000000005,0.00036461500000000005
30.0,30.0,0,0,30.0,0,21.22798540040147,0.0017552510000000002,0.0017552510000000002
31.0,31.0,0,0,31.0,0,20.732202383932513,0.000495275,0.000495275
32.0,32.0,0,0,32.0,0,21.410076483801383,0.000506956,0.000506956
33.0,33.0,0,0,33.0,0,21.0977469904355,0.000535392,0.000535392
34.0,34.0,0,0,34.0,0,21.576745093847354,0.0005240570000000001,0.0005240570000000001
35.0,35.0,0,0,35.0,0,21.202685558547998,0.0006687100000000001,0.0006687100000000001
36.0,36.0,0,0,36.0,0,21.875563203555473,0.000667261,0.000667261
37.0,37.0,0,0,37.0,0,21.301893746843568,0.0006157620000000001,0.0006157620000000001
38.0,38.0,0,0,38.0,0,22.07524574649024,0.001008135,0.001008135
39.0,39.0,0,0,39.0,0,21.773295322893794,0.001099687,0.001099687
40.0,40.0,0,0,40.0,0,21.86441675556251,0.0013024830000000001,0.0013024830000000001
41.0,41.0,0,0,41.0,0,22.203209956831238,0.00047956400000000003,0.00047956400000000003
