N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,13.819906725306037,0.000653255,0.000653255
3.0,3.0,0,0,3.0,0,14.128763874138013,0.00029430200000000003,0.00029430200000000003
4.0,4.0,0,0,4.0,0,14.842069073390835,0.000248045,0.000248045
5.0,5.0,0,0,5.0,0,14.940182002683136,0.00022300100000000002,0.00022300100000000002
6.0,6.0,0,0,6.0,0,15.330752532036541,0.00028381200000000004,0.00028381200000000004
7.0,7.0,0,0,7.0,0,15.418412695604049,0.00030455600000000004,0.00030455600000000004
8.0,8.0,0,0,8.0,0,15.484921454801706,0.000627543,0.000627543
9.0,9.0,0,0,9.0,0,15.516985854016683,0.000377807,0.000377807
10.0,10.0,0,0,10.0,0,15.712807034168941,0.00028122600000000003,0.00028122600000000003
11.0,11.0,0,0,11.0,0,15.865842087209787,0.000431072,0.000431072
12.0,12.0,0,0,12.0,0,15.865252292172967,0.000274599,0.000274599
13.0,13.0,0,0,13.0,0,16.105747154434415,0.00031243300000000004,0.00031243300000000004
14.0,14.0,0,0,14.0,0,16.043802155291203,0.000269746,0.000269746
15.0,15.0,0,0,15.0,0,16.67439938509913,0.000255093,0.000255093
16.0,16.0,0,0,16.0,0,16.85773885311029,0.000264171,0.000264171
17.0,17.0,0,0,17.0,0,16.838528921075792,0.00027231200000000003,0.00027231200000000003
18.0,18.0,0,0,18.0,0,16.913993372288495,0.00033680200000000003,0.00033680200000000003
19.0,19.0,0,0,19.0,0,16.884268928125177,0.000283424,0.000283424
20.0,20.0,0,0,20.0,0,16.945944280775013,0.000291285,0.000291285
21.0,21.0,0,0,21.0,0,16.924304672028246,0.000290852,0.000290852
22.0,22.0,0,0,22.0,0,17.0080966499499,0.000299745,0.000299745
23.0,23.0,0,0,23.0,0,16.995744268912578,0.00036087,0.00036087
24.0,24.0,0,0,24.0,0,17.005375655454813,0.00030924,0.00030924
25.0,25.0,0,0,25.0,0,17.005255501600715,0.000318976,0.000318976
26.0,26.0,0,0,26.0,0,17.03330481443102,0.000326527,0.000326527
27.0,27.0,0,0,27.0,0,17.118388045988805,0.000332868,0.000332868
28.0,28.0,0,0,28.0,0,17.061181601296433,0.00039177200000000003,0.00039177200000000003
29.0,29.0,0,0,29.0,0,17.20143148839839,0.00046938800000000005,0.00046938800000000005
30.0,30.0,0,0,30.0,0,17.31647295444471,0.000360234,0.000360234
31.0,31.0,0,0,31.0,0,17.231012149544036,0.000379983,0.000379983
32.0,32.0,0,0,32.0,0,17.489355643088217,0.000592263,0.000592263
33.0,33.0,0,0,33.0,0,17.311335535730382,0.000504064,0.000504064
34.0,34.0,0,0,34.0,0,17.543229125513694,0.0006666300000000001,0.0006666300000000001
35.0,35.0,0,0,35.0,0,17.543303556896188,0.000563594,0.000563594
36.0,36.0,0,0,36.0,0,17.49741689367544,0.001174612,0.001174612
37.0,37.0,0,0,37.0,0,17.730257865756517,0.000543081,0.000543081
38.0,38.0,0,0,38.0,0,17.58157398650837,0.000581398,0.000581398
39.0,39.0,0,0,39.0,0,17.80759858200148,0.000518869,0.000518869
40.0,40.0,0,0,40.0,0,17.644887991335164,0.000590965,0.000590965
41.0,41.0,0,0,41.0,0,17.86364575317267,0.000978619,0.000978619
42.0,42.0,0,0,42.0,0,17.833783574765224,0.00047691400000000005,0.00047691400000000005
43.0,43.0,0,0,43.0,0,18.10678461502613,0.00046291500000000005,0.00046291500000000005
44.0,44.0,0,0,44.0,0,18.18570117286972,0.000462696,0.000462696
45.0,45.0,0,0,45.0,0,18.09211030910199,0.000484014,0.000484014
