N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,14.270275759740137,0.000377652,0.000377652
3.0,3.0,0,0,3.0,0,13.498156583831875,0.000268258,0.000268258
4.0,4.0,0,0,4.0,0,14.947774050717372,0.000251032,0.000251032
5.0,5.0,0,0,5.0,0,14.521455356084871,0.00024683,0.00024683
6.0,6.0,0,0,6.0,0,14.83497316229849,0.00028119500000000003,0.00028119500000000003
7.0,7.0,0,0,7.0,0,15.282497601016921,0.00031887800000000003,0.00031887800000000003
8.0,8.0,0,0,8.0,0,15.179955277734166,0.000327984,0.000327984
9.0,9.0,0,0,9.0,0,15.387068360353243,0.0014938240000000001,0.0014938240000000001
10.0,10.0,0,0,10.0,0,15.96163315871437,0.00029757000000000004,0.00029757000000000004
11.0,11.0,0,0,11.0,0,15.2507587414127,0.000259779,0.000259779
12.0,12.0,0,0,12.0,0,15.404255751886337,0.000251375,0.000251375
13.0,13.0,0,0,13.0,0,16.467481098687145,0.000266134,0.000266134
14.0,14.0,0,0,14.0,0,15.838085389229878,0.000272296,0.000272296
15.0,15.0,0,0,15.0,0,16.553265986067476,0.00043138400000000004,0.00043138400000000004
16.0,16.0,0,0,16.0,0,16.19195972853751,0.00027712600000000004,0.00027712600000000004
17.0,17.0,0,0,17.0,0,16.03293810842503,0.000276752,0.000276752
18.0,18.0,0,0,18.0,0,16.45172618372517,0.00038325200000000005,0.00038325200000000005
19.0,19.0,0,0,19.0,0,16.14154944783511,0.000276049,0.000276049
20.0,20.0,0,0,20.0,0,16.41132146244553,0.00028258,0.00028258
21.0,21.0,0,0,21.0,0,17.146712904465698,0.000310373,0.000310373
22.0,22.0,0,0,22.0,0,16.469850582999403,0.000294019,0.000294019
23.0,23.0,0,0,23.0,0,16.630579974439662,0.000315562,0.000315562
24.0,24.0,0,0,24.0,0,16.94767601457749,0.000335326,0.000335326
25.0,25.0,0,0,25.0,0,16.463756752331655,0.000313891,0.000313891
26.0,26.0,0,0,26.0,0,17.345555619348488,0.000321852,0.000321852
27.0,27.0,0,0,27.0,0,16.517740186025463,0.000335334,0.000335334
28.0,28.0,0,0,28.0,0,17.238642569841215,0.000340945,0.000340945
29.0,29.0,0,0,29.0,0,16.78516503282185,0.00041967,0.00041967
30.0,30.0,0,0,30.0,0,17.09019995180516,0.0008799680000000001,0.0008799680000000001
31.0,31.0,0,0,31.0,0,16.818063979462433,0.0006021220000000001,0.0006021220000000001
32.0,32.0,0,0,32.0,0,17.15955166048601,0.0006086770000000001,0.0006086770000000001
33.0,33.0,0,0,33.0,0,17.161533560763985,0.0005183760000000001,0.0005183760000000001
34.0,34.0,0,0,34.0,0,17.310826395933997,0.0006294,0.0006294
35.0,35.0,0,0,35.0,0,17.14294073359451,0.000556616,0.000556616
36.0,36.0,0,0,36.0,0,17.253628685102377,0.000551403,0.000551403
37.0,37.0,0,0,37.0,0,17.729254996975595,0.0005263070000000001,0.0005263070000000001
38.0,38.0,0,0,38.0,0,17.21737843152615,0.00045244800000000004,0.00045244800000000004
39.0,39.0,0,0,39.0,0,17.735639709820813,0.001297015,0.001297015
