N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,14.01622128771568,0.00034865700000000005,0.00034865700000000005
3.0,3.0,0,0,3.0,0,14.25472635027779,0.004905345,0.004905345
4.0,4.0,0,0,4.0,0,14.825141866122657,0.001303265,0.001303265
5.0,5.0,0,0,5.0,0,15.012731520686762,0.000275517,0.000275517
6.0,6.0,0,0,6.0,0,15.213160619318018,0.00023565900000000001,0.00023565900000000001
7.0,7.0,0,0,7.0,0,15.383199111690317,0.00023825900000000002,0.00023825900000000002
8.0,8.0,0,0,8.0,0,15.45861390179839,0.000376509,0.000376509
9.0,9.0,0,0,9.0,0,15.667591798676364,0.000241773,0.000241773
10.0,10.0,0,0,10.0,0,15.812398301497016,0.000248551,0.000248551
11.0,11.0,0,0,11.0,0,15.842636154810615,0.00025606200000000004,0.00025606200000000004
12.0,12.0,0,0,12.0,0,15.865671603548266,0.000264334,0.000264334
13.0,13.0,0,0,13.0,0,16.167131733451658,0.000271849,0.000271849
14.0,14.0,0,0,14.0,0,16.34528513487336,0.000281662,0.000281662
15.0,15.0,0,0,15.0,0,16.625474087117343,0.00025495600000000003,0.00025495600000000003
16.0,16.0,0,0,16.0,0,16.868337736257324,0.000260801,0.000260801
17.0,17.0,0,0,17.0,0,16.884721749989744,0.000273463,0.000273463
18.0,18.0,0,0,18.0,0,16.888316785484026,0.000270888,0.000270888
19.0,19.0,0,0,19.0,0,16.885316372457137,0.00027772100000000003,0.00027772100000000003
20.0,20.0,0,0,20.0,0,16.923155770746458,0.000280574,0.000280574
21.0,21.0,0,0,21.0,0,16.95494809934807,0.000289319,0.000289319
22.0,22.0,0,0,22.0,0,16.98147336789015,0.000297609,0.000297609
23.0,23.0,0,0,23.0,0,16.996268006297527,0.000307316,0.000307316
24.0,24.0,0,0,24.0,0,17.003194731042083,0.000434418,0.000434418
25.0,25.0,0,0,25.0,0,17.00746913914255,0.00031814500000000004,0.00031814500000000004
26.0,26.0,0,0,26.0,0,17.019306381091084,0.000318005,0.000318005
27.0,27.0,0,0,27.0,0,17.045162801916373,0.000338532,0.000338532
28.0,28.0,0,0,28.0,0,17.07476808975727,0.0005731870000000001,0.0005731870000000001
29.0,29.0,0,0,29.0,0,17.21699227696408,0.00046580700000000005,0.00046580700000000005
30.0,30.0,0,0,30.0,0,17.297257992470815,0.00047183200000000005,0.00047183200000000005
31.0,31.0,0,0,31.0,0,17.30630946939503,0.00060881,0.00060881
32.0,32.0,0,0,32.0,0,17.35700283571583,0.000478754,0.000478754
33.0,33.0,0,0,33.0,0,17.386910417363044,0.000515062,0.000515062
34.0,34.0,0,0,34.0,0,17.460292437752898,0.00043567700000000004,0.00043567700000000004
