N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,13.640834144972299,0.000324667,0.000324667
3.0,3.0,0,0,3.0,0,14.038624805259436,0.000267088,0.000267088
4.0,4.0,0,0,4.0,0,15.25580061380553,0.00046436800000000005,0.00046436800000000005
5.0,5.0,0,0,5.0,0,14.757632278712375,0.000254125,0.000254125
6.0,6.0,0,0,6.0,0,15.06861301793055,0.000289494,0.000289494
7.0,7.0,0,0,7.0,0,15.657806200159726,0.000325789,0.000325789
8.0,8.0,0,0,8.0,0,15.463759070259526,0.00043846900000000003,0.00043846900000000003
9.0,9.0,0,0,9.0,0,15.517229920776769,0.00036352700000000004,0.00036352700000000004
10.0,10.0,0,0,10.0,0,15.790365879517692,0.000278116,0.000278116
11.0,11.0,0,0,11.0,0,15.774295839714828,0.001176834,0.001176834
12.0,12.0,0,0,12.0,0,15.676342401639435,0.00028337500000000004,0.00028337500000000004
13.0,13.0,0,0,13.0,0,16.348206768084687,0.00029635800000000004,0.00029635800000000004
14.0,14.0,0,0,14.0,0,15.837247153037868,0.000276483,0.000276483
15.0,15.0,0,0,15.0,0,16.595403705814192,0.000251619,0.000251619
16.0,16.0,0,0,16.0,0,16.600210685365695,0.000260033,0.000260033
17.0,17.0,0,0,17.0,0,16.736504153901954,0.000262942,0.000262942
18.0,18.0,0,0,18.0,0,16.810740591443118,0.00027414000000000003,0.00027414000000000003
19.0,19.0,0,0,19.0,0,16.780857102213595,0.00028632,0.00028632
20.0,20.0,0,0,20.0,0,16.717988711632017,0.000292179,0.000292179
21.0,21.0,0,0,21.0,0,17.11058569754662,0.00029328000000000004,0.00029328000000000004
22.0,22.0,0,0,22.0,0,16.90582770083152,0.000295988,0.000295988
23.0,23.0,0,0,23.0,0,16.940552055846553,0.00030498300000000004,0.00030498300000000004
24.0,24.0,0,0,24.0,0,17.13120714966685,0.000309154,0.000309154
25.0,25.0,0,0,25.0,0,16.805176288023553,0.000318292,0.000318292
26.0,26.0,0,0,26.0,0,17.329795416057777,0.000758765,0.000758765
27.0,27.0,0,0,27.0,0,17.020889184617523,0.0006062800000000001,0.0006062800000000001
28.0,28.0,0,0,28.0,0,17.211386675168107,0.00035141100000000004,0.00035141100000000004
29.0,29.0,0,0,29.0,0,17.11208106067368,0.00049003,0.00049003
30.0,30.0,0,0,30.0,0,17.190951676076693,0.00042619200000000004,0.00042619200000000004
31.0,31.0,0,0,31.0,0,17.126995867530788,0.001495681,0.001495681
32.0,32.0,0,0,32.0,0,17.665281358661296,0.0005969980000000001,0.0005969980000000001
33.0,33.0,0,0,33.0,0,17.247525364527682,0.000542928,0.000542928
