N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,12.359961312750883,0.000302581,0.000302581
3.0,3.0,0,0,3.0,0,12.392087718713295,0.00025512500000000003,0.00025512500000000003
4.0,4.0,0,0,4.0,0,12.474585172922323,0.000275427,0.000275427
5.0,5.0,0,0,5.0,0,12.471964265076423,0.000275806,0.000275806
6.0,6.0,0,0,6.0,0,13.389006251799964,0.000263057,0.000263057
7.0,7.0,0,0,7.0,0,13.609231772189752,0.00029899500000000003,0.00029899500000000003
8.0,8.0,0,0,8.0,0,13.71653855471996,0.000772007,0.000772007
9.0,9.0,0,0,9.0,0,14.037547401707858,0.00033669600000000004,0.00033669600000000004
10.0,10.0,0,0,10.0,0,14.552148576835716,0.0005929010000000001,0.0005929010000000001
11.0,11.0,0,0,11.0,0,14.50725355682266,0.000486008,0.000486008
12.0,12.0,0,0,12.0,0,14.646565041852703,0.00027755200000000003,0.00027755200000000003
13.0,13.0,0,0,13.0,0,14.635572548226063,0.000315406,0.000315406
14.0,14.0,0,0,14.0,0,14.680476613676303,0.000274405,0.000274405
15.0,15.0,0,0,15.0,0,16.180190414935375,0.00026165600000000003,0.00026165600000000003
16.0,16.0,0,0,16.0,0,15.94638730332506,0.00026463400000000003,0.00026463400000000003
17.0,17.0,0,0,17.0,0,16.149691901659462,0.000276293,0.000276293
18.0,18.0,0,0,18.0,0,16.40076952392465,0.000291179,0.000291179
19.0,19.0,0,0,19.0,0,16.59529659151523,0.000291024,0.000291024
20.0,20.0,0,0,20.0,0,16.488217781209272,0.000299065,0.000299065
21.0,21.0,0,0,21.0,0,16.781905344718766,0.000299844,0.000299844
22.0,22.0,0,0,22.0,0,17.16437946981411,0.00030624600000000004,0.00030624600000000004
23.0,23.0,0,0,23.0,0,17.064286301816725,0.000308135,0.000308135
24.0,24.0,0,0,24.0,0,17.106456677656713,0.00032070300000000004,0.00032070300000000004
25.0,25.0,0,0,25.0,0,17.30152909319101,0.000326333,0.000326333
26.0,26.0,0,0,26.0,0,17.282183996914757,0.00033130000000000003,0.00033130000000000003
27.0,27.0,0,0,27.0,0,17.307700131709534,0.000347584,0.000347584
28.0,28.0,0,0,28.0,0,17.553560630136257,0.0006647070000000001,0.0006647070000000001
29.0,29.0,0,0,29.0,0,17.707684484510597,0.001172339,0.001172339
30.0,30.0,0,0,30.0,0,17.55690454066491,0.000596291,0.000596291
31.0,31.0,0,0,31.0,0,17.704076588608938,0.0006130350000000001,0.0006130350000000001
32.0,32.0,0,0,32.0,0,17.823595448731197,0.0009098470000000001,0.0009098470000000001
33.0,33.0,0,0,33.0,0,17.864822138720868,0.00044209200000000005,0.00044209200000000005
34.0,34.0,0,0,34.0,0,17.820066779494155,0.000706042,0.000706042
35.0,35.0,0,0,35.0,0,17.840174872929143,0.000548098,0.000548098
36.0,36.0,0,0,36.0,0,18.003730379905875,0.0005392200000000001,0.0005392200000000001
37.0,37.0,0,0,37.0,0,18.230650140779222,0.0005824010000000001,0.0005824010000000001
38.0,38.0,0,0,38.0,0,18.45503835967673,0.000446121,0.000446121
39.0,39.0,0,0,39.0,0,18.584715088037512,0.000433034,0.000433034
40.0,40.0,0,0,40.0,0,18.581584710469713,0.0004417,0.0004417
41.0,41.0,0,0,41.0,0,18.537632203525646,0.00045162200000000005,0.00045162200000000005
42.0,42.0,0,0,42.0,0,18.496588262107394,0.00045436600000000005,0.00045436600000000005
43.0,43.0,0,0,43.0,0,18.485243399916868,0.00047052400000000005,0.00047052400000000005
44.0,44.0,0,0,44.0,0,18.557042963009152,0.000538425,0.000538425
45.0,45.0,0,0,45.0,0,18.635145305708456,0.00048148600000000005,0.00048148600000000005
46.0,46.0,0,0,46.0,0,18.74570556300598,0.00047696800000000003,0.00047696800000000003
47.0,47.0,0,0,47.0,0,18.784662141182576,0.000625085,0.000625085
48.0,48.0,0,0,48.0,0,18.739833288508507,0.000494721,0.000494721
49.0,49.0,0,0,49.0,0,18.754972052512187,0.0005906980000000001,0.0005906980000000001
50.0,50.0,0,0,50.0,0,18.78526204227564,0.000543548,0.000543548
51.0,51.0,0,0,51.0,0,18.784545350504786,0.000608483,0.000608483
52.0,52.0,0,0,52.0,0,18.822053382372196,0.0008974040000000001,0.0008974040000000001
53.0,53.0,0,0,53.0,0,18.851020856245363,0.000607536,0.000607536
54.0,54.0,0,0,54.0,0,18.86265332256238,0.000535725,0.000535725
55.0,55.0,0,0,55.0,0,18.809036653760526,0.000551699,0.000551699
56.0,56.0,0,0,56.0,0,18.844647415366293,0.000553372,0.000553372
57.0,57.0,0,0,57.0,0,18.873442880678088,0.00060881,0.00060881
58.0,58.0,0,0,58.0,0,18.996080758073525,0.000595506,0.000595506
59.0,59.0,0,0,59.0,0,18.921095197359065,0.0005834950000000001,0.0005834950000000001
60.0,60.0,0,0,60.0,0,19.137939028497087,0.0007264610000000001,0.0007264610000000001
61.0,61.0,0,0,61.0,0,19.07407143647247,0.000606441,0.000606441
62.0,62.0,0,0,62.0,0,19.12728065666441,0.000664758,0.000664758
63.0,63.0,0,0,63.0,0,19.018836241353398,0.000603604,0.000603604
64.0,64.0,0,0,64.0,0,19.192045548435775,0.0005878200000000001,0.0005878200000000001
65.0,65.0,0,0,65.0,0,19.22368671061567,0.0008804560000000001,0.0008804560000000001
66.0,66.0,0,0,66.0,0,19.23756915723225,0.0006444360000000001,0.0006444360000000001
67.0,67.0,0,0,67.0,0,19.30012959334296,0.000650979,0.000650979
68.0,68.0,0,0,68.0,0,19.450169570038245,0.000652787,0.000652787
69.0,69.0,0,0,69.0,0,19.29775169276224,0.000665316,0.000665316
70.0,70.0,0,0,70.0,0,19.39188887292809,0.0006740880000000001,0.0006740880000000001
71.0,71.0,0,0,71.0,0,19.450997853396398,0.000717788,0.000717788
72.0,72.0,0,0,72.0,0,19.40347647729049,0.0006930920000000001,0.0006930920000000001
73.0,73.0,0,0,73.0,0,19.45039195074547,0.0007020170000000001,0.0007020170000000001
74.0,74.0,0,0,74.0,0,19.468865378213195,0.000701069,0.000701069
75.0,75.0,0,0,75.0,0,19.582619283719183,0.0007953010000000001,0.0007953010000000001
76.0,76.0,0,0,76.0,0,19.469716566009055,0.0007258700000000001,0.0007258700000000001
77.0,77.0,0,0,77.0,0,19.598350309398963,0.00121695,0.00121695
78.0,78.0,0,0,78.0,0,19.588328484131125,0.0007416310000000001,0.0007416310000000001
