N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,12.189938005112019,0.000300139,0.000300139
3.0,3.0,0,0,3.0,0,12.445602292035963,0.000281998,0.000281998
4.0,4.0,0,0,4.0,0,12.32770276025966,0.00021538700000000002,0.00021538700000000002
5.0,5.0,0,0,5.0,0,12.712614827241042,0.000283852,0.000283852
6.0,6.0,0,0,6.0,0,13.139564950410236,0.00027380000000000004,0.00027380000000000004
7.0,7.0,0,0,7.0,0,13.46190165728347,0.00038667700000000004,0.00038667700000000004
8.0,8.0,0,0,8.0,0,13.73330705131388,0.000408851,0.000408851
9.0,9.0,0,0,9.0,0,13.894015268559333,0.00032760300000000004,0.00032760300000000004
10.0,10.0,0,0,10.0,0,14.412102979068385,0.0005540230000000001,0.0005540230000000001
11.0,11.0,0,0,11.0,0,13.50804508859591,0.00028309900000000004,0.00028309900000000004
12.0,12.0,0,0,12.0,0,14.794475296905025,0.000265439,0.000265439
13.0,13.0,0,0,13.0,0,14.80300604307554,0.000263971,0.000263971
14.0,14.0,0,0,14.0,0,14.273470843536433,0.000272628,0.000272628
15.0,15.0,0,0,15.0,0,15.356944420221012,0.00026002,0.00026002
16.0,16.0,0,0,16.0,0,15.025962400540429,0.000416136,0.000416136
17.0,17.0,0,0,17.0,0,14.717337317461626,0.00030989200000000003,0.00030989200000000003
18.0,18.0,0,0,18.0,0,15.66984525043856,0.000311122,0.000311122
19.0,19.0,0,0,19.0,0,15.548900058885348,0.00032839400000000003,0.00032839400000000003
20.0,20.0,0,0,20.0,0,15.346568389623132,0.00028941700000000004,0.00028941700000000004
21.0,21.0,0,0,21.0,0,15.667758261071413,0.00029204000000000003,0.00029204000000000003
22.0,22.0,0,0,22.0,0,15.820633739132454,0.000297792,0.000297792
23.0,23.0,0,0,23.0,0,15.80803438324004,0.00030044500000000004,0.00030044500000000004
24.0,24.0,0,0,24.0,0,15.858406043279984,0.00037666500000000004,0.00037666500000000004
25.0,25.0,0,0,25.0,0,15.850784803236305,0.00031611700000000004,0.00031611700000000004
26.0,26.0,0,0,26.0,0,16.121703632461923,0.00041352500000000004,0.00041352500000000004
27.0,27.0,0,0,27.0,0,15.701072924641068,0.000350043,0.000350043
28.0,28.0,0,0,28.0,0,16.58945621464014,0.00034037300000000004,0.00034037300000000004
29.0,29.0,0,0,29.0,0,16.880168835632634,0.00035645100000000003,0.00035645100000000003
30.0,30.0,0,0,30.0,0,16.542775880225634,0.000351847,0.000351847
31.0,31.0,0,0,31.0,0,16.838630486469274,0.00039847200000000003,0.00039847200000000003
32.0,32.0,0,0,32.0,0,17.042398021918267,0.000650917,0.000650917
33.0,33.0,0,0,33.0,0,16.855668061290864,0.0005343360000000001,0.0005343360000000001
34.0,34.0,0,0,34.0,0,17.251226707192636,0.000525224,0.000525224
35.0,35.0,0,0,35.0,0,16.99223649247175,0.000698652,0.000698652
36.0,36.0,0,0,36.0,0,16.91346833476865,0.000555419,0.000555419
37.0,37.0,0,0,37.0,0,17.13698252825777,0.000557712,0.000557712
38.0,38.0,0,0,38.0,0,17.62498225563392,0.000551658,0.000551658
39.0,39.0,0,0,39.0,0,17.706832800446833,0.00048106900000000004,0.00048106900000000004
40.0,40.0,0,0,40.0,0,17.27554751917079,0.0005742960000000001,0.0005742960000000001
41.0,41.0,0,0,41.0,0,17.641678230739906,0.0008245710000000001,0.0008245710000000001
42.0,42.0,0,0,42.0,0,17.569760483012427,0.0005941410000000001,0.0005941410000000001
43.0,43.0,0,0,43.0,0,17.28096151098719,0.00048261100000000003,0.00048261100000000003
44.0,44.0,0,0,44.0,0,17.677954095339178,0.00045568400000000004,0.00045568400000000004
45.0,45.0,0,0,45.0,0,18.02735305742923,0.000460672,0.000460672
46.0,46.0,0,0,46.0,0,17.899845708513674,0.00047275100000000004,0.00047275100000000004
47.0,47.0,0,0,47.0,0,17.799841765441073,0.0008169680000000001,0.0008169680000000001
