N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,12.363099467969692,0.000339919,0.000339919
3.0,3.0,0,0,3.0,0,12.440706223638141,0.000307149,0.000307149
4.0,4.0,0,0,4.0,0,12.476962971795075,0.00039315400000000005,0.00039315400000000005
5.0,5.0,0,0,5.0,0,12.53027033615445,0.000294748,0.000294748
6.0,6.0,0,0,6.0,0,13.381946964817681,0.000437923,0.000437923
7.0,7.0,0,0,7.0,0,13.393102587267045,0.0004960780000000001,0.0004960780000000001
8.0,8.0,0,0,8.0,0,13.652597138261168,0.000355228,0.000355228
9.0,9.0,0,0,9.0,0,13.768751939565817,0.000274102,0.000274102
10.0,10.0,0,0,10.0,0,14.511758900263514,0.000341969,0.000341969
11.0,11.0,0,0,11.0,0,14.58528714553647,0.000258063,0.000258063
12.0,12.0,0,0,12.0,0,14.53404163747296,0.00025271800000000003,0.00025271800000000003
13.0,13.0,0,0,13.0,0,14.505756161979402,0.00026492700000000003,0.00026492700000000003
14.0,14.0,0,0,14.0,0,14.503734881447096,0.000267123,0.000267123
15.0,15.0,0,0,15.0,0,16.234943815579403,0.000334026,0.000334026
16.0,16.0,0,0,16.0,0,16.391577958779592,0.000416804,0.000416804
17.0,17.0,0,0,17.0,0,16.417153505885743,0.00029796600000000004,0.00029796600000000004
18.0,18.0,0,0,18.0,0,16.46571406474652,0.000271729,0.000271729
19.0,19.0,0,0,19.0,0,16.54338934610348,0.000282809,0.000282809
20.0,20.0,0,0,20.0,0,16.56380165914926,0.0002863,0.0002863
21.0,21.0,0,0,21.0,0,16.8738993286579,0.000326272,0.000326272
22.0,22.0,0,0,22.0,0,17.038546809814804,0.00035367000000000005,0.00035367000000000005
23.0,23.0,0,0,23.0,0,17.237360338532834,0.000311761,0.000311761
24.0,24.0,0,0,24.0,0,17.334930206772555,0.00038891500000000004,0.00038891500000000004
25.0,25.0,0,0,25.0,0,17.353653597580468,0.0008280710000000001,0.0008280710000000001
26.0,26.0,0,0,26.0,0,17.390225088865602,0.000363364,0.000363364
27.0,27.0,0,0,27.0,0,17.432646365274117,0.000321565,0.000321565
28.0,28.0,0,0,28.0,0,17.622569927094723,0.00033202700000000004,0.00033202700000000004
29.0,29.0,0,0,29.0,0,17.683549067848805,0.000347824,0.000347824
30.0,30.0,0,0,30.0,0,17.689482924074746,0.000353062,0.000353062
31.0,31.0,0,0,31.0,0,17.761703792327786,0.00038355500000000005,0.00038355500000000005
32.0,32.0,0,0,32.0,0,17.878209250269567,0.000537598,0.000537598
33.0,33.0,0,0,33.0,0,17.91418801051966,0.000997263,0.000997263
34.0,34.0,0,0,34.0,0,17.93441088890626,0.0005211100000000001,0.0005211100000000001
35.0,35.0,0,0,35.0,0,17.988922304901852,0.0005525020000000001,0.0005525020000000001
36.0,36.0,0,0,36.0,0,18.127581652323013,0.001248432,0.001248432
37.0,37.0,0,0,37.0,0,18.22272016524957,0.0005355630000000001,0.0005355630000000001
38.0,38.0,0,0,38.0,0,18.347146452348028,0.0005692750000000001,0.0005692750000000001
39.0,39.0,0,0,39.0,0,18.479958989799325,0.0004959210000000001,0.0004959210000000001
40.0,40.0,0,0,40.0,0,18.553499052585916,0.001719028,0.001719028
41.0,41.0,0,0,41.0,0,18.57066402261449,0.00046866800000000005,0.00046866800000000005
42.0,42.0,0,0,42.0,0,18.58267169543619,0.00044053100000000003,0.00044053100000000003
43.0,43.0,0,0,43.0,0,18.592701416394704,0.00045807700000000004,0.00045807700000000004
44.0,44.0,0,0,44.0,0,18.596690871828613,0.0005060020000000001,0.0005060020000000001
45.0,45.0,0,0,45.0,0,18.660421280544032,0.000504297,0.000504297
46.0,46.0,0,0,46.0,0,18.683636008554842,0.00048532,0.00048532
47.0,47.0,0,0,47.0,0,18.772105576842392,0.000595341,0.000595341
48.0,48.0,0,0,48.0,0,18.793043187567157,0.000843159,0.000843159
49.0,49.0,0,0,49.0,0,18.80028656437565,0.000519177,0.000519177
50.0,50.0,0,0,50.0,0,18.800610907205957,0.001048808,0.001048808
51.0,51.0,0,0,51.0,0,18.801384272610477,0.000524818,0.000524818
52.0,52.0,0,0,52.0,0,18.810708018442465,0.0005149260000000001,0.0005149260000000001
53.0,53.0,0,0,53.0,0,18.819646506963817,0.0005240970000000001,0.0005240970000000001
54.0,54.0,0,0,54.0,0,18.816885191922438,0.000535823,0.000535823
55.0,55.0,0,0,55.0,0,18.820919299479883,0.000588443,0.000588443
56.0,56.0,0,0,56.0,0,18.820058297289673,0.000544719,0.000544719
57.0,57.0,0,0,57.0,0,18.817336458478287,0.000610175,0.000610175
58.0,58.0,0,0,58.0,0,18.94629331791209,0.0005850800000000001,0.0005850800000000001
59.0,59.0,0,0,59.0,0,19.025168875500718,0.0005749850000000001,0.0005749850000000001
60.0,60.0,0,0,60.0,0,19.01886011952006,0.000576632,0.000576632
61.0,61.0,0,0,61.0,0,19.107148392496835,0.000593069,0.000593069
62.0,62.0,0,0,62.0,0,19.1482941612887,0.000596185,0.000596185
63.0,63.0,0,0,63.0,0,19.17618586132767,0.000600314,0.000600314
64.0,64.0,0,0,64.0,0,19.237242041045377,0.000581515,0.000581515
65.0,65.0,0,0,65.0,0,19.28844089355968,0.000636216,0.000636216
66.0,66.0,0,0,66.0,0,19.302820541606614,0.00063917,0.00063917
67.0,67.0,0,0,67.0,0,19.328443451213847,0.000656154,0.000656154
68.0,68.0,0,0,68.0,0,19.38031246537775,0.0007772170000000001,0.0007772170000000001
69.0,69.0,0,0,69.0,0,19.388578228165123,0.0009242520000000001,0.0009242520000000001
70.0,70.0,0,0,70.0,0,19.398812860759588,0.000670062,0.000670062
71.0,71.0,0,0,71.0,0,19.455185882141947,0.000671679,0.000671679
72.0,72.0,0,0,72.0,0,19.465262385257127,0.000743956,0.000743956
73.0,73.0,0,0,73.0,0,19.507051506424396,0.0008179760000000001,0.0008179760000000001
74.0,74.0,0,0,74.0,0,19.529355193058624,0.00071,0.00071
75.0,75.0,0,0,75.0,0,19.531339408362914,0.0007144120000000001,0.0007144120000000001
76.0,76.0,0,0,76.0,0,19.54210903013198,0.000708263,0.000708263
77.0,77.0,0,0,77.0,0,19.54648609027616,0.0007251120000000001,0.0007251120000000001
