N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,12.317062057730439,0.00033429900000000003,0.00033429900000000003
3.0,3.0,0,0,3.0,0,12.349841932508719,0.00023064600000000001,0.00023064600000000001
4.0,4.0,0,0,4.0,0,12.348990173930368,0.000238439,0.000238439
5.0,5.0,0,0,5.0,0,12.463120732303281,0.00025833000000000003,0.00025833000000000003
6.0,6.0,0,0,6.0,0,13.117321869517518,0.00025257400000000004,0.00025257400000000004
7.0,7.0,0,0,7.0,0,13.745826009884558,0.000289704,0.000289704
8.0,8.0,0,0,8.0,0,13.792993956813307,0.000492179,0.000492179
9.0,9.0,0,0,9.0,0,14.080672056620232,0.001464105,0.001464105
10.0,10.0,0,0,10.0,0,14.581674500477305,0.00029565200000000003,0.00029565200000000003
11.0,11.0,0,0,11.0,0,14.020464013382304,0.000263401,0.000263401
12.0,12.0,0,0,12.0,0,15.006265912978565,0.00026148800000000004,0.00026148800000000004
13.0,13.0,0,0,13.0,0,14.952761656881702,0.000264536,0.000264536
14.0,14.0,0,0,14.0,0,14.735829812168946,0.00027946700000000004,0.00027946700000000004
15.0,15.0,0,0,15.0,0,16.0648402708033,0.000280281,0.000280281
16.0,16.0,0,0,16.0,0,15.586717386271413,0.000259698,0.000259698
17.0,17.0,0,0,17.0,0,15.387969499518421,0.000296549,0.000296549
18.0,18.0,0,0,18.0,0,16.352018728097583,0.000276691,0.000276691
19.0,19.0,0,0,19.0,0,16.574746355042407,0.000285128,0.000285128
20.0,20.0,0,0,20.0,0,16.175961485783084,0.000321534,0.000321534
21.0,21.0,0,0,21.0,0,16.59214934931707,0.000298739,0.000298739
22.0,22.0,0,0,22.0,0,16.72598465490028,0.00031225000000000003,0.00031225000000000003
23.0,23.0,0,0,23.0,0,16.89568044880106,0.00031099100000000005,0.00031099100000000005
24.0,24.0,0,0,24.0,0,16.894896427692018,0.0005363950000000001,0.0005363950000000001
25.0,25.0,0,0,25.0,0,17.06877616424666,0.00032904900000000004,0.00032904900000000004
26.0,26.0,0,0,26.0,0,16.90693353362884,0.000338268,0.000338268
27.0,27.0,0,0,27.0,0,16.936012973594472,0.00034952800000000005,0.00034952800000000005
28.0,28.0,0,0,28.0,0,17.24734295530903,0.000619042,0.000619042
