N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,12.657628054913964,0.00029002,0.00029002
3.0,3.0,0,0,3.0,0,15.039419052783527,0.00022941900000000002,0.00022941900000000002
4.0,4.0,0,0,4.0,0,15.306499986059055,0.000281869,0.000281869
5.0,5.0,0,0,5.0,0,15.553249632978627,0.000238139,0.000238139
6.0,6.0,0,0,6.0,0,15.56334066617033,0.00026401100000000003,0.00026401100000000003
7.0,7.0,0,0,7.0,0,15.712272620995444,0.000275415,0.000275415
8.0,8.0,0,0,8.0,0,15.717681879408907,0.00033922900000000003,0.00033922900000000003
9.0,9.0,0,0,9.0,0,15.72740325338125,0.00032122000000000004,0.00032122000000000004
10.0,10.0,0,0,10.0,0,15.738132934206616,0.00039528100000000004,0.00039528100000000004
11.0,11.0,0,0,11.0,0,15.971742834985216,0.00033540800000000004,0.00033540800000000004
12.0,12.0,0,0,12.0,0,15.99137445607083,0.000476788,0.000476788
13.0,13.0,0,0,13.0,0,16.72692226913959,0.000287194,0.000287194
14.0,14.0,0,0,14.0,0,16.78447555386097,0.00031915400000000004,0.00031915400000000004
15.0,15.0,0,0,15.0,0,16.744843556720916,0.000330504,0.000330504
16.0,16.0,0,0,16.0,0,16.76810417158206,0.000297352,0.000297352
17.0,17.0,0,0,17.0,0,16.930691711770372,0.00027519100000000004,0.00027519100000000004
18.0,18.0,0,0,18.0,0,16.956828337456738,0.00027898800000000003,0.00027898800000000003
19.0,19.0,0,0,19.0,0,16.942916607601365,0.000295123,0.000295123
20.0,20.0,0,0,20.0,0,17.12879590707294,0.00028766400000000003,0.00028766400000000003
21.0,21.0,0,0,21.0,0,17.1538382001646,0.000298484,0.000298484
22.0,22.0,0,0,22.0,0,17.118078082401183,0.000303942,0.000303942
23.0,23.0,0,0,23.0,0,17.202222306866403,0.00030639400000000003,0.00030639400000000003
24.0,24.0,0,0,24.0,0,17.180038135399723,0.00031675100000000004,0.00031675100000000004
25.0,25.0,0,0,25.0,0,17.26494572183693,0.00032436600000000003,0.00032436600000000003
