N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,12.37040534234529,0.00029514900000000003,0.00029514900000000003
3.0,3.0,0,0,3.0,0,15.375801180745974,0.00023806300000000003,0.00023806300000000003
4.0,4.0,0,0,4.0,0,13.82191353053292,0.00022944700000000003,0.00022944700000000003
5.0,5.0,0,0,5.0,0,14.125775112919028,0.00023313200000000002,0.00023313200000000002
6.0,6.0,0,0,6.0,0,15.2242288894673,0.000236473,0.000236473
7.0,7.0,0,0,7.0,0,15.977808934395451,0.00024694100000000003,0.00024694100000000003
8.0,8.0,0,0,8.0,0,15.025228008559925,0.000290644,0.000290644
9.0,9.0,0,0,9.0,0,15.185270877220026,0.0005332910000000001,0.0005332910000000001
10.0,10.0,0,0,10.0,0,15.97843312250605,0.000329891,0.000329891
11.0,11.0,0,0,11.0,0,15.996894870494156,0.0008832950000000001,0.0008832950000000001
12.0,12.0,0,0,12.0,0,15.47245116353869,0.00030218000000000004,0.00030218000000000004
13.0,13.0,0,0,13.0,0,16.205113648802378,0.00031927800000000004,0.00031927800000000004
14.0,14.0,0,0,14.0,0,16.556390656899353,0.000269552,0.000269552
15.0,15.0,0,0,15.0,0,16.079133390132412,0.000869071,0.000869071
16.0,16.0,0,0,16.0,0,15.847487378662063,0.00026577400000000003,0.00026577400000000003
17.0,17.0,0,0,17.0,0,16.506129951717508,0.00026339200000000004,0.00026339200000000004
18.0,18.0,0,0,18.0,0,16.78932506325686,0.000268554,0.000268554
19.0,19.0,0,0,19.0,0,16.669031740419193,0.00028010000000000003,0.00028010000000000003
20.0,20.0,0,0,20.0,0,16.510783289575755,0.000284134,0.000284134
21.0,21.0,0,0,21.0,0,16.963855630377328,0.000292889,0.000292889
22.0,22.0,0,0,22.0,0,16.851989438153087,0.0009624120000000001,0.0009624120000000001
23.0,23.0,0,0,23.0,0,17.253758060074695,0.00031285600000000003,0.00031285600000000003
24.0,24.0,0,0,24.0,0,16.909002716956255,0.00042032200000000005,0.00042032200000000005
25.0,25.0,0,0,25.0,0,16.822033058285367,0.00035804200000000004,0.00035804200000000004
26.0,26.0,0,0,26.0,0,17.71742894063874,0.00033733,0.00033733
27.0,27.0,0,0,27.0,0,17.195434960109573,0.001329906,0.001329906
28.0,28.0,0,0,28.0,0,17.154005802294286,0.000348558,0.000348558
29.0,29.0,0,0,29.0,0,17.332167729677412,0.000365143,0.000365143
30.0,30.0,0,0,30.0,0,17.520599215219907,0.000539574,0.000539574
31.0,31.0,0,0,31.0,0,17.861847656741773,0.0008082100000000001,0.0008082100000000001
32.0,32.0,0,0,32.0,0,17.200794945919288,0.000499179,0.000499179
33.0,33.0,0,0,33.0,0,17.979121915253934,0.000519803,0.000519803
34.0,34.0,0,0,34.0,0,17.86080800833599,0.000529266,0.000529266
35.0,35.0,0,0,35.0,0,17.584319377214086,0.000665615,0.000665615
36.0,36.0,0,0,36.0,0,17.92808532229903,0.0011163540000000002,0.0011163540000000002
37.0,37.0,0,0,37.0,0,17.81888874546736,0.000554406,0.000554406
38.0,38.0,0,0,38.0,0,18.549007489729767,0.000568568,0.000568568
39.0,39.0,0,0,39.0,0,17.906305072730216,0.000562523,0.000562523
40.0,40.0,0,0,40.0,0,17.754173618333443,0.00045941900000000003,0.00045941900000000003
41.0,41.0,0,0,41.0,0,18.95491711897304,0.000440468,0.000440468
42.0,42.0,0,0,42.0,0,18.205582846648436,0.000448625,0.000448625
43.0,43.0,0,0,43.0,0,17.781173507954595,0.000459925,0.000459925
44.0,44.0,0,0,44.0,0,18.625540034362214,0.000464575,0.000464575
45.0,45.0,0,0,45.0,0,18.49071253963558,0.00047393900000000004,0.00047393900000000004
46.0,46.0,0,0,46.0,0,18.343644278755768,0.000496298,0.000496298
47.0,47.0,0,0,47.0,0,18.0627407967371,0.000549744,0.000549744
48.0,48.0,0,0,48.0,0,18.780668276880427,0.0008684620000000001,0.0008684620000000001
49.0,49.0,0,0,49.0,0,18.464713661853438,0.0005015320000000001,0.0005015320000000001
50.0,50.0,0,0,50.0,0,18.989169230958673,0.000541811,0.000541811
51.0,51.0,0,0,51.0,0,18.064490643141113,0.000509573,0.000509573
52.0,52.0,0,0,52.0,0,18.951280512949708,0.0005188780000000001,0.0005188780000000001
53.0,53.0,0,0,53.0,0,18.690476447967143,0.000521704,0.000521704
54.0,54.0,0,0,54.0,0,18.730143381497676,0.0005629140000000001,0.0005629140000000001
55.0,55.0,0,0,55.0,0,18.755353461002432,0.000897392,0.000897392
56.0,56.0,0,0,56.0,0,19.09386740341594,0.0005543890000000001,0.0005543890000000001
57.0,57.0,0,0,57.0,0,18.9090158918822,0.000552285,0.000552285
58.0,58.0,0,0,58.0,0,18.711659384136638,0.000570414,0.000570414
59.0,59.0,0,0,59.0,0,18.779960894147592,0.0005883030000000001,0.0005883030000000001
