N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,13.162929879376765,0.00029881300000000004,0.00029881300000000004
3.0,3.0,0,0,3.0,0,15.121384264053217,0.00022733100000000002,0.00022733100000000002
4.0,4.0,0,0,4.0,0,15.340651131084737,0.00023322200000000002,0.00023322200000000002
5.0,5.0,0,0,5.0,0,15.53154635065594,0.000252741,0.000252741
6.0,6.0,0,0,6.0,0,15.468150381959372,0.000270506,0.000270506
7.0,7.0,0,0,7.0,0,15.731252132783373,0.00024004100000000003,0.00024004100000000003
8.0,8.0,0,0,8.0,0,15.734251599829696,0.000398382,0.000398382
9.0,9.0,0,0,9.0,0,15.74586532359654,0.0005782630000000001,0.0005782630000000001
10.0,10.0,0,0,10.0,0,15.768972296874775,0.0006291150000000001,0.0006291150000000001
11.0,11.0,0,0,11.0,0,15.891606316752405,0.000575096,0.000575096
12.0,12.0,0,0,12.0,0,16.05974969263814,0.000280759,0.000280759
13.0,13.0,0,0,13.0,0,16.76129540240815,0.000269181,0.000269181
14.0,14.0,0,0,14.0,0,16.7321614819734,0.00026820800000000003,0.00026820800000000003
15.0,15.0,0,0,15.0,0,16.809144852614242,0.000248836,0.000248836
16.0,16.0,0,0,16.0,0,16.86119537903323,0.000252011,0.000252011
17.0,17.0,0,0,17.0,0,16.91190909714692,0.000269976,0.000269976
18.0,18.0,0,0,18.0,0,16.919442644156536,0.000476402,0.000476402
19.0,19.0,0,0,19.0,0,16.95015266441921,0.000427271,0.000427271
20.0,20.0,0,0,20.0,0,17.13656036274957,0.00028861100000000003,0.00028861100000000003
21.0,21.0,0,0,21.0,0,17.12295840974106,0.000292279,0.000292279
22.0,22.0,0,0,22.0,0,17.122523843216815,0.00029784900000000004,0.00029784900000000004
23.0,23.0,0,0,23.0,0,17.145876783574572,0.000305665,0.000305665
24.0,24.0,0,0,24.0,0,17.146952784305547,0.00047262100000000005,0.00047262100000000005
25.0,25.0,0,0,25.0,0,17.161416161296653,0.00033841700000000004,0.00033841700000000004
26.0,26.0,0,0,26.0,0,17.534352917384638,0.00044090100000000005,0.00044090100000000005
27.0,27.0,0,0,27.0,0,17.7483781176791,0.00036574400000000004,0.00036574400000000004
28.0,28.0,0,0,28.0,0,17.81779325496141,0.000438062,0.000438062
29.0,29.0,0,0,29.0,0,17.877659395964805,0.00047077200000000005,0.00047077200000000005
30.0,30.0,0,0,30.0,0,17.913776686104143,0.00041997700000000003,0.00041997700000000003
31.0,31.0,0,0,31.0,0,17.9817534197003,0.0019937870000000003,0.0019937870000000003
32.0,32.0,0,0,32.0,0,17.991157847553396,0.000549385,0.000549385
33.0,33.0,0,0,33.0,0,18.005123161323233,0.0016347430000000001,0.0016347430000000001
34.0,34.0,0,0,34.0,0,18.235823056948927,0.001128962,0.001128962
35.0,35.0,0,0,35.0,0,18.261744144314502,0.000528086,0.000528086
36.0,36.0,0,0,36.0,0,18.28941202750135,0.000475408,0.000475408
37.0,37.0,0,0,37.0,0,18.336408478192293,0.0005794180000000001,0.0005794180000000001
38.0,38.0,0,0,38.0,0,18.320843768324202,0.000769727,0.000769727
39.0,39.0,0,0,39.0,0,18.500750679679275,0.000435992,0.000435992
40.0,40.0,0,0,40.0,0,18.593453841309863,0.000437759,0.000437759
41.0,41.0,0,0,41.0,0,18.883782269290894,0.000448996,0.000448996
42.0,42.0,0,0,42.0,0,19.008585604862567,0.0005846170000000001,0.0005846170000000001
43.0,43.0,0,0,43.0,0,19.18574904336844,0.000676591,0.000676591
44.0,44.0,0,0,44.0,0,19.204811841177683,0.0006983730000000001,0.0006983730000000001
45.0,45.0,0,0,45.0,0,19.216714305362842,0.00047256100000000003,0.00047256100000000003
46.0,46.0,0,0,46.0,0,19.220405794795113,0.00047939,0.00047939
47.0,47.0,0,0,47.0,0,19.222057270389637,0.0005339720000000001,0.0005339720000000001
48.0,48.0,0,0,48.0,0,19.217982964310764,0.000491474,0.000491474
49.0,49.0,0,0,49.0,0,19.22680559039407,0.0005102430000000001,0.0005102430000000001
50.0,50.0,0,0,50.0,0,19.33384906675397,0.000506978,0.000506978
51.0,51.0,0,0,51.0,0,19.35871294573269,0.000523949,0.000523949
52.0,52.0,0,0,52.0,0,19.388226539187567,0.000539919,0.000539919
53.0,53.0,0,0,53.0,0,19.427926406028984,0.0006163540000000001,0.0006163540000000001
54.0,54.0,0,0,54.0,0,19.427956897407395,0.0005324010000000001,0.0005324010000000001
55.0,55.0,0,0,55.0,0,19.426059039902228,0.0005646900000000001,0.0005646900000000001
56.0,56.0,0,0,56.0,0,19.423668225446438,0.000541022,0.000541022
57.0,57.0,0,0,57.0,0,19.429825079923027,0.000556451,0.000556451
58.0,58.0,0,0,58.0,0,19.504433826773727,0.000571208,0.000571208
59.0,59.0,0,0,59.0,0,19.544976800893117,0.000575017,0.000575017
60.0,60.0,0,0,60.0,0,19.718260380377036,0.000579698,0.000579698
61.0,61.0,0,0,61.0,0,19.77485996259949,0.0005871520000000001,0.0005871520000000001
62.0,62.0,0,0,62.0,0,19.91304535059896,0.000668559,0.000668559
63.0,63.0,0,0,63.0,0,20.035201276388058,0.0006155840000000001,0.0006155840000000001
64.0,64.0,0,0,64.0,0,20.16859588611805,0.000661785,0.000661785
65.0,65.0,0,0,65.0,0,20.188275502114344,0.000646299,0.000646299
66.0,66.0,0,0,66.0,0,20.198312480291854,0.000636459,0.000636459
67.0,67.0,0,0,67.0,0,20.306150227437602,0.0006495380000000001,0.0006495380000000001
68.0,68.0,0,0,68.0,0,20.31866468280912,0.000665344,0.000665344
69.0,69.0,0,0,69.0,0,20.32723822861825,0.000656923,0.000656923
70.0,70.0,0,0,70.0,0,20.329315103267657,0.000673665,0.000673665
71.0,71.0,0,0,71.0,0,20.331723444711972,0.0006754420000000001,0.0006754420000000001
72.0,72.0,0,0,72.0,0,20.350596840712246,0.0013666230000000002,0.0013666230000000002
73.0,73.0,0,0,73.0,0,20.36815503386853,0.000714965,0.000714965
74.0,74.0,0,0,74.0,0,20.374482520016116,0.000757105,0.000757105
75.0,75.0,0,0,75.0,0,20.41993126271486,0.001689257,0.001689257
76.0,76.0,0,0,76.0,0,20.44673315796787,0.000741998,0.000741998
