N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,2.0,0,0,2.0,0,12.320469966659191,0.000290279,0.000290279
3.0,3.0,0,0,3.0,0,15.173285039382584,0.000308399,0.000308399
4.0,4.0,0,0,4.0,0,15.25683531044246,0.00023470200000000002,0.00023470200000000002
5.0,5.0,0,0,5.0,0,15.406893198748403,0.00023650100000000002,0.00023650100000000002
6.0,6.0,0,0,6.0,0,15.504662337960532,0.00026090200000000003,0.00026090200000000003
7.0,7.0,0,0,7.0,0,15.780489843486905,0.00029367600000000004,0.00029367600000000004
8.0,8.0,0,0,8.0,0,15.648138821864215,0.0006951720000000001,0.0006951720000000001
9.0,9.0,0,0,9.0,0,15.616113478884884,0.0011768940000000002,0.0011768940000000002
10.0,10.0,0,0,10.0,0,15.99124493200981,0.00034667300000000003,0.00034667300000000003
11.0,11.0,0,0,11.0,0,16.295707178519443,0.00026363600000000004,0.00026363600000000004
12.0,12.0,0,0,12.0,0,15.91087884798398,0.000259613,0.000259613
13.0,13.0,0,0,13.0,0,16.420836309784768,0.000265383,0.000265383
14.0,14.0,0,0,14.0,0,16.82963008219694,0.000295741,0.000295741
15.0,15.0,0,0,15.0,0,16.360883291146276,0.000265439,0.000265439
16.0,16.0,0,0,16.0,0,16.828809563429722,0.000293226,0.000293226
17.0,17.0,0,0,17.0,0,16.774143404142503,0.00027585500000000003,0.00027585500000000003
18.0,18.0,0,0,18.0,0,17.02546284150104,0.000286895,0.000286895
19.0,19.0,0,0,19.0,0,16.853073022429765,0.000286062,0.000286062
20.0,20.0,0,0,20.0,0,16.995599270034933,0.000292814,0.000292814
21.0,21.0,0,0,21.0,0,17.362101167919825,0.00029273600000000004,0.00029273600000000004
22.0,22.0,0,0,22.0,0,16.880791235425,0.00030336400000000003,0.00030336400000000003
23.0,23.0,0,0,23.0,0,17.457920294300745,0.00030468600000000003,0.00030468600000000003
24.0,24.0,0,0,24.0,0,17.2524593274067,0.000326149,0.000326149
25.0,25.0,0,0,25.0,0,17.311251909015247,0.000324679,0.000324679
26.0,26.0,0,0,26.0,0,17.693583805491667,0.00048154500000000005,0.00048154500000000005
27.0,27.0,0,0,27.0,0,17.398325102527235,0.0005613290000000001,0.0005613290000000001
28.0,28.0,0,0,28.0,0,17.68929332939543,0.000435031,0.000435031
29.0,29.0,0,0,29.0,0,17.637313811305862,0.000679022,0.000679022
30.0,30.0,0,0,30.0,0,18.011551784520453,0.00154718,0.00154718
31.0,31.0,0,0,31.0,0,17.810447200129197,0.000594146,0.000594146
32.0,32.0,0,0,32.0,0,17.736848217651414,0.0005008720000000001,0.0005008720000000001
33.0,33.0,0,0,33.0,0,18.359947833360756,0.0006202520000000001,0.0006202520000000001
34.0,34.0,0,0,34.0,0,18.164680290398074,0.000531729,0.000531729
35.0,35.0,0,0,35.0,0,17.943640191343665,0.0005466010000000001,0.0005466010000000001
36.0,36.0,0,0,36.0,0,18.458212664734894,0.000535615,0.000535615
37.0,37.0,0,0,37.0,0,18.10453451788517,0.00045518,0.00045518
38.0,38.0,0,0,38.0,0,18.91119801358855,0.000494842,0.000494842
39.0,39.0,0,0,39.0,0,18.358480016756367,0.0004910460000000001,0.0004910460000000001
40.0,40.0,0,0,40.0,0,18.272198603575816,0.000443636,0.000443636
41.0,41.0,0,0,41.0,0,18.975302097044917,0.00044756900000000004,0.00044756900000000004
42.0,42.0,0,0,42.0,0,18.747744683701946,0.00045254500000000005,0.00045254500000000005
43.0,43.0,0,0,43.0,0,18.664064860906567,0.0005260470000000001,0.0005260470000000001
44.0,44.0,0,0,44.0,0,18.777984132146972,0.000470418,0.000470418
45.0,45.0,0,0,45.0,0,18.898384384245226,0.00047960900000000004,0.00047960900000000004
46.0,46.0,0,0,46.0,0,19.286315775438926,0.00047773000000000005,0.00047773000000000005
47.0,47.0,0,0,47.0,0,18.61496793057665,0.000507687,0.000507687
48.0,48.0,0,0,48.0,0,19.435358449827675,0.000608289,0.000608289
49.0,49.0,0,0,49.0,0,18.88825851172383,0.000582522,0.000582522
50.0,50.0,0,0,50.0,0,19.453563540312167,0.0005723750000000001,0.0005723750000000001
51.0,51.0,0,0,51.0,0,18.994182191847983,0.000547906,0.000547906
52.0,52.0,0,0,52.0,0,19.34322793042859,0.000537868,0.000537868
53.0,53.0,0,0,53.0,0,19.472734293154616,0.0005882200000000001,0.0005882200000000001
54.0,54.0,0,0,54.0,0,19.34536612882147,0.0012060530000000001,0.0012060530000000001
55.0,55.0,0,0,55.0,0,19.218489045103627,0.000560457,0.000560457
56.0,56.0,0,0,56.0,0,19.662485503683353,0.000556278,0.000556278
57.0,57.0,0,0,57.0,0,19.466458042882714,0.0012238910000000002,0.0012238910000000002
58.0,58.0,0,0,58.0,0,19.659584356726228,0.000597794,0.000597794
59.0,59.0,0,0,59.0,0,19.288516086385304,0.000583921,0.000583921
60.0,60.0,0,0,60.0,0,20.231994488104903,0.000657273,0.000657273
61.0,61.0,0,0,61.0,0,19.238429142410325,0.0007397030000000001,0.0007397030000000001
62.0,62.0,0,0,62.0,0,20.081582845290235,0.0006093170000000001,0.0006093170000000001
63.0,63.0,0,0,63.0,0,19.510384002575154,0.000639339,0.000639339
64.0,64.0,0,0,64.0,0,19.994550880478407,0.000668286,0.000668286
65.0,65.0,0,0,65.0,0,19.999700800870283,0.0006650260000000001,0.0006650260000000001
66.0,66.0,0,0,66.0,0,19.879780443564734,0.0006535390000000001,0.0006535390000000001
67.0,67.0,0,0,67.0,0,19.885065788905308,0.000715584,0.000715584
68.0,68.0,0,0,68.0,0,20.21526576134118,0.0006769640000000001,0.0006769640000000001
69.0,69.0,0,0,69.0,0,19.92732357041074,0.000685932,0.000685932
70.0,70.0,0,0,70.0,0,20.166060298762794,0.000681394,0.000681394
71.0,71.0,0,0,71.0,0,19.88821067967698,0.0006837400000000001,0.0006837400000000001
72.0,72.0,0,0,72.0,0,20.492727296382416,0.000691862,0.000691862
73.0,73.0,0,0,73.0,0,20.0070265381679,0.000777949,0.000777949
74.0,74.0,0,0,74.0,0,20.25875680062267,0.000719549,0.000719549
75.0,75.0,0,0,75.0,0,20.203489093311134,0.001239529,0.001239529
76.0,76.0,0,0,76.0,0,20.515017943943622,0.0007351170000000001,0.0007351170000000001
