N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,14.843167399771948,0.0010912440000000001,0.0010912440000000001
3.0,9.0,0,0,9.0,0,15.915996783251359,0.001169686,0.001169686
4.0,16.0,0,0,16.0,0,16.238250360454188,0.0011854530000000002,0.0011854530000000002
5.0,25.0,0,0,25.0,0,17.156242796756594,0.001213108,0.001213108
6.0,36.0,0,0,36.0,0,17.28804294747291,0.001261247,0.001261247
7.0,49.0,0,0,49.0,0,18.23112893548882,0.001273423,0.001273423
8.0,64.0,0,0,64.0,0,18.10912511594794,0.001307566,0.001307566
9.0,81.0,0,0,81.0,0,18.62758335492583,0.001620588,0.001620588
10.0,100.0,0,0,100.0,0,18.79432873621384,0.001407316,0.001407316
11.0,121.0,0,0,121.0,0,19.16952408538094,0.0013814830000000002,0.0013814830000000002
12.0,144.0,0,0,144.0,0,19.189800926862908,0.001357785,0.001357785
13.0,169.0,0,0,169.0,0,19.51192541531987,0.001393708,0.001393708
14.0,196.0,0,0,196.0,0,19.64921071491434,0.001366243,0.001366243
15.0,225.0,0,0,225.0,0,19.775195621875213,0.001406694,0.001406694
16.0,256.0,0,0,256.0,0,19.829392421037145,0.001390591,0.001390591
17.0,289.0,0,0,289.0,0,20.113457654104664,0.00152315,0.00152315
18.0,324.0,0,0,324.0,0,20.11286067484437,0.001546431,0.001546431
19.0,361.0,0,0,361.0,0,20.36711000471354,0.0015939060000000002,0.0015939060000000002
20.0,400.0,0,0,400.0,0,20.378199069866575,0.001547442,0.001547442
21.0,441.0,0,0,441.0,0,20.538636335962572,0.001559148,0.001559148
22.0,484.0,0,0,484.0,0,20.596729284632268,0.004852121,0.004852121
23.0,529.0,0,0,529.0,0,20.856104066454584,0.0015747130000000002,0.0015747130000000002
24.0,576.0,0,0,576.0,0,20.957460782045473,0.001586237,0.001586237
25.0,625.0,0,0,625.0,0,21.102608120792414,0.0016646060000000001,0.0016646060000000001
26.0,676.0,0,0,676.0,0,21.143883614245706,0.0016896760000000002,0.0016896760000000002
27.0,729.0,0,0,729.0,0,21.30128189138972,0.0016178310000000001,0.0016178310000000001
