N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,14.496687390801803,0.130227264,0.130227264
3.0,9.0,0,0,9.0,0,15.07222843764903,0.0012597700000000001,0.0012597700000000001
4.0,16.0,0,0,16.0,0,15.342400107988244,0.001464847,0.001464847
5.0,25.0,0,0,25.0,0,15.59167866665394,0.0013299000000000002,0.0013299000000000002
6.0,36.0,0,0,36.0,0,15.848483091914042,0.0013536090000000002,0.0013536090000000002
7.0,49.0,0,0,49.0,0,16.127325011861767,0.0013734300000000001,0.0013734300000000001
8.0,64.0,0,0,64.0,0,16.297979920315026,0.001450446,0.001450446
9.0,81.0,0,0,81.0,0,16.47899085003062,0.0014340750000000001,0.0014340750000000001
10.0,100.0,0,0,100.0,0,16.5977601499012,0.001556599,0.001556599
11.0,121.0,0,0,121.0,0,16.701690335503443,0.001461737,0.001461737
12.0,144.0,0,0,144.0,0,16.802472156460354,0.001446136,0.001446136
13.0,169.0,0,0,169.0,0,16.93863287934426,0.0014874430000000002,0.0014874430000000002
14.0,196.0,0,0,196.0,0,16.989518537978956,0.0015316770000000002,0.0015316770000000002
15.0,225.0,0,0,225.0,0,17.07904048145152,0.0015022850000000001,0.0015022850000000001
16.0,256.0,0,0,256.0,0,17.167423595896274,0.001517052,0.001517052
17.0,289.0,0,0,289.0,0,17.23997273878928,0.0016074370000000002,0.0016074370000000002
18.0,324.0,0,0,324.0,0,17.298890704957948,0.001825058,0.001825058
19.0,361.0,0,0,361.0,0,17.382092783689473,0.0016439430000000001,0.0016439430000000001
20.0,400.0,0,0,400.0,0,17.442668439349347,0.001665924,0.001665924
21.0,441.0,0,0,441.0,0,17.501206961639358,0.0016672560000000002,0.0016672560000000002
22.0,484.0,0,0,484.0,0,17.56216057525436,0.0017016650000000002,0.0017016650000000002
23.0,529.0,0,0,529.0,0,17.651108804094594,0.001827321,0.001827321
24.0,576.0,0,0,576.0,0,17.716105339186047,0.0017124750000000002,0.0017124750000000002
25.0,625.0,0,0,625.0,0,17.774452120896534,0.001764198,0.001764198
26.0,676.0,0,0,676.0,0,17.880150177093945,0.001781531,0.001781531
27.0,729.0,0,0,729.0,0,17.9359365124469,0.0018513120000000001,0.0018513120000000001
28.0,784.0,0,0,784.0,0,18.005762477992683,0.0017933250000000001,0.0017933250000000001
29.0,841.0,0,0,841.0,0,18.079055132199894,0.001778772,0.001778772
30.0,900.0,0,0,900.0,0,18.11876202284268,0.0018169470000000002,0.0018169470000000002
31.0,961.0,0,0,961.0,0,18.196015340228534,0.0018332390000000002,0.0018332390000000002
32.0,1024.0,0,0,1024.0,0,18.244108240833686,0.001831338,0.001831338
33.0,1089.0,0,0,1089.0,0,18.27304641894627,0.002405646,0.002405646
34.0,1156.0,0,0,1156.0,0,18.364925191846773,0.0024791590000000003,0.0024791590000000003
35.0,1225.0,0,0,1225.0,0,18.389901541515528,0.0024459710000000003,0.0024459710000000003
36.0,1296.0,0,0,1296.0,0,18.44496326769077,0.002457018,0.002457018
37.0,1369.0,0,0,1369.0,0,18.525078882814107,0.002459651,0.002459651
38.0,1444.0,0,0,1444.0,0,18.546143799052693,0.002512725,0.002512725
39.0,1521.0,0,0,1521.0,0,18.620854729745286,0.0025177100000000003,0.0025177100000000003
40.0,1600.0,0,0,1600.0,0,18.67057252811058,0.002456727,0.002456727
41.0,1681.0,0,0,1681.0,0,18.71298120971985,0.002600484,0.002600484
42.0,1764.0,0,0,1764.0,0,18.752117714783687,0.0025583150000000002,0.0025583150000000002
43.0,1849.0,0,0,1849.0,0,18.809947444695972,0.0026166690000000003,0.0026166690000000003
44.0,1936.0,0,0,1936.0,0,18.865580642455622,0.002560587,0.002560587
45.0,2025.0,0,0,2025.0,0,18.926830284138713,0.0026320740000000003,0.0026320740000000003
46.0,2116.0,0,0,2116.0,0,18.960951153163887,0.003176294,0.003176294
47.0,2209.0,0,0,2209.0,0,19.002673774112612,0.0026987770000000003,0.0026987770000000003
48.0,2304.0,0,0,2304.0,0,19.060425168645423,0.003318792,0.003318792
49.0,2401.0,0,0,2401.0,0,19.10301822878975,0.002714162,0.002714162
50.0,2500.0,0,0,2500.0,0,19.143462833062824,0.004060917,0.004060917
51.0,2601.0,0,0,2601.0,0,19.188940113773594,0.002748038,0.002748038
52.0,2704.0,0,0,2704.0,0,19.227375670113492,0.0028223420000000003,0.0028223420000000003
53.0,2809.0,0,0,2809.0,0,19.268229371635194,0.003238187,0.003238187
54.0,2916.0,0,0,2916.0,0,19.300420510044894,0.002767874,0.002767874
55.0,3025.0,0,0,3025.0,0,19.347027541415247,0.0028667920000000004,0.0028667920000000004
56.0,3136.0,0,0,3136.0,0,19.38372104632371,0.0027574070000000003,0.0027574070000000003
57.0,3249.0,0,0,3249.0,0,19.41030739326343,0.002863514,0.002863514
58.0,3364.0,0,0,3364.0,0,19.44538686526277,0.002825251,0.002825251
59.0,3481.0,0,0,3481.0,0,19.48776639187345,0.002902612,0.002902612
60.0,3600.0,0,0,3600.0,0,19.503855782060835,0.002841965,0.002841965
61.0,3721.0,0,0,3721.0,0,19.537644016298103,0.003087035,0.003087035
62.0,3844.0,0,0,3844.0,0,19.575639403381423,0.002871897,0.002871897
63.0,3969.0,0,0,3969.0,0,19.629994371347077,0.0034266440000000004,0.0034266440000000004
64.0,4096.0,0,0,4096.0,0,19.655900393431136,0.003049693,0.003049693
65.0,4225.0,0,0,4225.0,0,19.68463238858651,0.003864231,0.003864231
66.0,4356.0,0,0,4356.0,0,19.717895358818282,0.005731206,0.005731206
67.0,4489.0,0,0,4489.0,0,19.742609720328304,0.00398917,0.00398917
68.0,4624.0,0,0,4624.0,0,19.777524444284673,0.003920515,0.003920515
69.0,4761.0,0,0,4761.0,0,19.804133514420087,0.0040351530000000005,0.0040351530000000005
70.0,4900.0,0,0,4900.0,0,19.843735686060167,0.00390252,0.00390252
71.0,5041.0,0,0,5041.0,0,19.863158592119355,0.004079475,0.004079475
72.0,5184.0,0,0,5184.0,0,19.92366933232378,0.004032105,0.004032105
73.0,5329.0,0,0,5329.0,0,19.926411611535208,0.004087287,0.004087287
74.0,5476.0,0,0,5476.0,0,19.972396089862446,0.004098834,0.004098834
75.0,5625.0,0,0,5625.0,0,19.989290454700367,0.004153942,0.004153942
76.0,5776.0,0,0,5776.0,0,20.04198599025373,0.004141772,0.004141772
77.0,5929.0,0,0,5929.0,0,20.05752551077043,0.004180822,0.004180822
78.0,6084.0,0,0,6084.0,0,20.096940679727382,0.004140211,0.004140211
79.0,6241.0,0,0,6241.0,0,20.13251062196258,0.004234483000000001,0.004234483000000001
80.0,6400.0,0,0,6400.0,0,20.15405738765456,0.004154044,0.004154044
81.0,6561.0,0,0,6561.0,0,20.19287436685058,0.004390579,0.004390579
82.0,6724.0,0,0,6724.0,0,20.223091079732328,0.004193139,0.004193139
83.0,6889.0,0,0,6889.0,0,20.251914869979885,0.004195859000000001,0.004195859000000001
84.0,7056.0,0,0,7056.0,0,20.300634429903468,0.004188561,0.004188561
85.0,7225.0,0,0,7225.0,0,20.30307115216158,0.004360827,0.004360827
86.0,7396.0,0,0,7396.0,0,20.347494866285377,0.0041922290000000004,0.0041922290000000004
87.0,7569.0,0,0,7569.0,0,20.3587702335755,0.004228921,0.004228921
88.0,7744.0,0,0,7744.0,0,20.374130261209352,0.004506978,0.004506978
89.0,7921.0,0,0,7921.0,0,20.422081480213063,0.004290989,0.004290989
90.0,8100.0,0,0,8100.0,0,20.43304608115102,0.004345108,0.004345108
91.0,8281.0,0,0,8281.0,0,20.465681906650882,0.00439884,0.00439884
92.0,8464.0,0,0,8464.0,0,20.495833237303394,0.004539662,0.004539662
93.0,8649.0,0,0,8649.0,0,20.52225697888932,0.004436469,0.004436469
94.0,8836.0,0,0,8836.0,0,20.54162638089312,0.004385476,0.004385476
95.0,9025.0,0,0,9025.0,0,20.576079856296225,0.0044476030000000005,0.0044476030000000005
96.0,9216.0,0,0,9216.0,0,20.594998288624673,0.004632188000000001,0.004632188000000001
97.0,9409.0,0,0,9409.0,0,20.60862503897625,0.005315379,0.005315379
98.0,9604.0,0,0,9604.0,0,20.650682637175525,0.005340026,0.005340026
99.0,9801.0,0,0,9801.0,0,20.673474278720484,0.00533619,0.00533619
100.0,10000.0,0,0,10000.0,0,20.695923242913004,0.005319511000000001,0.005319511000000001
101.0,10201.0,0,0,10201.0,0,20.71336540311791,0.005328656,0.005328656
102.0,10404.0,0,0,10404.0,0,20.75030504179427,0.005323277,0.005323277
103.0,10609.0,0,0,10609.0,0,20.7675629438,0.005314098000000001,0.005314098000000001
104.0,10816.0,0,0,10816.0,0,20.788745344664854,0.005303939000000001,0.005303939000000001
105.0,11025.0,0,0,11025.0,0,20.817120768651396,0.005418555,0.005418555
106.0,11236.0,0,0,11236.0,0,20.833635176491654,0.005514625,0.005514625
107.0,11449.0,0,0,11449.0,0,20.86607243180566,0.005377405,0.005377405
108.0,11664.0,0,0,11664.0,0,20.877392658500973,0.0054357500000000005,0.0054357500000000005
109.0,11881.0,0,0,11881.0,0,20.906088084496343,0.005649937000000001,0.005649937000000001
110.0,12100.0,0,0,12100.0,0,20.927821532104794,0.007424141,0.007424141
111.0,12321.0,0,0,12321.0,0,20.956021437842587,0.005480916000000001,0.005480916000000001
112.0,12544.0,0,0,12544.0,0,20.975142330475627,0.005457548,0.005457548
113.0,12769.0,0,0,12769.0,0,21.01254761235703,0.005583973000000001,0.005583973000000001
114.0,12996.0,0,0,12996.0,0,21.02307042188878,0.005986310000000001,0.005986310000000001
115.0,13225.0,0,0,13225.0,0,21.055532734950063,0.005558924000000001,0.005558924000000001
116.0,13456.0,0,0,13456.0,0,21.0723404426567,0.005605005000000001,0.005605005000000001
117.0,13689.0,0,0,13689.0,0,21.095303630091834,0.0069815730000000005,0.0069815730000000005
118.0,13924.0,0,0,13924.0,0,21.110549310350557,0.005611840000000001,0.005611840000000001
119.0,14161.0,0,0,14161.0,0,21.133504867620836,0.0057773040000000005,0.0057773040000000005
120.0,14400.0,0,0,14400.0,0,21.152322320027885,0.005602031,0.005602031
121.0,14641.0,0,0,14641.0,0,21.185837884449853,0.005719414000000001,0.005719414000000001
122.0,14884.0,0,0,14884.0,0,21.20529553598436,0.005988031,0.005988031
123.0,15129.0,0,0,15129.0,0,21.236201880576367,0.005697313000000001,0.005697313000000001
124.0,15376.0,0,0,15376.0,0,21.25133824719022,0.005693702,0.005693702
125.0,15625.0,0,0,15625.0,0,21.269814425513317,0.005757704000000001,0.005757704000000001
126.0,15876.0,0,0,15876.0,0,21.299139439366854,0.007169531000000001,0.007169531000000001
127.0,16129.0,0,0,16129.0,0,21.31758113535192,0.0059859760000000005,0.0059859760000000005
128.0,16384.0,0,0,16384.0,0,21.34947045979453,0.007014602000000001,0.007014602000000001
129.0,16641.0,0,0,16641.0,0,21.362031908725932,0.008591385,0.008591385
130.0,16900.0,0,0,16900.0,0,21.38204380130825,0.007402983,0.007402983
131.0,17161.0,0,0,17161.0,0,21.41153453481085,0.007424291,0.007424291
132.0,17424.0,0,0,17424.0,0,21.43542211266672,0.007973614,0.007973614
133.0,17689.0,0,0,17689.0,0,21.446817924011906,0.007430997000000001,0.007430997000000001
134.0,17956.0,0,0,17956.0,0,21.482007670101417,0.007712372,0.007712372
135.0,18225.0,0,0,18225.0,0,21.506318883755128,0.0076945500000000005,0.0076945500000000005
136.0,18496.0,0,0,18496.0,0,21.51655483658121,0.008763927000000001,0.008763927000000001
137.0,18769.0,0,0,18769.0,0,21.54949474199539,0.008038355,0.008038355
138.0,19044.0,0,0,19044.0,0,21.564876376846797,0.008076247,0.008076247
139.0,19321.0,0,0,19321.0,0,21.58547975540116,0.007874395000000001,0.007874395000000001
140.0,19600.0,0,0,19600.0,0,21.611149532654217,0.008404474,0.008404474
141.0,19881.0,0,0,19881.0,0,21.62219849043373,0.008994102,0.008994102
142.0,20164.0,0,0,20164.0,0,21.641526290867453,0.007873984,0.007873984
143.0,20449.0,0,0,20449.0,0,21.67835372866161,0.007916582,0.007916582
144.0,20736.0,0,0,20736.0,0,21.68434665571629,0.007661211,0.007661211
145.0,21025.0,0,0,21025.0,0,21.708040874979826,0.007915029,0.007915029
146.0,21316.0,0,0,21316.0,0,21.72806306307635,0.008031684,0.008031684
147.0,21609.0,0,0,21609.0,0,21.743085077615625,0.007914164000000001,0.007914164000000001
148.0,21904.0,0,0,21904.0,0,21.76604943769722,0.007876629000000001,0.007876629000000001
149.0,22201.0,0,0,22201.0,0,21.788567998334962,0.007630312,0.007630312
150.0,22500.0,0,0,22500.0,0,21.810392295136054,0.009288361,0.009288361
151.0,22801.0,0,0,22801.0,0,21.828853682483498,0.008070652000000001,0.008070652000000001
152.0,23104.0,0,0,23104.0,0,21.848492267728332,0.009182655000000001,0.009182655000000001
153.0,23409.0,0,0,23409.0,0,21.868088846593928,0.009193380000000001,0.009193380000000001
154.0,23716.0,0,0,23716.0,0,21.88326417399026,0.008224688,0.008224688
155.0,24025.0,0,0,24025.0,0,21.897982992616424,0.008120755,0.008120755
156.0,24336.0,0,0,24336.0,0,21.923492546218775,0.008210308000000001,0.008210308000000001
157.0,24649.0,0,0,24649.0,0,21.940230769528355,0.008097446000000001,0.008097446000000001
158.0,24964.0,0,0,24964.0,0,21.954189515863867,0.008761619,0.008761619
159.0,25281.0,0,0,25281.0,0,21.983117376293247,0.008476119,0.008476119
160.0,25600.0,0,0,25600.0,0,21.992079113456633,0.008360827000000001,0.008360827000000001
161.0,25921.0,0,0,25921.0,0,22.026308854258637,0.009386157000000001,0.009386157000000001
162.0,26244.0,0,0,26244.0,0,22.037509344078092,0.009406759,0.009406759
163.0,26569.0,0,0,26569.0,0,22.04558867962752,0.009522538,0.009522538
164.0,26896.0,0,0,26896.0,0,22.068327706524524,0.009504324,0.009504324
165.0,27225.0,0,0,27225.0,0,22.076906673161325,0.009309033000000001,0.009309033000000001
166.0,27556.0,0,0,27556.0,0,22.106211838415277,0.009848068,0.009848068
167.0,27889.0,0,0,27889.0,0,22.120257576733515,0.009585579,0.009585579
168.0,28224.0,0,0,28224.0,0,22.13801303723042,0.009470663,0.009470663
169.0,28561.0,0,0,28561.0,0,22.15150164402774,0.009524521000000001,0.009524521000000001
170.0,28900.0,0,0,28900.0,0,22.165263337282628,0.009896264,0.009896264
171.0,29241.0,0,0,29241.0,0,22.201742438616474,0.00935974,0.00935974
172.0,29584.0,0,0,29584.0,0,22.216010122963517,0.009861701,0.009861701
173.0,29929.0,0,0,29929.0,0,22.226078542651738,0.009491955,0.009491955
174.0,30276.0,0,0,30276.0,0,22.24873452964757,0.010625839000000002,0.010625839000000002
175.0,30625.0,0,0,30625.0,0,22.262329913490795,0.009162644000000001,0.009162644000000001
176.0,30976.0,0,0,30976.0,0,22.27913050654811,0.008967207000000001,0.008967207000000001
177.0,31329.0,0,0,31329.0,0,22.291037227013135,0.009802776000000001,0.009802776000000001
178.0,31684.0,0,0,31684.0,0,22.320138785494738,0.009247646,0.009247646
179.0,32041.0,0,0,32041.0,0,22.32613072582623,0.009263495,0.009263495
180.0,32400.0,0,0,32400.0,0,22.360246163996656,0.009847807,0.009847807
181.0,32761.0,0,0,32761.0,0,22.359330736662557,0.009200897000000001,0.009200897000000001
182.0,33124.0,0,0,33124.0,0,22.38366217349717,0.009042030000000001,0.009042030000000001
183.0,33489.0,0,0,33489.0,0,22.410388251494457,0.009286164000000001,0.009286164000000001
184.0,33856.0,0,0,33856.0,0,22.41989094028685,0.009169031000000001,0.009169031000000001
185.0,34225.0,0,0,34225.0,0,22.436359350939302,0.009190347,0.009190347
186.0,34596.0,0,0,34596.0,0,22.45141540753563,0.010102104,0.010102104
187.0,34969.0,0,0,34969.0,0,22.470412224494005,0.009252901000000001,0.009252901000000001
188.0,35344.0,0,0,35344.0,0,22.493568130719982,0.009387667,0.009387667
189.0,35721.0,0,0,35721.0,0,22.496513361960396,0.0089701,0.0089701
