N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,14.004579593744923,0.00104122,0.00104122
3.0,9.0,0,0,9.0,0,14.662747046429324,0.001039264,0.001039264
4.0,16.0,0,0,16.0,0,14.739576422294043,0.0010485400000000001,0.0010485400000000001
5.0,25.0,0,0,25.0,0,14.813712576923198,0.00106142,0.00106142
6.0,36.0,0,0,36.0,0,15.527627155969146,0.0010351190000000001,0.0010351190000000001
7.0,49.0,0,0,49.0,0,15.837749392823339,0.001063914,0.001063914
8.0,64.0,0,0,64.0,0,15.687798794998516,0.001074012,0.001074012
9.0,81.0,0,0,81.0,0,15.985557076643765,0.001062084,0.001062084
10.0,100.0,0,0,100.0,0,16.19037464534675,0.00140628,0.00140628
11.0,121.0,0,0,121.0,0,16.25862322108328,0.0010879400000000001,0.0010879400000000001
12.0,144.0,0,0,144.0,0,16.335906715326754,0.001047818,0.001047818
13.0,169.0,0,0,169.0,0,16.520997333090275,0.001087213,0.001087213
14.0,196.0,0,0,196.0,0,16.57280763724552,0.0010849100000000001,0.0010849100000000001
15.0,225.0,0,0,225.0,0,16.745057264969915,0.001084073,0.001084073
16.0,256.0,0,0,256.0,0,16.748338758223454,0.0010875820000000001,0.0010875820000000001
17.0,289.0,0,0,289.0,0,16.771659309783942,0.001143549,0.001143549
18.0,324.0,0,0,324.0,0,16.91593270593948,0.0011145600000000001,0.0011145600000000001
19.0,361.0,0,0,361.0,0,16.968128905236796,0.001217014,0.001217014
20.0,400.0,0,0,400.0,0,17.087968162160006,0.00112235,0.00112235
21.0,441.0,0,0,441.0,0,17.021531675801768,0.001144297,0.001144297
22.0,484.0,0,0,484.0,0,17.191593980511726,0.001148017,0.001148017
23.0,529.0,0,0,529.0,0,17.24502809689207,0.0011466500000000001,0.0011466500000000001
24.0,576.0,0,0,576.0,0,17.327944668874725,0.001153645,0.001153645
25.0,625.0,0,0,625.0,0,17.319318407178514,0.0013465340000000001,0.0013465340000000001
26.0,676.0,0,0,676.0,0,17.41031703184899,0.001180627,0.001180627
27.0,729.0,0,0,729.0,0,17.488859684557028,0.001193454,0.001193454
28.0,784.0,0,0,784.0,0,17.535658952980924,0.001167066,0.001167066
29.0,841.0,0,0,841.0,0,17.596439570469823,0.0015862600000000001,0.0015862600000000001
30.0,900.0,0,0,900.0,0,17.5456271925658,0.001219763,0.001219763
31.0,961.0,0,0,961.0,0,17.689644014779745,0.001327911,0.001327911
32.0,1024.0,0,0,1024.0,0,17.74977471206534,0.001235137,0.001235137
33.0,1089.0,0,0,1089.0,0,17.711729519922667,0.0013040850000000002,0.0013040850000000002
34.0,1156.0,0,0,1156.0,0,17.828769447001395,0.001508818,0.001508818
35.0,1225.0,0,0,1225.0,0,17.8335526985956,0.0013572710000000002,0.0013572710000000002
36.0,1296.0,0,0,1296.0,0,17.897893468730643,0.001312095,0.001312095
37.0,1369.0,0,0,1369.0,0,18.012394229541584,0.001341243,0.001341243
38.0,1444.0,0,0,1444.0,0,18.003515831131494,0.001328458,0.001328458
39.0,1521.0,0,0,1521.0,0,18.067152113189792,0.001312725,0.001312725
40.0,1600.0,0,0,1600.0,0,18.061773336231447,0.00135818,0.00135818
41.0,1681.0,0,0,1681.0,0,18.153460543589674,0.0013970360000000002,0.0013970360000000002
42.0,1764.0,0,0,1764.0,0,18.140188288882094,0.001401719,0.001401719
43.0,1849.0,0,0,1849.0,0,18.190602401270638,0.001412071,0.001412071
44.0,1936.0,0,0,1936.0,0,18.246288424166217,0.0014191140000000002,0.0014191140000000002
