N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,13.989301114686283,0.0010681730000000002,0.0010681730000000002
3.0,9.0,0,0,9.0,0,15.091539640208936,0.00117169,0.00117169
4.0,16.0,0,0,16.0,0,15.1631267395521,0.0011869880000000001,0.0011869880000000001
5.0,25.0,0,0,25.0,0,15.740085974692626,0.0020191890000000002,0.0020191890000000002
6.0,36.0,0,0,36.0,0,15.917725274765894,0.001236066,0.001236066
7.0,49.0,0,0,49.0,0,16.026027643551295,0.001290005,0.001290005
8.0,64.0,0,0,64.0,0,16.070546245081793,0.001312323,0.001312323
9.0,81.0,0,0,81.0,0,16.432128315727496,0.001377982,0.001377982
10.0,100.0,0,0,100.0,0,16.433885293228332,0.001368352,0.001368352
11.0,121.0,0,0,121.0,0,16.68469234625983,0.001403015,0.001403015
12.0,144.0,0,0,144.0,0,16.720130953242492,0.001313656,0.001313656
13.0,169.0,0,0,169.0,0,16.863052739312486,0.0013849980000000001,0.0013849980000000001
14.0,196.0,0,0,196.0,0,16.82446904600942,0.001449399,0.001449399
15.0,225.0,0,0,225.0,0,16.97743902160039,0.001423489,0.001423489
16.0,256.0,0,0,256.0,0,17.01082138250445,0.0013938490000000002,0.0013938490000000002
17.0,289.0,0,0,289.0,0,17.19572886435725,0.0015237640000000002,0.0015237640000000002
18.0,324.0,0,0,324.0,0,17.202121641522755,0.00153417,0.00153417
19.0,361.0,0,0,361.0,0,17.309171341847506,0.001701756,0.001701756
20.0,400.0,0,0,400.0,0,17.31199763740028,0.00155075,0.00155075
21.0,441.0,0,0,441.0,0,17.44668285499543,0.001564173,0.001564173
22.0,484.0,0,0,484.0,0,17.446842825796296,0.0015575830000000002,0.0015575830000000002
23.0,529.0,0,0,529.0,0,17.590630940650026,0.0015648860000000001,0.0015648860000000001
24.0,576.0,0,0,576.0,0,17.642986390762093,0.00157791,0.00157791
25.0,625.0,0,0,625.0,0,17.742021317676556,0.0016605020000000001,0.0016605020000000001
26.0,676.0,0,0,676.0,0,17.765296555372,0.001662803,0.001662803
27.0,729.0,0,0,729.0,0,17.91832293358984,0.001617844,0.001617844
28.0,784.0,0,0,784.0,0,17.946546209926144,0.001638221,0.001638221
29.0,841.0,0,0,841.0,0,18.035795049245063,0.0018828410000000001,0.0018828410000000001
30.0,900.0,0,0,900.0,0,18.049523343244118,0.0016534280000000002,0.0016534280000000002
31.0,961.0,0,0,961.0,0,18.16285331626888,0.001704865,0.001704865
32.0,1024.0,0,0,1024.0,0,18.178188847631482,0.0016384260000000001,0.0016384260000000001
33.0,1089.0,0,0,1089.0,0,18.24465169911749,0.0023534610000000003,0.0023534610000000003
34.0,1156.0,0,0,1156.0,0,18.289097241280622,0.0022682880000000002,0.0022682880000000002
35.0,1225.0,0,0,1225.0,0,18.38232021979546,0.002446465,0.002446465
36.0,1296.0,0,0,1296.0,0,18.40520401983424,0.002381619,0.002381619
37.0,1369.0,0,0,1369.0,0,18.47647255966046,0.0022679970000000003,0.0022679970000000003
38.0,1444.0,0,0,1444.0,0,18.5184789107478,0.002276366,0.002276366
39.0,1521.0,0,0,1521.0,0,18.579441010655028,0.0025795510000000002,0.0025795510000000002
40.0,1600.0,0,0,1600.0,0,18.606448157139,0.002467433,0.002467433
41.0,1681.0,0,0,1681.0,0,18.680905772214032,0.0024465800000000003,0.0024465800000000003
42.0,1764.0,0,0,1764.0,0,18.712148256362386,0.00242048,0.00242048
43.0,1849.0,0,0,1849.0,0,18.797087700111668,0.002436633,0.002436633
44.0,1936.0,0,0,1936.0,0,18.82769674724227,0.0025354820000000004,0.0025354820000000004
45.0,2025.0,0,0,2025.0,0,18.89934769838064,0.0025805280000000003,0.0025805280000000003
46.0,2116.0,0,0,2116.0,0,18.925084583999904,0.002570012,0.002570012
47.0,2209.0,0,0,2209.0,0,18.997685366235384,0.002470232,0.002470232
48.0,2304.0,0,0,2304.0,0,19.025857881461505,0.0025720030000000002,0.0025720030000000002
49.0,2401.0,0,0,2401.0,0,19.081389255200204,0.002576421,0.002576421
50.0,2500.0,0,0,2500.0,0,19.105701334941358,0.002536673,0.002536673
51.0,2601.0,0,0,2601.0,0,19.152838339213446,0.0026423370000000002,0.0026423370000000002
52.0,2704.0,0,0,2704.0,0,19.17272364525212,0.0025373920000000003,0.0025373920000000003
53.0,2809.0,0,0,2809.0,0,19.237381842873848,0.002629465,0.002629465
54.0,2916.0,0,0,2916.0,0,19.25143178043075,0.002658578,0.002658578
55.0,3025.0,0,0,3025.0,0,19.317558344664892,0.002673321,0.002673321
56.0,3136.0,0,0,3136.0,0,19.344847480752758,0.002701174,0.002701174
57.0,3249.0,0,0,3249.0,0,19.39150843696246,0.004388052,0.004388052
58.0,3364.0,0,0,3364.0,0,19.42297581532969,0.0027100410000000003,0.0027100410000000003
59.0,3481.0,0,0,3481.0,0,19.464650913762057,0.0027904070000000004,0.0027904070000000004
60.0,3600.0,0,0,3600.0,0,19.48361507522265,0.002731491,0.002731491
61.0,3721.0,0,0,3721.0,0,19.53125698693801,0.0027527090000000003,0.0027527090000000003
62.0,3844.0,0,0,3844.0,0,19.554217441829227,0.0026364820000000003,0.0026364820000000003
63.0,3969.0,0,0,3969.0,0,19.59666992062694,0.0027962440000000002,0.0027962440000000002
64.0,4096.0,0,0,4096.0,0,19.616582494014402,0.0028012130000000003,0.0028012130000000003
65.0,4225.0,0,0,4225.0,0,19.654762006203782,0.0037834770000000004,0.0037834770000000004
66.0,4356.0,0,0,4356.0,0,19.675415125406722,0.0038733020000000003,0.0038733020000000003
67.0,4489.0,0,0,4489.0,0,19.704566385157396,0.003811468,0.003811468
68.0,4624.0,0,0,4624.0,0,19.725157584208524,0.0037329900000000003,0.0037329900000000003
69.0,4761.0,0,0,4761.0,0,19.771298733441036,0.003824627,0.003824627
