N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,14.699561017229179,0.001658256,0.001658256
3.0,9.0,0,0,9.0,0,14.967464910555101,0.0011578340000000002,0.0011578340000000002
4.0,16.0,0,0,16.0,0,15.326609599477315,0.001524067,0.001524067
5.0,25.0,0,0,25.0,0,15.423666383540011,0.0011938390000000001,0.0011938390000000001
6.0,36.0,0,0,36.0,0,15.734270078484645,0.0012109710000000001,0.0012109710000000001
7.0,49.0,0,0,49.0,0,16.246802319206235,0.0013150750000000002,0.0013150750000000002
8.0,64.0,0,0,64.0,0,16.248534307601407,0.001275143,0.001275143
9.0,81.0,0,0,81.0,0,16.351810240504033,0.001287401,0.001287401
10.0,100.0,0,0,100.0,0,16.580008223677865,0.0014565720000000002,0.0014565720000000002
11.0,121.0,0,0,121.0,0,16.640441041416864,0.0013047870000000002,0.0013047870000000002
12.0,144.0,0,0,144.0,0,16.719739821240967,0.001317961,0.001317961
13.0,169.0,0,0,169.0,0,16.911140413076243,0.0023170910000000003,0.0023170910000000003
14.0,196.0,0,0,196.0,0,16.972741179239385,0.0013423340000000001,0.0013423340000000001
15.0,225.0,0,0,225.0,0,17.091946703978525,0.001360789,0.001360789
16.0,256.0,0,0,256.0,0,17.133215869421313,0.0014523930000000002,0.0014523930000000002
17.0,289.0,0,0,289.0,0,17.160054727609126,0.0014100010000000001,0.0014100010000000001
18.0,324.0,0,0,324.0,0,17.27662934564129,0.001407588,0.001407588
19.0,361.0,0,0,361.0,0,17.351156110489175,0.0014330130000000001,0.0014330130000000001
20.0,400.0,0,0,400.0,0,17.45067714739552,0.001427688,0.001427688
21.0,441.0,0,0,441.0,0,17.43892954163751,0.001425898,0.001425898
22.0,484.0,0,0,484.0,0,17.554582235398122,0.0014582030000000001,0.0014582030000000001
23.0,529.0,0,0,529.0,0,17.614075201539528,0.0014612590000000001,0.0014612590000000001
24.0,576.0,0,0,576.0,0,17.686581938347537,0.001592504,0.001592504
25.0,625.0,0,0,625.0,0,17.72158838161767,0.0015065340000000001,0.0015065340000000001
26.0,676.0,0,0,676.0,0,17.81252427397244,0.001490102,0.001490102
27.0,729.0,0,0,729.0,0,17.875314364241994,0.001485661,0.001485661
28.0,784.0,0,0,784.0,0,17.94634807925902,0.001543606,0.001543606
