N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.006138887015421,0.0014448360000000001,0.0014448360000000001
3.0,9.0,0,0,9.0,0,12.368369846190053,0.0014001640000000002,0.0014001640000000002
4.0,16.0,0,0,16.0,0,12.389453286255145,0.001179659,0.001179659
5.0,25.0,0,0,25.0,0,12.609240141542507,0.001188974,0.001188974
6.0,36.0,0,0,36.0,0,12.627976945405834,0.001277258,0.001277258
7.0,49.0,0,0,49.0,0,12.928183904918972,0.001382617,0.001382617
8.0,64.0,0,0,64.0,0,13.112245988379719,0.001427716,0.001427716
9.0,81.0,0,0,81.0,0,13.299521512931245,0.00138063,0.00138063
10.0,100.0,0,0,100.0,0,13.434335158304535,0.0014553370000000001,0.0014553370000000001
11.0,121.0,0,0,121.0,0,13.691181443428693,0.001398752,0.001398752
12.0,144.0,0,0,144.0,0,13.827827804351045,0.0013413720000000002,0.0013413720000000002
13.0,169.0,0,0,169.0,0,14.017051876120357,0.001391943,0.001391943
14.0,196.0,0,0,196.0,0,14.130380469948756,0.0024180350000000002,0.0024180350000000002
15.0,225.0,0,0,225.0,0,14.299417775049099,0.0014323530000000001,0.0014323530000000001
16.0,256.0,0,0,256.0,0,14.422503623659908,0.0013902460000000001,0.0013902460000000001
17.0,289.0,0,0,289.0,0,14.673454590242399,0.00156013,0.00156013
18.0,324.0,0,0,324.0,0,14.796663411698887,0.001537395,0.001537395
19.0,361.0,0,0,361.0,0,15.022490700854636,0.001683561,0.001683561
20.0,400.0,0,0,400.0,0,15.128487660059664,0.0015415490000000001,0.0015415490000000001
21.0,441.0,0,0,441.0,0,15.255755302277922,0.0015514480000000002,0.0015514480000000002
22.0,484.0,0,0,484.0,0,15.326203658484271,0.0017856690000000001,0.0017856690000000001
23.0,529.0,0,0,529.0,0,15.425971951072036,0.00156958,0.00156958
24.0,576.0,0,0,576.0,0,15.446693400731332,0.0015828040000000002,0.0015828040000000002
25.0,625.0,0,0,625.0,0,15.560672578026704,0.00166667,0.00166667
26.0,676.0,0,0,676.0,0,15.599091000653111,0.001691217,0.001691217
27.0,729.0,0,0,729.0,0,15.690311950922705,0.0016295950000000002,0.0016295950000000002
28.0,784.0,0,0,784.0,0,15.715508137800125,0.0016302290000000002,0.0016302290000000002
29.0,841.0,0,0,841.0,0,15.805336718807384,0.0018892070000000002,0.0018892070000000002
30.0,900.0,0,0,900.0,0,15.869475667035534,0.0016613560000000001,0.0016613560000000001
31.0,961.0,0,0,961.0,0,15.935652877458521,0.0026901810000000003,0.0026901810000000003
32.0,1024.0,0,0,1024.0,0,15.979871211363426,0.0016733000000000002,0.0016733000000000002
33.0,1089.0,0,0,1089.0,0,16.106549742785273,0.002404579,0.002404579
34.0,1156.0,0,0,1156.0,0,16.152511848669548,0.002281703,0.002281703
35.0,1225.0,0,0,1225.0,0,16.239141105984597,0.0024461260000000003,0.0024461260000000003
36.0,1296.0,0,0,1296.0,0,16.272514440360762,0.002599847,0.002599847
37.0,1369.0,0,0,1369.0,0,16.36584522919274,0.002285823,0.002285823
38.0,1444.0,0,0,1444.0,0,16.40186380154063,0.002272137,0.002272137
39.0,1521.0,0,0,1521.0,0,16.462157794359157,0.0025150990000000002,0.0025150990000000002
40.0,1600.0,0,0,1600.0,0,16.501393398615928,0.002859036,0.002859036
41.0,1681.0,0,0,1681.0,0,16.55747360044801,0.002655269,0.002655269
42.0,1764.0,0,0,1764.0,0,16.593359017604506,0.0024267800000000003,0.0024267800000000003
43.0,1849.0,0,0,1849.0,0,16.65432289860691,0.0034271260000000004,0.0034271260000000004
44.0,1936.0,0,0,1936.0,0,16.70472633233168,0.0027304620000000003,0.0027304620000000003
45.0,2025.0,0,0,2025.0,0,16.762755801843355,0.00257724,0.00257724
46.0,2116.0,0,0,2116.0,0,16.79090078465371,0.002568339,0.002568339
47.0,2209.0,0,0,2209.0,0,16.866030335978785,0.00248948,0.00248948
48.0,2304.0,0,0,2304.0,0,16.890213455137367,0.0033823610000000004,0.0033823610000000004
49.0,2401.0,0,0,2401.0,0,16.945029031638292,0.002601354,0.002601354
50.0,2500.0,0,0,2500.0,0,16.97260258663119,0.002522555,0.002522555
51.0,2601.0,0,0,2601.0,0,17.0334237040272,0.002902993,0.002902993
52.0,2704.0,0,0,2704.0,0,17.071746568723412,0.002586838,0.002586838
53.0,2809.0,0,0,2809.0,0,17.125914782802255,0.0026112,0.0026112
54.0,2916.0,0,0,2916.0,0,17.148210273369855,0.0037062730000000004,0.0037062730000000004
55.0,3025.0,0,0,3025.0,0,17.21121471578768,0.002897817,0.002897817
56.0,3136.0,0,0,3136.0,0,17.24135174651495,0.002673242,0.002673242
57.0,3249.0,0,0,3249.0,0,17.288542490632032,0.0026837970000000004,0.0026837970000000004
58.0,3364.0,0,0,3364.0,0,17.321721241005093,0.0027178840000000003,0.0027178840000000003
59.0,3481.0,0,0,3481.0,0,17.363511576855217,0.002757013,0.002757013
60.0,3600.0,0,0,3600.0,0,17.38544675512847,0.002907596,0.002907596
61.0,3721.0,0,0,3721.0,0,17.439858131985872,0.002749618,0.002749618
62.0,3844.0,0,0,3844.0,0,17.461214787062126,0.002632853,0.002632853
63.0,3969.0,0,0,3969.0,0,17.493962186477333,0.002798538,0.002798538
64.0,4096.0,0,0,4096.0,0,17.51575661028426,0.003038517,0.003038517
65.0,4225.0,0,0,4225.0,0,17.561804807089093,0.0037694570000000004,0.0037694570000000004
66.0,4356.0,0,0,4356.0,0,17.58226700955762,0.004543223,0.004543223
67.0,4489.0,0,0,4489.0,0,17.632451929742423,0.004227164,0.004227164
68.0,4624.0,0,0,4624.0,0,17.65551917652521,0.004701684,0.004701684
69.0,4761.0,0,0,4761.0,0,17.69976478392706,0.004826354000000001,0.004826354000000001
70.0,4900.0,0,0,4900.0,0,17.72339541226981,0.0042000100000000005,0.0042000100000000005
71.0,5041.0,0,0,5041.0,0,17.773057742267476,0.004410395,0.004410395
72.0,5184.0,0,0,5184.0,0,17.79157334003717,0.004953479,0.004953479
73.0,5329.0,0,0,5329.0,0,17.823115189142705,0.004584498,0.004584498
74.0,5476.0,0,0,5476.0,0,17.84925614789697,0.00425743,0.00425743
75.0,5625.0,0,0,5625.0,0,17.898747060508526,0.004330279,0.004330279
76.0,5776.0,0,0,5776.0,0,17.91456684374289,0.004601903,0.004601903
77.0,5929.0,0,0,5929.0,0,17.963718557199527,0.004512607,0.004512607
78.0,6084.0,0,0,6084.0,0,17.97878667682085,0.004669975000000001,0.004669975000000001
79.0,6241.0,0,0,6241.0,0,18.01961442720255,0.004892427,0.004892427
80.0,6400.0,0,0,6400.0,0,18.039168720669252,0.00432564,0.00432564
81.0,6561.0,0,0,6561.0,0,18.071120140176937,0.0046714040000000005,0.0046714040000000005
82.0,6724.0,0,0,6724.0,0,18.08735016871571,0.005569503,0.005569503
83.0,6889.0,0,0,6889.0,0,18.12552512203595,0.004743823,0.004743823
84.0,7056.0,0,0,7056.0,0,18.146417855430737,0.00457603,0.00457603
85.0,7225.0,0,0,7225.0,0,18.180056600357105,0.0047094960000000005,0.0047094960000000005
86.0,7396.0,0,0,7396.0,0,18.20005001398163,0.0047410690000000005,0.0047410690000000005
87.0,7569.0,0,0,7569.0,0,18.232584752556622,0.004701507000000001,0.004701507000000001
88.0,7744.0,0,0,7744.0,0,18.24810869202507,0.00526116,0.00526116
89.0,7921.0,0,0,7921.0,0,18.277436237857362,0.004909888,0.004909888
90.0,8100.0,0,0,8100.0,0,18.29266870310838,0.004970324,0.004970324
91.0,8281.0,0,0,8281.0,0,18.3267737728256,0.004793951,0.004793951
92.0,8464.0,0,0,8464.0,0,18.34290049269875,0.0055691180000000005,0.0055691180000000005
93.0,8649.0,0,0,8649.0,0,18.37274840728994,0.004799948,0.004799948
94.0,8836.0,0,0,8836.0,0,18.390010141465915,0.004832146000000001,0.004832146000000001
95.0,9025.0,0,0,9025.0,0,18.416072093908,0.004840293000000001,0.004840293000000001
96.0,9216.0,0,0,9216.0,0,18.433378366703025,0.0055229680000000005,0.0055229680000000005
97.0,9409.0,0,0,9409.0,0,18.46291530706868,0.005902930000000001,0.005902930000000001
98.0,9604.0,0,0,9604.0,0,18.4864087232065,0.005826492,0.005826492
99.0,9801.0,0,0,9801.0,0,18.51214881073201,0.005991871,0.005991871
100.0,10000.0,0,0,10000.0,0,18.524253553541957,0.007479838000000001,0.007479838000000001
101.0,10201.0,0,0,10201.0,0,18.552151269789295,0.005869620000000001,0.005869620000000001
102.0,10404.0,0,0,10404.0,0,18.570896859870484,0.007005475000000001,0.007005475000000001
103.0,10609.0,0,0,10609.0,0,18.59529069173641,0.006129921,0.006129921
104.0,10816.0,0,0,10816.0,0,18.61311539309729,0.0058906670000000005,0.0058906670000000005
105.0,11025.0,0,0,11025.0,0,18.64085278174911,0.006145153,0.006145153
106.0,11236.0,0,0,11236.0,0,18.655188056042252,0.006819824,0.006819824
107.0,11449.0,0,0,11449.0,0,18.68092487760581,0.005941088000000001,0.005941088000000001
108.0,11664.0,0,0,11664.0,0,18.69504822463332,0.005928288,0.005928288
109.0,11881.0,0,0,11881.0,0,18.720064758586823,0.0072241810000000005,0.0072241810000000005
110.0,12100.0,0,0,12100.0,0,18.73837893771305,0.0058473940000000005,0.0058473940000000005
111.0,12321.0,0,0,12321.0,0,18.772327822681902,0.006013619,0.006013619
112.0,12544.0,0,0,12544.0,0,18.790070971155973,0.006590386,0.006590386
113.0,12769.0,0,0,12769.0,0,18.818642161241232,0.006117639,0.006117639
114.0,12996.0,0,0,12996.0,0,18.83370303276513,0.00607914,0.00607914
115.0,13225.0,0,0,13225.0,0,18.863102521338664,0.007277053,0.007277053
116.0,13456.0,0,0,13456.0,0,18.87917252391288,0.006543313,0.006543313
117.0,13689.0,0,0,13689.0,0,18.904571959483977,0.006085184,0.006085184
118.0,13924.0,0,0,13924.0,0,18.919172359014972,0.006088097000000001,0.006088097000000001
119.0,14161.0,0,0,14161.0,0,18.941872913189414,0.006139567,0.006139567
120.0,14400.0,0,0,14400.0,0,18.956333873788537,0.006545684,0.006545684
121.0,14641.0,0,0,14641.0,0,18.982535550073457,0.005996298000000001,0.005996298000000001
122.0,14884.0,0,0,14884.0,0,18.996143351720796,0.006153947000000001,0.006153947000000001
123.0,15129.0,0,0,15129.0,0,19.027622584185146,0.0073935350000000006,0.0073935350000000006
124.0,15376.0,0,0,15376.0,0,19.04338376584389,0.006630479000000001,0.006630479000000001
125.0,15625.0,0,0,15625.0,0,19.06547315983542,0.006220759,0.006220759
126.0,15876.0,0,0,15876.0,0,19.077409093144805,0.006279450000000001,0.006279450000000001
127.0,16129.0,0,0,16129.0,0,19.100312777682127,0.006231936,0.006231936
128.0,16384.0,0,0,16384.0,0,19.116882703765775,0.006704322,0.006704322
129.0,16641.0,0,0,16641.0,0,19.142884736229206,0.008787719000000001,0.008787719000000001
130.0,16900.0,0,0,16900.0,0,19.156177490955024,0.010315355,0.010315355
131.0,17161.0,0,0,17161.0,0,19.18055100817138,0.009492914,0.009492914
132.0,17424.0,0,0,17424.0,0,19.191168174888084,0.009026187,0.009026187
133.0,17689.0,0,0,17689.0,0,19.20943951146283,0.00816177,0.00816177
134.0,17956.0,0,0,17956.0,0,19.219163460696993,0.008548695,0.008548695
135.0,18225.0,0,0,18225.0,0,19.24637695714918,0.008152072,0.008152072
136.0,18496.0,0,0,18496.0,0,19.26114113143794,0.009246445,0.009246445
137.0,18769.0,0,0,18769.0,0,19.2836346882342,0.008388153,0.008388153
138.0,19044.0,0,0,19044.0,0,19.295095862196742,0.008192472000000001,0.008192472000000001
139.0,19321.0,0,0,19321.0,0,19.32304628607014,0.008393095,0.008393095
140.0,19600.0,0,0,19600.0,0,19.33293841333526,0.008736943,0.008736943
141.0,19881.0,0,0,19881.0,0,19.362785635473585,0.008256560000000001,0.008256560000000001
142.0,20164.0,0,0,20164.0,0,19.37622121189449,0.008467677,0.008467677
143.0,20449.0,0,0,20449.0,0,19.401654833286177,0.008233903,0.008233903
144.0,20736.0,0,0,20736.0,0,19.41493282662512,0.008750827000000001,0.008750827000000001
145.0,21025.0,0,0,21025.0,0,19.438232620202083,0.008486073,0.008486073
146.0,21316.0,0,0,21316.0,0,19.450203781713583,0.008338588000000001,0.008338588000000001
147.0,21609.0,0,0,21609.0,0,19.472154004779444,0.008868116,0.008868116
148.0,21904.0,0,0,21904.0,0,19.481923565591543,0.008997126000000001,0.008997126000000001
149.0,22201.0,0,0,22201.0,0,19.50289867743894,0.008739821,0.008739821
150.0,22500.0,0,0,22500.0,0,19.514556658050367,0.008305258000000001,0.008305258000000001
151.0,22801.0,0,0,22801.0,0,19.537842921487794,0.008351846000000001,0.008351846000000001
152.0,23104.0,0,0,23104.0,0,19.546421963041578,0.009113374,0.009113374
153.0,23409.0,0,0,23409.0,0,19.568874716719897,0.008433117,0.008433117
154.0,23716.0,0,0,23716.0,0,19.57929956903229,0.008387903,0.008387903
155.0,24025.0,0,0,24025.0,0,19.59871574545781,0.009183672,0.009183672
156.0,24336.0,0,0,24336.0,0,19.609980049786632,0.009526396000000001,0.009526396000000001
157.0,24649.0,0,0,24649.0,0,19.632248086192085,0.00846946,0.00846946
158.0,24964.0,0,0,24964.0,0,19.642966438147184,0.008914884000000001,0.008914884000000001
159.0,25281.0,0,0,25281.0,0,19.667152352731733,0.009186102,0.009186102
160.0,25600.0,0,0,25600.0,0,19.677803325736868,0.009118103,0.009118103
161.0,25921.0,0,0,25921.0,0,19.700310267399065,0.009754512,0.009754512
162.0,26244.0,0,0,26244.0,0,19.709989542538928,0.010581143000000001,0.010581143000000001
163.0,26569.0,0,0,26569.0,0,19.73441607771262,0.010363334,0.010363334
164.0,26896.0,0,0,26896.0,0,19.744137431094202,0.010824174,0.010824174
165.0,27225.0,0,0,27225.0,0,19.766064879370273,0.010222706,0.010222706
166.0,27556.0,0,0,27556.0,0,19.779239781605384,0.010356524,0.010356524
167.0,27889.0,0,0,27889.0,0,19.800608861264447,0.010222607,0.010222607
168.0,28224.0,0,0,28224.0,0,19.80968910179733,0.010032357,0.010032357
169.0,28561.0,0,0,28561.0,0,19.83168279289273,0.011176745,0.011176745
170.0,28900.0,0,0,28900.0,0,19.842494720784533,0.010330213000000001,0.010330213000000001
171.0,29241.0,0,0,29241.0,0,19.870856499373044,0.009676470000000001,0.009676470000000001
172.0,29584.0,0,0,29584.0,0,19.879499546854706,0.011378705000000001,0.011378705000000001
173.0,29929.0,0,0,29929.0,0,19.899695991427407,0.01047701,0.01047701
174.0,30276.0,0,0,30276.0,0,19.909934328666914,0.009694468000000001,0.009694468000000001
175.0,30625.0,0,0,30625.0,0,19.932961044511927,0.011045639000000001,0.011045639000000001
176.0,30976.0,0,0,30976.0,0,19.941058702580992,0.010509889000000001,0.010509889000000001
177.0,31329.0,0,0,31329.0,0,19.96422500265689,0.010363924,0.010363924
178.0,31684.0,0,0,31684.0,0,19.97496100481012,0.010274569,0.010274569
179.0,32041.0,0,0,32041.0,0,19.99484659005939,0.010671097000000001,0.010671097000000001
180.0,32400.0,0,0,32400.0,0,20.00522856859184,0.009783153000000001,0.009783153000000001
