N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,13.559360164520012,0.001079384,0.001079384
3.0,9.0,0,0,9.0,0,13.736598922802683,0.001166408,0.001166408
4.0,16.0,0,0,16.0,0,14.064187250855579,0.0011597060000000001,0.0011597060000000001
5.0,25.0,0,0,25.0,0,14.39877848111477,0.0014560390000000001,0.0014560390000000001
6.0,36.0,0,0,36.0,0,14.638663950416698,0.0013227500000000001,0.0013227500000000001
7.0,49.0,0,0,49.0,0,15.001577321894388,0.0012918650000000001,0.0012918650000000001
8.0,64.0,0,0,64.0,0,15.19384037453053,0.0012934090000000001,0.0012934090000000001
9.0,81.0,0,0,81.0,0,15.248138022418065,0.0013919870000000001,0.0013919870000000001
10.0,100.0,0,0,100.0,0,15.347474187890695,0.001405919,0.001405919
11.0,121.0,0,0,121.0,0,15.512373641241402,0.0013981940000000002,0.0013981940000000002
12.0,144.0,0,0,144.0,0,15.544525838619025,0.001332099,0.001332099
13.0,169.0,0,0,169.0,0,15.630292250197664,0.001422518,0.001422518
14.0,196.0,0,0,196.0,0,15.653852925417006,0.0013372360000000001,0.0013372360000000001
15.0,225.0,0,0,225.0,0,15.776669597170915,0.001412112,0.001412112
16.0,256.0,0,0,256.0,0,15.833079160481475,0.001821476,0.001821476
17.0,289.0,0,0,289.0,0,15.901531121456989,0.001517689,0.001517689
18.0,324.0,0,0,324.0,0,15.93764411832785,0.0025895560000000002,0.0025895560000000002
19.0,361.0,0,0,361.0,0,16.01060771988476,0.00158621,0.00158621
20.0,400.0,0,0,400.0,0,16.06061566937229,0.001712467,0.001712467
21.0,441.0,0,0,441.0,0,16.211864842021367,0.001557954,0.001557954
22.0,484.0,0,0,484.0,0,16.264646216984183,0.001558083,0.001558083
23.0,529.0,0,0,529.0,0,16.381267547677147,0.001652749,0.001652749
24.0,576.0,0,0,576.0,0,16.402937153746684,0.001566775,0.001566775
25.0,625.0,0,0,625.0,0,16.483732898767485,0.0018059430000000002,0.0018059430000000002
26.0,676.0,0,0,676.0,0,16.520023272126384,0.0016659860000000002,0.0016659860000000002
27.0,729.0,0,0,729.0,0,16.609851753598125,0.0016115620000000002,0.0016115620000000002
28.0,784.0,0,0,784.0,0,16.647455672146364,0.0017112140000000002,0.0017112140000000002
29.0,841.0,0,0,841.0,0,16.70165286264767,0.001691309,0.001691309
30.0,900.0,0,0,900.0,0,16.738074946173285,0.0017040100000000002,0.0017040100000000002
31.0,961.0,0,0,961.0,0,16.796960602988406,0.001661878,0.001661878
32.0,1024.0,0,0,1024.0,0,16.857996643415902,0.0016699210000000002,0.0016699210000000002
