N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.922486680326378,0.000548476,0.000548476
3.0,9.0,0,0,9.0,0,13.135898644385257,0.0006445400000000001,0.0006445400000000001
4.0,16.0,0,0,16.0,0,14.04993973209268,0.0006593240000000001,0.0006593240000000001
5.0,25.0,0,0,25.0,0,14.350986027513827,0.0008538990000000001,0.0008538990000000001
6.0,36.0,0,0,36.0,0,15.016189262318047,0.000714254,0.000714254
7.0,49.0,0,0,49.0,0,15.365725946609919,0.000702853,0.000702853
8.0,64.0,0,0,64.0,0,15.644986327594827,0.0007286920000000001,0.0007286920000000001
9.0,81.0,0,0,81.0,0,15.940331550763,0.0007704270000000001,0.0007704270000000001
10.0,100.0,0,0,100.0,0,16.21770783114546,0.000776864,0.000776864
11.0,121.0,0,0,121.0,0,16.457465710614937,0.000819115,0.000819115
12.0,144.0,0,0,144.0,0,16.77402563152828,0.0008207280000000001,0.0008207280000000001
13.0,169.0,0,0,169.0,0,17.10767547951148,0.000856851,0.000856851
14.0,196.0,0,0,196.0,0,17.30880653973077,0.0008128720000000001,0.0008128720000000001
15.0,225.0,0,0,225.0,0,17.48018707540737,0.0008314010000000001,0.0008314010000000001
16.0,256.0,0,0,256.0,0,17.71555029259704,0.0008705500000000001,0.0008705500000000001
17.0,289.0,0,0,289.0,0,17.817418365020494,0.000946318,0.000946318
18.0,324.0,0,0,324.0,0,17.92735694909115,0.0008725460000000001,0.0008725460000000001
19.0,361.0,0,0,361.0,0,18.17807504785602,0.0009297890000000001,0.0009297890000000001
20.0,400.0,0,0,400.0,0,18.244235392638842,0.000957571,0.000957571
21.0,441.0,0,0,441.0,0,18.38997608154908,0.0009627390000000001,0.0009627390000000001
22.0,484.0,0,0,484.0,0,18.564202532391704,0.00098711,0.00098711
23.0,529.0,0,0,529.0,0,18.652625708451225,0.0009786900000000002,0.0009786900000000002
24.0,576.0,0,0,576.0,0,18.77680076506043,0.000995765,0.000995765
25.0,625.0,0,0,625.0,0,18.935362624174964,0.0009940580000000001,0.0009940580000000001
26.0,676.0,0,0,676.0,0,19.058357597352206,0.0010330550000000002,0.0010330550000000002
27.0,729.0,0,0,729.0,0,19.203532882136475,0.001065149,0.001065149
28.0,784.0,0,0,784.0,0,19.308623426157432,0.001049293,0.001049293
29.0,841.0,0,0,841.0,0,19.42452973065815,0.001111061,0.001111061
30.0,900.0,0,0,900.0,0,19.532434636215267,0.001055605,0.001055605
31.0,961.0,0,0,961.0,0,19.6273390451298,0.002060787,0.002060787
32.0,1024.0,0,0,1024.0,0,19.730785962043953,0.001101935,0.001101935
33.0,1089.0,0,0,1089.0,0,19.824910864355182,0.001492203,0.001492203
34.0,1156.0,0,0,1156.0,0,19.941588229094933,0.0014943600000000001,0.0014943600000000001
35.0,1225.0,0,0,1225.0,0,20.013733667460176,0.00150632,0.00150632
36.0,1296.0,0,0,1296.0,0,20.11811757578699,0.001513295,0.001513295
37.0,1369.0,0,0,1369.0,0,20.228833220740473,0.0015420660000000001,0.0015420660000000001
