N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,13.266020269316297,0.000492046,0.000492046
3.0,9.0,0,0,9.0,0,12.659233106638567,0.000521298,0.000521298
4.0,16.0,0,0,16.0,0,13.825306461375495,0.000514516,0.000514516
5.0,25.0,0,0,25.0,0,13.88146852386415,0.000533719,0.000533719
6.0,36.0,0,0,36.0,0,14.44575291600964,0.000507796,0.000507796
7.0,49.0,0,0,49.0,0,14.603859306695878,0.000485553,0.000485553
8.0,64.0,0,0,64.0,0,14.95936091226092,0.000508925,0.000508925
9.0,81.0,0,0,81.0,0,15.138555658780472,0.0005276360000000001,0.0005276360000000001
10.0,100.0,0,0,100.0,0,15.360022660682427,0.000537859,0.000537859
11.0,121.0,0,0,121.0,0,15.556840434243187,0.0005174950000000001,0.0005174950000000001
12.0,144.0,0,0,144.0,0,15.95991454795179,0.000521176,0.000521176
13.0,169.0,0,0,169.0,0,15.955989028907144,0.0005229900000000001,0.0005229900000000001
14.0,196.0,0,0,196.0,0,16.235850543877657,0.000527542,0.000527542
15.0,225.0,0,0,225.0,0,16.31088580200244,0.0013426970000000001,0.0013426970000000001
16.0,256.0,0,0,256.0,0,16.592450904297895,0.00060411,0.00060411
17.0,289.0,0,0,289.0,0,16.92066659793628,0.000588248,0.000588248
18.0,324.0,0,0,324.0,0,16.94163156542843,0.00059383,0.00059383
19.0,361.0,0,0,361.0,0,17.24312478756569,0.0005880130000000001,0.0005880130000000001
20.0,400.0,0,0,400.0,0,17.23651728717194,0.0005845550000000001,0.0005845550000000001
21.0,441.0,0,0,441.0,0,17.22840940537409,0.000593456,0.000593456
22.0,484.0,0,0,484.0,0,17.589663513149258,0.000605747,0.000605747
23.0,529.0,0,0,529.0,0,17.504196593756006,0.001381697,0.001381697
24.0,576.0,0,0,576.0,0,17.644301058407642,0.0006675040000000001,0.0006675040000000001
25.0,625.0,0,0,625.0,0,17.803554527445336,0.000637738,0.000637738
26.0,676.0,0,0,676.0,0,17.985308151224157,0.0006515000000000001,0.0006515000000000001
27.0,729.0,0,0,729.0,0,18.005708303626196,0.0007033520000000001,0.0007033520000000001
28.0,784.0,0,0,784.0,0,18.19779355370765,0.000660339,0.000660339
29.0,841.0,0,0,841.0,0,18.20832901645624,0.000670792,0.000670792
30.0,900.0,0,0,900.0,0,18.30781588969908,0.0006803450000000001,0.0006803450000000001
31.0,961.0,0,0,961.0,0,18.419574720922505,0.0006895530000000001,0.0006895530000000001
32.0,1024.0,0,0,1024.0,0,18.609855529521397,0.0006905240000000001,0.0006905240000000001
33.0,1089.0,0,0,1089.0,0,18.570844470399507,0.0007443360000000001,0.0007443360000000001
34.0,1156.0,0,0,1156.0,0,18.78411734868866,0.0008305290000000001,0.0008305290000000001
35.0,1225.0,0,0,1225.0,0,18.734068969763765,0.000802456,0.000802456
36.0,1296.0,0,0,1296.0,0,18.880068766655853,0.0008021520000000001,0.0008021520000000001
37.0,1369.0,0,0,1369.0,0,18.931380866548217,0.0007853700000000001,0.0007853700000000001
38.0,1444.0,0,0,1444.0,0,18.99349081415083,0.000806739,0.000806739
39.0,1521.0,0,0,1521.0,0,19.04238018454956,0.0008275400000000001,0.0008275400000000001
40.0,1600.0,0,0,1600.0,0,19.208297383705105,0.0008406990000000001,0.0008406990000000001
41.0,1681.0,0,0,1681.0,0,19.32007404405882,0.000837713,0.000837713
42.0,1764.0,0,0,1764.0,0,19.379473710758756,0.000841536,0.000841536
43.0,1849.0,0,0,1849.0,0,19.43880803804247,0.0008536300000000001,0.0008536300000000001
44.0,1936.0,0,0,1936.0,0,19.46172883994918,0.0008315660000000001,0.0008315660000000001
45.0,2025.0,0,0,2025.0,0,19.523153199211038,0.0008250330000000001,0.0008250330000000001
46.0,2116.0,0,0,2116.0,0,19.61392721140727,0.0008771950000000001,0.0008771950000000001
47.0,2209.0,0,0,2209.0,0,19.73098250768109,0.000886763,0.000886763
48.0,2304.0,0,0,2304.0,0,19.830919849762914,0.0008601590000000001,0.0008601590000000001
49.0,2401.0,0,0,2401.0,0,19.884632121625675,0.0009001380000000001,0.0009001380000000001
50.0,2500.0,0,0,2500.0,0,19.92401073082349,0.0018946240000000001,0.0018946240000000001
51.0,2601.0,0,0,2601.0,0,20.086460764812124,0.0009035050000000001,0.0009035050000000001
52.0,2704.0,0,0,2704.0,0,20.035750155966284,0.001439619,0.001439619
53.0,2809.0,0,0,2809.0,0,20.125309593419722,0.0010074370000000001,0.0010074370000000001
54.0,2916.0,0,0,2916.0,0,20.159069883576954,0.0009536540000000001,0.0009536540000000001
55.0,3025.0,0,0,3025.0,0,20.19778118881316,0.000928965,0.000928965
56.0,3136.0,0,0,3136.0,0,20.319552708392376,0.0009709610000000001,0.0009709610000000001
57.0,3249.0,0,0,3249.0,0,20.31766500070001,0.000990023,0.000990023
58.0,3364.0,0,0,3364.0,0,20.377597660575184,0.001045268,0.001045268
59.0,3481.0,0,0,3481.0,0,20.478672987406185,0.0009893,0.0009893
60.0,3600.0,0,0,3600.0,0,20.534804687142216,0.000987927,0.000987927
61.0,3721.0,0,0,3721.0,0,20.576694610093213,0.001006109,0.001006109
62.0,3844.0,0,0,3844.0,0,20.666185491174968,0.001007435,0.001007435
63.0,3969.0,0,0,3969.0,0,20.76467084675651,0.001135914,0.001135914
64.0,4096.0,0,0,4096.0,0,20.800079987214374,0.00103688,0.00103688
65.0,4225.0,0,0,4225.0,0,20.794094034141803,0.00106646,0.00106646
66.0,4356.0,0,0,4356.0,0,20.826017530464732,0.001081439,0.001081439
67.0,4489.0,0,0,4489.0,0,20.906854043304502,0.0010766690000000002,0.0010766690000000002
68.0,4624.0,0,0,4624.0,0,20.935590416503423,0.001095416,0.001095416
69.0,4761.0,0,0,4761.0,0,21.059055175952942,0.001161595,0.001161595
70.0,4900.0,0,0,4900.0,0,21.076731612232564,0.001160379,0.001160379
71.0,5041.0,0,0,5041.0,0,21.11338592954512,0.001123393,0.001123393
72.0,5184.0,0,0,5184.0,0,21.165266411964375,0.001107525,0.001107525
73.0,5329.0,0,0,5329.0,0,21.19958476411456,0.001139822,0.001139822
74.0,5476.0,0,0,5476.0,0,21.248017340824138,0.001183776,0.001183776
