N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.963371354477307,0.11723826400000001,0.11723826400000001
3.0,9.0,0,0,9.0,0,13.290704543950776,0.000653038,0.000653038
4.0,16.0,0,0,16.0,0,14.080579319198014,0.0006583720000000001,0.0006583720000000001
5.0,25.0,0,0,25.0,0,14.416475748815092,0.0016031390000000002,0.0016031390000000002
6.0,36.0,0,0,36.0,0,14.956059524630598,0.0007821340000000001,0.0007821340000000001
7.0,49.0,0,0,49.0,0,15.426236070706047,0.000811342,0.000811342
8.0,64.0,0,0,64.0,0,15.677795673819224,0.000896375,0.000896375
9.0,81.0,0,0,81.0,0,15.93130097125657,0.0008892870000000001,0.0008892870000000001
10.0,100.0,0,0,100.0,0,16.20129956363335,0.0009187,0.0009187
11.0,121.0,0,0,121.0,0,16.538944500867633,0.0008571270000000001,0.0008571270000000001
12.0,144.0,0,0,144.0,0,16.840573186455245,0.0008732080000000001,0.0008732080000000001
13.0,169.0,0,0,169.0,0,17.0982771635806,0.00096239,0.00096239
14.0,196.0,0,0,196.0,0,17.26892116719351,0.0024122030000000004,0.0024122030000000004
15.0,225.0,0,0,225.0,0,17.540634932284345,0.000950086,0.000950086
16.0,256.0,0,0,256.0,0,17.702766582495656,0.001018489,0.001018489
17.0,289.0,0,0,289.0,0,17.780766340187697,0.0011147210000000002,0.0011147210000000002
18.0,324.0,0,0,324.0,0,17.874427184014287,0.001127925,0.001127925
19.0,361.0,0,0,361.0,0,18.11894509623117,0.001064505,0.001064505
20.0,400.0,0,0,400.0,0,18.199945527290595,0.0012161000000000001,0.0012161000000000001
21.0,441.0,0,0,441.0,0,18.38200420041535,0.001237316,0.001237316
22.0,484.0,0,0,484.0,0,18.45035046225527,0.001209571,0.001209571
23.0,529.0,0,0,529.0,0,18.632080512086283,0.0012066870000000001,0.0012066870000000001
24.0,576.0,0,0,576.0,0,18.710636418183398,0.001242356,0.001242356
25.0,625.0,0,0,625.0,0,18.913074495244402,0.001379832,0.001379832
26.0,676.0,0,0,676.0,0,18.990821621312374,0.00132305,0.00132305
27.0,729.0,0,0,729.0,0,19.186799392342312,0.001275684,0.001275684
28.0,784.0,0,0,784.0,0,19.258278452545362,0.0013795,0.0013795
