N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.802498086373644,0.000527503,0.000527503
3.0,9.0,0,0,9.0,0,13.01589324346594,0.0006186620000000001,0.0006186620000000001
4.0,16.0,0,0,16.0,0,14.01712572295551,0.000600041,0.000600041
5.0,25.0,0,0,25.0,0,14.302899740365053,0.0006418180000000001,0.0006418180000000001
6.0,36.0,0,0,36.0,0,14.968994667300532,0.0006121880000000001,0.0006121880000000001
7.0,49.0,0,0,49.0,0,15.281673762220517,0.000724184,0.000724184
8.0,64.0,0,0,64.0,0,15.484802755341425,0.000756134,0.000756134
9.0,81.0,0,0,81.0,0,15.926784638634949,0.0007734790000000001,0.0007734790000000001
10.0,100.0,0,0,100.0,0,16.052291224378624,0.001124409,0.001124409
11.0,121.0,0,0,121.0,0,16.390377045155144,0.001708029,0.001708029
12.0,144.0,0,0,144.0,0,16.690527892327008,0.0008368850000000001,0.0008368850000000001
13.0,169.0,0,0,169.0,0,16.894470638080257,0.001014994,0.001014994
14.0,196.0,0,0,196.0,0,17.11224789109909,0.000847793,0.000847793
15.0,225.0,0,0,225.0,0,17.22026075742764,0.001074813,0.001074813
16.0,256.0,0,0,256.0,0,17.479177839368695,0.001273595,0.001273595
17.0,289.0,0,0,289.0,0,17.78916540761073,0.0008751070000000001,0.0008751070000000001
18.0,324.0,0,0,324.0,0,17.76793658997344,0.000927678,0.000927678
19.0,361.0,0,0,361.0,0,18.103318826198972,0.001050079,0.001050079
20.0,400.0,0,0,400.0,0,18.15171386421033,0.000926989,0.000926989
21.0,441.0,0,0,441.0,0,18.23459888095274,0.0009572410000000001,0.0009572410000000001
22.0,484.0,0,0,484.0,0,18.477718999527028,0.000912493,0.000912493
23.0,529.0,0,0,529.0,0,18.48538466051581,0.0009125400000000001,0.0009125400000000001
24.0,576.0,0,0,576.0,0,18.58338502213334,0.0009563600000000001,0.0009563600000000001
25.0,625.0,0,0,625.0,0,18.808517078059403,0.0009397110000000001,0.0009397110000000001
26.0,676.0,0,0,676.0,0,18.94778408181891,0.00094034,0.00094034
27.0,729.0,0,0,729.0,0,19.029571734557212,0.0009631,0.0009631
28.0,784.0,0,0,784.0,0,19.1901452998783,0.001027057,0.001027057
29.0,841.0,0,0,841.0,0,19.270655100556272,0.000995411,0.000995411
30.0,900.0,0,0,900.0,0,19.37303101311208,0.0009910960000000001,0.0009910960000000001
31.0,961.0,0,0,961.0,0,19.458422387693357,0.0010068380000000001,0.0010068380000000001
32.0,1024.0,0,0,1024.0,0,19.632633482257063,0.0011291390000000001,0.0011291390000000001
33.0,1089.0,0,0,1089.0,0,19.63951243847468,0.001327162,0.001327162
34.0,1156.0,0,0,1156.0,0,19.819865030871313,0.00237303,0.00237303
35.0,1225.0,0,0,1225.0,0,19.86539469415896,0.0014006650000000002,0.0014006650000000002
36.0,1296.0,0,0,1296.0,0,19.992912723314795,0.0014201160000000001,0.0014201160000000001
37.0,1369.0,0,0,1369.0,0,20.04696843754166,0.001428617,0.001428617
38.0,1444.0,0,0,1444.0,0,20.154197779540056,0.00137948,0.00137948
39.0,1521.0,0,0,1521.0,0,20.159122748136497,0.0014277970000000002,0.0014277970000000002
40.0,1600.0,0,0,1600.0,0,20.31998111506921,0.001454154,0.001454154
41.0,1681.0,0,0,1681.0,0,20.41916011766039,0.0014658490000000002,0.0014658490000000002
42.0,1764.0,0,0,1764.0,0,20.561261137215144,0.001500943,0.001500943
43.0,1849.0,0,0,1849.0,0,20.622409510097427,0.001488518,0.001488518
44.0,1936.0,0,0,1936.0,0,20.639912168410035,0.001507787,0.001507787
45.0,2025.0,0,0,2025.0,0,20.735543876247643,0.0015292340000000002,0.0015292340000000002
46.0,2116.0,0,0,2116.0,0,20.811338977571673,0.001598388,0.001598388
47.0,2209.0,0,0,2209.0,0,20.92517159244576,0.001553342,0.001553342
48.0,2304.0,0,0,2304.0,0,21.028406238703088,0.001547533,0.001547533
49.0,2401.0,0,0,2401.0,0,21.08626739133627,0.001645065,0.001645065
50.0,2500.0,0,0,2500.0,0,21.146140390298598,0.002530254,0.002530254
51.0,2601.0,0,0,2601.0,0,21.24791571772181,0.0017056240000000002,0.0017056240000000002
52.0,2704.0,0,0,2704.0,0,21.27006855287808,0.0019274910000000001,0.0019274910000000001
53.0,2809.0,0,0,2809.0,0,21.35373238287255,0.002889441,0.002889441
54.0,2916.0,0,0,2916.0,0,21.39807917953955,0.0016783070000000002,0.0016783070000000002
55.0,3025.0,0,0,3025.0,0,21.465566453231567,0.002096611,0.002096611
56.0,3136.0,0,0,3136.0,0,21.61364572964414,0.001983264,0.001983264
57.0,3249.0,0,0,3249.0,0,21.60216426336931,0.0018597090000000002,0.0018597090000000002
58.0,3364.0,0,0,3364.0,0,21.681659970164855,0.0019070600000000001,0.0019070600000000001
59.0,3481.0,0,0,3481.0,0,21.77394274566797,0.001746312,0.001746312
60.0,3600.0,0,0,3600.0,0,21.829388636290123,0.002178848,0.002178848
61.0,3721.0,0,0,3721.0,0,21.904413993657975,0.0018543070000000001,0.0018543070000000001
62.0,3844.0,0,0,3844.0,0,21.969166695702363,0.0018571030000000001,0.0018571030000000001
63.0,3969.0,0,0,3969.0,0,22.090927843158635,0.0018998580000000001,0.0018998580000000001
64.0,4096.0,0,0,4096.0,0,22.131113290243643,0.0019979900000000003,0.0019979900000000003
65.0,4225.0,0,0,4225.0,0,22.180579438891748,0.0023423750000000003,0.0023423750000000003
66.0,4356.0,0,0,4356.0,0,22.209579423805433,0.0022471870000000003,0.0022471870000000003
67.0,4489.0,0,0,4489.0,0,22.280400465871782,0.0024850220000000004,0.0024850220000000004
68.0,4624.0,0,0,4624.0,0,22.344586898843694,0.002835217,0.002835217
69.0,4761.0,0,0,4761.0,0,22.46152558001079,0.0023368,0.0023368
70.0,4900.0,0,0,4900.0,0,22.50512881791493,0.002244491,0.002244491
71.0,5041.0,0,0,5041.0,0,22.54028124488435,0.0022171,0.0022171
72.0,5184.0,0,0,5184.0,0,22.588285048665064,0.002234495,0.002234495
73.0,5329.0,0,0,5329.0,0,22.649691415276884,0.002237746,0.002237746
74.0,5476.0,0,0,5476.0,0,22.652144800574106,0.002279361,0.002279361
75.0,5625.0,0,0,5625.0,0,22.793321407375583,0.002293391,0.002293391
76.0,5776.0,0,0,5776.0,0,22.775453161553536,0.00230051,0.00230051
77.0,5929.0,0,0,5929.0,0,22.901978132133202,0.002376539,0.002376539
