N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,15.861315924471723,0.0005545950000000001,0.0005545950000000001
3.0,9.0,0,0,9.0,0,16.907166480852613,0.0006201090000000001,0.0006201090000000001
4.0,16.0,0,0,16.0,0,17.542124750447186,0.0007371890000000001,0.0007371890000000001
5.0,25.0,0,0,25.0,0,18.112271316864213,0.001365853,0.001365853
6.0,36.0,0,0,36.0,0,18.379064705854347,0.000663453,0.000663453
7.0,49.0,0,0,49.0,0,18.5931773714385,0.0011819760000000002,0.0011819760000000002
8.0,64.0,0,0,64.0,0,18.877185699606514,0.0007782900000000001,0.0007782900000000001
9.0,81.0,0,0,81.0,0,19.086180166737833,0.0019243320000000002,0.0019243320000000002
10.0,100.0,0,0,100.0,0,19.522982145221736,0.0007925100000000001,0.0007925100000000001
11.0,121.0,0,0,121.0,0,19.644011185623686,0.0007779870000000001,0.0007779870000000001
12.0,144.0,0,0,144.0,0,19.849303911672635,0.000783128,0.000783128
13.0,169.0,0,0,169.0,0,20.079073237585693,0.000861944,0.000861944
14.0,196.0,0,0,196.0,0,20.264520531520517,0.00079573,0.00079573
15.0,225.0,0,0,225.0,0,20.3811040387146,0.0008112270000000001,0.0008112270000000001
16.0,256.0,0,0,256.0,0,20.51236836578683,0.000819609,0.000819609
17.0,289.0,0,0,289.0,0,20.60581730613285,0.000903019,0.000903019
18.0,324.0,0,0,324.0,0,20.746187488827633,0.000890701,0.000890701
19.0,361.0,0,0,361.0,0,20.935068178947304,0.001090966,0.001090966
20.0,400.0,0,0,400.0,0,21.10389113885988,0.000953479,0.000953479
21.0,441.0,0,0,441.0,0,21.192329699610013,0.001138492,0.001138492
22.0,484.0,0,0,484.0,0,21.328468841676,0.000959251,0.000959251
23.0,529.0,0,0,529.0,0,21.454033780471143,0.001449505,0.001449505
24.0,576.0,0,0,576.0,0,21.59177379534345,0.0010518230000000001,0.0010518230000000001
25.0,625.0,0,0,625.0,0,21.706312362005793,0.001393555,0.001393555
26.0,676.0,0,0,676.0,0,21.94406659190179,0.001022218,0.001022218
27.0,729.0,0,0,729.0,0,21.97847471315434,0.001016455,0.001016455
28.0,784.0,0,0,784.0,0,22.1236377776532,0.0010417970000000001,0.0010417970000000001
29.0,841.0,0,0,841.0,0,22.304399054699864,0.001099268,0.001099268
30.0,900.0,0,0,900.0,0,22.367945613829555,0.0010503180000000002,0.0010503180000000002
31.0,961.0,0,0,961.0,0,22.495446611986463,0.001068477,0.001068477
32.0,1024.0,0,0,1024.0,0,22.580533289205064,0.001072397,0.001072397
33.0,1089.0,0,0,1089.0,0,22.673260378027148,0.001488116,0.001488116
34.0,1156.0,0,0,1156.0,0,22.74725225972326,0.0015042920000000002,0.0015042920000000002
35.0,1225.0,0,0,1225.0,0,22.84898505063987,0.001539655,0.001539655
