N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,15.046322053213368,0.00048816,0.00048816
3.0,9.0,0,0,9.0,0,16.05962431665203,0.000469774,0.000469774
4.0,16.0,0,0,16.0,0,16.15821735991728,0.000507726,0.000507726
5.0,25.0,0,0,25.0,0,16.819553709145843,0.0005652480000000001,0.0005652480000000001
6.0,36.0,0,0,36.0,0,17.5933016573346,0.000513688,0.000513688
7.0,49.0,0,0,49.0,0,17.94785520856349,0.000518578,0.000518578
8.0,64.0,0,0,64.0,0,18.017262215958873,0.000546673,0.000546673
9.0,81.0,0,0,81.0,0,18.117739786385528,0.000802829,0.000802829
10.0,100.0,0,0,100.0,0,18.806472582550207,0.0005470620000000001,0.0005470620000000001
11.0,121.0,0,0,121.0,0,18.70939283056711,0.0005552850000000001,0.0005552850000000001
12.0,144.0,0,0,144.0,0,18.82291601399929,0.0007173160000000001,0.0007173160000000001
13.0,169.0,0,0,169.0,0,18.995552760387376,0.000582596,0.000582596
14.0,196.0,0,0,196.0,0,19.545040542551323,0.000534541,0.000534541
15.0,225.0,0,0,225.0,0,19.404549800207423,0.000544863,0.000544863
16.0,256.0,0,0,256.0,0,19.570475136743145,0.000558467,0.000558467
17.0,289.0,0,0,289.0,0,19.66123913851144,0.0005773940000000001,0.0005773940000000001
18.0,324.0,0,0,324.0,0,20.01958282937897,0.000578699,0.000578699
19.0,361.0,0,0,361.0,0,19.86310685864511,0.0007320720000000001,0.0007320720000000001
20.0,400.0,0,0,400.0,0,20.12577546774927,0.000635803,0.000635803
21.0,441.0,0,0,441.0,0,20.22896368624954,0.001615808,0.001615808
22.0,484.0,0,0,484.0,0,20.51116202312384,0.00061562,0.00061562
23.0,529.0,0,0,529.0,0,20.50497858038725,0.000672946,0.000672946
24.0,576.0,0,0,576.0,0,20.540057358283534,0.0006934650000000001,0.0006934650000000001
25.0,625.0,0,0,625.0,0,20.727112951622825,0.0006796240000000001,0.0006796240000000001
26.0,676.0,0,0,676.0,0,20.92169152902056,0.00077627,0.00077627
27.0,729.0,0,0,729.0,0,20.831113087615147,0.0007086200000000001,0.0007086200000000001
28.0,784.0,0,0,784.0,0,20.993779277218664,0.000655741,0.000655741
29.0,841.0,0,0,841.0,0,21.230642312270046,0.000771624,0.000771624
30.0,900.0,0,0,900.0,0,21.177247940365362,0.000689093,0.000689093
31.0,961.0,0,0,961.0,0,21.280563063708104,0.000699511,0.000699511
32.0,1024.0,0,0,1024.0,0,21.3326434020427,0.00068859,0.00068859
33.0,1089.0,0,0,1089.0,0,21.480915679943266,0.0007318110000000001,0.0007318110000000001
34.0,1156.0,0,0,1156.0,0,21.47823479856235,0.000740745,0.000740745
35.0,1225.0,0,0,1225.0,0,21.529748348959103,0.0008077760000000001,0.0008077760000000001
36.0,1296.0,0,0,1296.0,0,21.650446175959395,0.0007883730000000001,0.0007883730000000001
37.0,1369.0,0,0,1369.0,0,21.80215658600072,0.0008391360000000001,0.0008391360000000001
38.0,1444.0,0,0,1444.0,0,21.78158402378843,0.0008595920000000001,0.0008595920000000001
39.0,1521.0,0,0,1521.0,0,21.882020332883915,0.000883767,0.000883767
40.0,1600.0,0,0,1600.0,0,21.954350634273162,0.000797686,0.000797686
41.0,1681.0,0,0,1681.0,0,22.104503880825042,0.000802079,0.000802079
42.0,1764.0,0,0,1764.0,0,22.054311687117043,0.001110447,0.001110447
43.0,1849.0,0,0,1849.0,0,22.200118336448938,0.000861354,0.000861354
44.0,1936.0,0,0,1936.0,0,22.199816276123684,0.000857071,0.000857071
45.0,2025.0,0,0,2025.0,0,22.32599701339123,0.0008642630000000001,0.0008642630000000001
46.0,2116.0,0,0,2116.0,0,22.35253044447546,0.000883698,0.000883698
47.0,2209.0,0,0,2209.0,0,22.401062385810192,0.000889439,0.000889439
48.0,2304.0,0,0,2304.0,0,22.456947166794766,0.0008705350000000001,0.0008705350000000001
49.0,2401.0,0,0,2401.0,0,22.615007188781966,0.000921777,0.000921777
50.0,2500.0,0,0,2500.0,0,22.583412732245527,0.000931519,0.000931519
51.0,2601.0,0,0,2601.0,0,22.689428040129588,0.000917658,0.000917658
52.0,2704.0,0,0,2704.0,0,22.69726992212931,0.0009362530000000001,0.0009362530000000001
53.0,2809.0,0,0,2809.0,0,22.781574132077132,0.000941325,0.000941325
54.0,2916.0,0,0,2916.0,0,22.78557892128001,0.0009985130000000001,0.0009985130000000001
55.0,3025.0,0,0,3025.0,0,22.867389950112532,0.000977121,0.000977121
56.0,3136.0,0,0,3136.0,0,22.971332175829403,0.001016813,0.001016813
57.0,3249.0,0,0,3249.0,0,22.9606692963783,0.0009821460000000001,0.0009821460000000001
58.0,3364.0,0,0,3364.0,0,23.03374431582847,0.0009852510000000001,0.0009852510000000001
59.0,3481.0,0,0,3481.0,0,23.02823394291994,0.0009929560000000001,0.0009929560000000001
60.0,3600.0,0,0,3600.0,0,23.17623250635608,0.001013988,0.001013988
61.0,3721.0,0,0,3721.0,0,23.214983681747153,0.001019242,0.001019242
62.0,3844.0,0,0,3844.0,0,23.192674479597464,0.0010646030000000001,0.0010646030000000001
63.0,3969.0,0,0,3969.0,0,23.28228857792705,0.001035614,0.001035614
64.0,4096.0,0,0,4096.0,0,23.381447524029653,0.0010620010000000001,0.0010620010000000001
65.0,4225.0,0,0,4225.0,0,23.313946235907565,0.0010639310000000002,0.0010639310000000002
