N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,16.311695381223686,0.000542466,0.000542466
3.0,9.0,0,0,9.0,0,16.97709418987734,0.000638758,0.000638758
4.0,16.0,0,0,16.0,0,17.371795950784033,0.000653907,0.000653907
5.0,25.0,0,0,25.0,0,18.145904233709963,0.000646132,0.000646132
6.0,36.0,0,0,36.0,0,18.20299324203855,0.000675914,0.000675914
7.0,49.0,0,0,49.0,0,18.5963330994192,0.000780917,0.000780917
8.0,64.0,0,0,64.0,0,18.740871025125184,0.000782027,0.000782027
9.0,81.0,0,0,81.0,0,19.09047672942828,0.00080588,0.00080588
10.0,100.0,0,0,100.0,0,19.348566002040734,0.000852981,0.000852981
11.0,121.0,0,0,121.0,0,19.60113924283876,0.0008375730000000001,0.0008375730000000001
12.0,144.0,0,0,144.0,0,19.620056838941764,0.000856146,0.000856146
13.0,169.0,0,0,169.0,0,20.06899955894872,0.000855416,0.000855416
14.0,196.0,0,0,196.0,0,20.120291811350214,0.0008549330000000001,0.0008549330000000001
15.0,225.0,0,0,225.0,0,20.334826403494862,0.0008129130000000001,0.0008129130000000001
16.0,256.0,0,0,256.0,0,20.379331957562915,0.0008862750000000001,0.0008862750000000001
17.0,289.0,0,0,289.0,0,20.522318559924738,0.000983161,0.000983161
18.0,324.0,0,0,324.0,0,20.610398716141674,0.00099175,0.00099175
19.0,361.0,0,0,361.0,0,20.939628966122044,0.000957446,0.000957446
20.0,400.0,0,0,400.0,0,21.036269003808094,0.001023508,0.001023508
21.0,441.0,0,0,441.0,0,21.181119780344208,0.001026889,0.001026889
22.0,484.0,0,0,484.0,0,21.22255370933191,0.0010289840000000001,0.0010289840000000001
23.0,529.0,0,0,529.0,0,21.376750956785827,0.00106998,0.00106998
24.0,576.0,0,0,576.0,0,21.477004802626563,0.001376093,0.001376093
25.0,625.0,0,0,625.0,0,21.67083325149703,0.001178313,0.001178313
26.0,676.0,0,0,676.0,0,21.796875221506497,0.001140523,0.001140523
27.0,729.0,0,0,729.0,0,21.984706703390714,0.0010749870000000001,0.0010749870000000001
28.0,784.0,0,0,784.0,0,22.046653151267424,0.001269794,0.001269794
29.0,841.0,0,0,841.0,0,22.20019989633886,0.001224288,0.001224288
30.0,900.0,0,0,900.0,0,22.24572701838875,0.0011223160000000002,0.0011223160000000002
31.0,961.0,0,0,961.0,0,22.41443083316165,0.001126499,0.001126499
32.0,1024.0,0,0,1024.0,0,22.474284428771337,0.0012130280000000001,0.0012130280000000001
33.0,1089.0,0,0,1089.0,0,22.620979218526607,0.0017659960000000001,0.0017659960000000001
34.0,1156.0,0,0,1156.0,0,22.65505685220599,0.001705815,0.001705815
35.0,1225.0,0,0,1225.0,0,22.796170698285714,0.0018243460000000001,0.0018243460000000001
36.0,1296.0,0,0,1296.0,0,22.799288084249056,0.0017172770000000001,0.0017172770000000001
37.0,1369.0,0,0,1369.0,0,22.907280750571598,0.001804114,0.001804114
38.0,1444.0,0,0,1444.0,0,22.92241771212286,0.0018200820000000002,0.0018200820000000002
39.0,1521.0,0,0,1521.0,0,23.041831313457067,0.0019280640000000002,0.0019280640000000002
40.0,1600.0,0,0,1600.0,0,23.090970836153627,0.0019484320000000002,0.0019484320000000002
41.0,1681.0,0,0,1681.0,0,23.200108576862938,0.00207997,0.00207997
42.0,1764.0,0,0,1764.0,0,23.247855702152194,0.00211612,0.00211612
43.0,1849.0,0,0,1849.0,0,23.365177099508735,0.001993136,0.001993136
44.0,1936.0,0,0,1936.0,0,23.386721954794616,0.0022821250000000003,0.0022821250000000003
45.0,2025.0,0,0,2025.0,0,23.476678904476724,0.004988893,0.004988893
46.0,2116.0,0,0,2116.0,0,23.520925126239888,0.005252302,0.005252302
47.0,2209.0,0,0,2209.0,0,23.594606058444853,0.0044095490000000005,0.0044095490000000005
48.0,2304.0,0,0,2304.0,0,23.60448239714533,0.002052621,0.002052621
49.0,2401.0,0,0,2401.0,0,23.730527249024323,0.002265627,0.002265627
50.0,2500.0,0,0,2500.0,0,23.743808554634306,0.0023693660000000004,0.0023693660000000004
51.0,2601.0,0,0,2601.0,0,23.83590706793796,0.002321507,0.002321507
52.0,2704.0,0,0,2704.0,0,23.87066612291141,0.00249034,0.00249034
53.0,2809.0,0,0,2809.0,0,23.974531296068307,0.002215074,0.002215074
54.0,2916.0,0,0,2916.0,0,24.010887341030696,0.002588004,0.002588004
55.0,3025.0,0,0,3025.0,0,24.087019907771893,0.0021948840000000002,0.0021948840000000002
56.0,3136.0,0,0,3136.0,0,24.1170011886512,0.0024403470000000003,0.0024403470000000003
57.0,3249.0,0,0,3249.0,0,24.219952773357257,0.00220849,0.00220849
58.0,3364.0,0,0,3364.0,0,24.241252110689008,0.0021448640000000002,0.0021448640000000002
59.0,3481.0,0,0,3481.0,0,24.327663884457152,0.002156429,0.002156429
60.0,3600.0,0,0,3600.0,0,24.34126783256465,0.002130625,0.002130625
61.0,3721.0,0,0,3721.0,0,24.4406162455034,0.0028271190000000003,0.0028271190000000003
62.0,3844.0,0,0,3844.0,0,24.46145329983056,0.002233543,0.002233543
63.0,3969.0,0,0,3969.0,0,24.537172702653294,0.0021592070000000002,0.0021592070000000002
64.0,4096.0,0,0,4096.0,0,24.57123347174436,0.002238851,0.002238851
65.0,4225.0,0,0,4225.0,0,24.65724163807996,0.002985246,0.002985246
66.0,4356.0,0,0,4356.0,0,24.6893993349727,0.002870333,0.002870333
67.0,4489.0,0,0,4489.0,0,24.760330319280012,0.0027243830000000004,0.0027243830000000004
68.0,4624.0,0,0,4624.0,0,24.781487260772856,0.002742004,0.002742004
69.0,4761.0,0,0,4761.0,0,24.86514596274905,0.002923375,0.002923375
70.0,4900.0,0,0,4900.0,0,24.87994248991237,0.002806602,0.002806602
71.0,5041.0,0,0,5041.0,0,24.962948366157054,0.0027620910000000004,0.0027620910000000004
72.0,5184.0,0,0,5184.0,0,24.97909717750948,0.002919502,0.002919502
73.0,5329.0,0,0,5329.0,0,25.06127360120296,0.002958128,0.002958128
74.0,5476.0,0,0,5476.0,0,25.074021534332743,0.0028467920000000003,0.0028467920000000003
75.0,5625.0,0,0,5625.0,0,25.154015288258343,0.0027918920000000002,0.0027918920000000002
76.0,5776.0,0,0,5776.0,0,25.174383474611332,0.003001936,0.003001936
77.0,5929.0,0,0,5929.0,0,25.24807410237686,0.003047933,0.003047933
78.0,6084.0,0,0,6084.0,0,25.260488094071615,0.002837421,0.002837421
79.0,6241.0,0,0,6241.0,0,25.34759584358982,0.0031155600000000003,0.0031155600000000003
80.0,6400.0,0,0,6400.0,0,25.37139486524364,0.003815662,0.003815662
81.0,6561.0,0,0,6561.0,0,25.435482191060057,0.0031541710000000003,0.0031541710000000003
82.0,6724.0,0,0,6724.0,0,25.451935943347927,0.003216468,0.003216468
83.0,6889.0,0,0,6889.0,0,25.519679127832966,0.003317912,0.003317912
