N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,15.43276769868484,0.0005278850000000001,0.0005278850000000001
3.0,9.0,0,0,9.0,0,16.77397598324593,0.000753306,0.000753306
4.0,16.0,0,0,16.0,0,17.344075983763013,0.000642413,0.000642413
5.0,25.0,0,0,25.0,0,18.040043842349807,0.0006399590000000001,0.0006399590000000001
6.0,36.0,0,0,36.0,0,18.200432440674412,0.000608267,0.000608267
7.0,49.0,0,0,49.0,0,18.611696099822684,0.000971053,0.000971053
8.0,64.0,0,0,64.0,0,18.907650656621467,0.00069711,0.00069711
9.0,81.0,0,0,81.0,0,18.926834075096124,0.0012718570000000002,0.0012718570000000002
10.0,100.0,0,0,100.0,0,19.45515733966957,0.0007537220000000001,0.0007537220000000001
11.0,121.0,0,0,121.0,0,19.56778344321187,0.000857725,0.000857725
12.0,144.0,0,0,144.0,0,19.672164388286177,0.000784052,0.000784052
13.0,169.0,0,0,169.0,0,19.88683911537447,0.000746869,0.000746869
14.0,196.0,0,0,196.0,0,20.213529895,0.000796315,0.000796315
15.0,225.0,0,0,225.0,0,20.25691978843938,0.0008124380000000001,0.0008124380000000001
16.0,256.0,0,0,256.0,0,20.40734634404967,0.000848973,0.000848973
17.0,289.0,0,0,289.0,0,20.49151960232311,0.0008759260000000001,0.0008759260000000001
18.0,324.0,0,0,324.0,0,20.714971613026442,0.0008824670000000001,0.0008824670000000001
19.0,361.0,0,0,361.0,0,20.777835455932006,0.000924863,0.000924863
20.0,400.0,0,0,400.0,0,20.960172380342538,0.0010368,0.0010368
21.0,441.0,0,0,441.0,0,21.01862984776046,0.000973895,0.000973895
22.0,484.0,0,0,484.0,0,21.295869280015136,0.0009237350000000001,0.0009237350000000001
23.0,529.0,0,0,529.0,0,21.396391889359588,0.0009290040000000001,0.0009290040000000001
24.0,576.0,0,0,576.0,0,21.447912098908716,0.0009529860000000001,0.0009529860000000001
25.0,625.0,0,0,625.0,0,21.565487081156935,0.00098146,0.00098146
