N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,13.939291220703716,0.0008803490000000001,0.0008803490000000001
3.0,9.0,0,0,9.0,0,14.718388241338813,0.000509233,0.000509233
4.0,16.0,0,0,16.0,0,14.97778851565798,0.000500015,0.000500015
5.0,25.0,0,0,25.0,0,15.051178809053285,0.000454306,0.000454306
6.0,36.0,0,0,36.0,0,15.211521730179838,0.0005399490000000001,0.0005399490000000001
7.0,49.0,0,0,49.0,0,15.772037662640326,0.000493547,0.000493547
8.0,64.0,0,0,64.0,0,16.103017748122262,0.0005441140000000001,0.0005441140000000001
9.0,81.0,0,0,81.0,0,16.079210134669474,0.000529279,0.000529279
10.0,100.0,0,0,100.0,0,16.174304455396648,0.0005476270000000001,0.0005476270000000001
11.0,121.0,0,0,121.0,0,16.385358509612388,0.000533494,0.000533494
12.0,144.0,0,0,144.0,0,16.386680189592536,0.00072745,0.00072745
13.0,169.0,0,0,169.0,0,16.605971874670328,0.000737019,0.000737019
14.0,196.0,0,0,196.0,0,16.761247434410283,0.000562099,0.000562099
15.0,225.0,0,0,225.0,0,16.805187917332333,0.000554605,0.000554605
16.0,256.0,0,0,256.0,0,16.875171178984644,0.0005747850000000001,0.0005747850000000001
17.0,289.0,0,0,289.0,0,16.85237502992567,0.0005875640000000001,0.0005875640000000001
18.0,324.0,0,0,324.0,0,17.082822823516754,0.000597665,0.000597665
19.0,361.0,0,0,361.0,0,17.12549828220222,0.000613082,0.000613082
20.0,400.0,0,0,400.0,0,17.236559671322098,0.0006001390000000001,0.0006001390000000001
21.0,441.0,0,0,441.0,0,17.230468731529495,0.000605115,0.000605115
22.0,484.0,0,0,484.0,0,17.279009967016975,0.000611828,0.000611828
23.0,529.0,0,0,529.0,0,17.31992586466046,0.000627447,0.000627447
24.0,576.0,0,0,576.0,0,17.35462703913571,0.0006383210000000001,0.0006383210000000001
25.0,625.0,0,0,625.0,0,17.565797449647533,0.0006475970000000001,0.0006475970000000001
26.0,676.0,0,0,676.0,0,17.58115173705111,0.00064521,0.00064521
27.0,729.0,0,0,729.0,0,17.556126614396767,0.0007178540000000001,0.0007178540000000001
28.0,784.0,0,0,784.0,0,17.693328873193774,0.000728425,0.000728425
29.0,841.0,0,0,841.0,0,17.690381591895587,0.0007511600000000001,0.0007511600000000001
30.0,900.0,0,0,900.0,0,17.696179639778617,0.000688015,0.000688015
31.0,961.0,0,0,961.0,0,17.892575762019757,0.000904457,0.000904457
32.0,1024.0,0,0,1024.0,0,17.868614663360177,0.001106786,0.001106786
33.0,1089.0,0,0,1089.0,0,17.942399954892075,0.000786063,0.000786063
34.0,1156.0,0,0,1156.0,0,17.915224500624824,0.0008194270000000001,0.0008194270000000001
35.0,1225.0,0,0,1225.0,0,18.026934469768435,0.000796653,0.000796653
36.0,1296.0,0,0,1296.0,0,18.095289332651177,0.000796267,0.000796267
37.0,1369.0,0,0,1369.0,0,18.1338505241339,0.0007982520000000001,0.0007982520000000001
38.0,1444.0,0,0,1444.0,0,18.164758485292232,0.000783557,0.000783557
39.0,1521.0,0,0,1521.0,0,18.210302459369924,0.000823141,0.000823141
40.0,1600.0,0,0,1600.0,0,18.28462477826531,0.0008273960000000001,0.0008273960000000001
41.0,1681.0,0,0,1681.0,0,18.256106048257433,0.0008552220000000001,0.0008552220000000001
42.0,1764.0,0,0,1764.0,0,18.338805736854333,0.000855107,0.000855107
43.0,1849.0,0,0,1849.0,0,18.422072622673582,0.0008676970000000001,0.0008676970000000001
44.0,1936.0,0,0,1936.0,0,18.407475303730983,0.0008732360000000001,0.0008732360000000001
45.0,2025.0,0,0,2025.0,0,18.480389966388927,0.0008786890000000001,0.0008786890000000001
46.0,2116.0,0,0,2116.0,0,18.538100716839732,0.000897966,0.000897966
47.0,2209.0,0,0,2209.0,0,18.561849260840653,0.0009497730000000001,0.0009497730000000001
48.0,2304.0,0,0,2304.0,0,18.588863503858594,0.000933649,0.000933649
49.0,2401.0,0,0,2401.0,0,18.627082975320807,0.001090265,0.001090265
50.0,2500.0,0,0,2500.0,0,18.701057850096788,0.0009298370000000001,0.0009298370000000001
51.0,2601.0,0,0,2601.0,0,18.797413337310246,0.00095536,0.00095536
52.0,2704.0,0,0,2704.0,0,18.783407264436285,0.000952385,0.000952385
53.0,2809.0,0,0,2809.0,0,18.767554934808576,0.001020828,0.001020828
54.0,2916.0,0,0,2916.0,0,18.861787119591153,0.000962713,0.000962713
55.0,3025.0,0,0,3025.0,0,18.84944159250533,0.0009667090000000001,0.0009667090000000001
56.0,3136.0,0,0,3136.0,0,18.906262583226116,0.000993326,0.000993326
57.0,3249.0,0,0,3249.0,0,18.896082273095583,0.000967044,0.000967044
58.0,3364.0,0,0,3364.0,0,19.0219770243816,0.00099933,0.00099933
59.0,3481.0,0,0,3481.0,0,19.001225755276938,0.0010035200000000001,0.0010035200000000001
60.0,3600.0,0,0,3600.0,0,19.05624316580093,0.0010131320000000001,0.0010131320000000001
61.0,3721.0,0,0,3721.0,0,18.99176140826322,0.0010162910000000001,0.0010162910000000001
62.0,3844.0,0,0,3844.0,0,19.11844673696503,0.0010206430000000001,0.0010206430000000001
63.0,3969.0,0,0,3969.0,0,19.08936053910605,0.0010521360000000002,0.0010521360000000002
64.0,4096.0,0,0,4096.0,0,19.13669386601657,0.001068219,0.001068219
65.0,4225.0,0,0,4225.0,0,19.242471384969498,0.0011658460000000001,0.0011658460000000001
66.0,4356.0,0,0,4356.0,0,19.18676383997958,0.0011289070000000002,0.0011289070000000002
67.0,4489.0,0,0,4489.0,0,19.27489243630141,0.001251511,0.001251511
68.0,4624.0,0,0,4624.0,0,19.357959989854738,0.001216997,0.001216997
69.0,4761.0,0,0,4761.0,0,19.30790186626409,0.0011129430000000001,0.0011129430000000001
70.0,4900.0,0,0,4900.0,0,19.339391342780374,0.001136363,0.001136363
71.0,5041.0,0,0,5041.0,0,19.441578147612418,0.001138756,0.001138756
72.0,5184.0,0,0,5184.0,0,19.393614965901055,0.00114704,0.00114704
73.0,5329.0,0,0,5329.0,0,19.46778642069215,0.001152814,0.001152814
74.0,5476.0,0,0,5476.0,0,19.498397379377504,0.001182052,0.001182052
75.0,5625.0,0,0,5625.0,0,19.49727215300857,0.001172373,0.001172373
76.0,5776.0,0,0,5776.0,0,19.548863838603136,0.0011838200000000001,0.0011838200000000001
77.0,5929.0,0,0,5929.0,0,19.526781710435902,0.001199811,0.001199811
78.0,6084.0,0,0,6084.0,0,19.611111934954472,0.00120964,0.00120964
79.0,6241.0,0,0,6241.0,0,19.60135473029134,0.001220924,0.001220924
80.0,6400.0,0,0,6400.0,0,19.62312044983682,0.001223696,0.001223696
81.0,6561.0,0,0,6561.0,0,19.689573519513324,0.0012340340000000002,0.0012340340000000002
82.0,6724.0,0,0,6724.0,0,19.706662551528233,0.0012543550000000002,0.0012543550000000002
83.0,6889.0,0,0,6889.0,0,19.72346385071285,0.001922258,0.001922258
84.0,7056.0,0,0,7056.0,0,19.773627002297417,0.001311612,0.001311612
85.0,7225.0,0,0,7225.0,0,19.820933422740797,0.0012856950000000001,0.0012856950000000001
86.0,7396.0,0,0,7396.0,0,19.826379590283757,0.001291877,0.001291877
87.0,7569.0,0,0,7569.0,0,19.866432379385795,0.0012924,0.0012924
88.0,7744.0,0,0,7744.0,0,19.943956525316274,0.001700553,0.001700553
89.0,7921.0,0,0,7921.0,0,19.90928704065814,0.00138415,0.00138415
90.0,8100.0,0,0,8100.0,0,19.940019390267732,0.0018488810000000001,0.0018488810000000001
91.0,8281.0,0,0,8281.0,0,20.00541161233368,0.0014884260000000002,0.0014884260000000002
92.0,8464.0,0,0,8464.0,0,19.93052390123025,0.0013580320000000001,0.0013580320000000001
93.0,8649.0,0,0,8649.0,0,20.004390391601923,0.0013674100000000001,0.0013674100000000001
94.0,8836.0,0,0,8836.0,0,20.033994882264416,0.001394492,0.001394492
95.0,9025.0,0,0,9025.0,0,20.016010923877936,0.00138912,0.00138912
96.0,9216.0,0,0,9216.0,0,20.098040989981598,0.001390968,0.001390968
97.0,9409.0,0,0,9409.0,0,20.08179180431522,0.0014443700000000002,0.0014443700000000002
98.0,9604.0,0,0,9604.0,0,20.15106246423145,0.001449147,0.001449147
99.0,9801.0,0,0,9801.0,0,20.153179936430433,0.001457415,0.001457415
100.0,10000.0,0,0,10000.0,0,20.18788903391639,0.002102333,0.002102333
101.0,10201.0,0,0,10201.0,0,20.175083670683385,0.0015038030000000002,0.0015038030000000002
102.0,10404.0,0,0,10404.0,0,20.229968743137803,0.001486417,0.001486417
103.0,10609.0,0,0,10609.0,0,20.255059532594977,0.001662576,0.001662576
104.0,10816.0,0,0,10816.0,0,20.282998601942623,0.002510743,0.002510743
105.0,11025.0,0,0,11025.0,0,20.31110293135088,0.00206709,0.00206709
106.0,11236.0,0,0,11236.0,0,20.356824130199836,0.0015361930000000002,0.0015361930000000002
107.0,11449.0,0,0,11449.0,0,20.39421799287271,0.001538468,0.001538468
108.0,11664.0,0,0,11664.0,0,20.37844883583731,0.0015558070000000002,0.0015558070000000002
109.0,11881.0,0,0,11881.0,0,20.375856999360956,0.0015726940000000001,0.0015726940000000001
110.0,12100.0,0,0,12100.0,0,20.4325563303941,0.0015850030000000002,0.0015850030000000002
111.0,12321.0,0,0,12321.0,0,20.46133198025543,0.0015861260000000002,0.0015861260000000002
112.0,12544.0,0,0,12544.0,0,20.436288945138628,0.0015917860000000002,0.0015917860000000002
113.0,12769.0,0,0,12769.0,0,20.433583708753616,0.0015988340000000001,0.0015988340000000001
114.0,12996.0,0,0,12996.0,0,20.535629588239345,0.001593112,0.001593112
115.0,13225.0,0,0,13225.0,0,20.519861926053625,0.001630132,0.001630132
116.0,13456.0,0,0,13456.0,0,20.56014098995632,0.00160885,0.00160885
117.0,13689.0,0,0,13689.0,0,20.55844613157159,0.0021918840000000003,0.0021918840000000003
118.0,13924.0,0,0,13924.0,0,20.599940250461863,0.0016878930000000002,0.0016878930000000002
119.0,14161.0,0,0,14161.0,0,20.61436197118333,0.0016850440000000001,0.0016850440000000001
120.0,14400.0,0,0,14400.0,0,20.66358911809868,0.002300122,0.002300122
121.0,14641.0,0,0,14641.0,0,20.677573073842723,0.0017428930000000001,0.0017428930000000001
