N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,13.764185237093852,0.000552637,0.000552637
3.0,9.0,0,0,9.0,0,14.774115269370103,0.0012282360000000002,0.0012282360000000002
4.0,16.0,0,0,16.0,0,14.705568248020096,0.000640767,0.000640767
5.0,25.0,0,0,25.0,0,15.971201825004268,0.000650264,0.000650264
6.0,36.0,0,0,36.0,0,16.095016894370932,0.000669554,0.000669554
7.0,49.0,0,0,49.0,0,16.18602923554689,0.000749903,0.000749903
8.0,64.0,0,0,64.0,0,16.202165892386102,0.0007450050000000001,0.0007450050000000001
9.0,81.0,0,0,81.0,0,16.46605751870419,0.0008709150000000001,0.0008709150000000001
10.0,100.0,0,0,100.0,0,16.46709162968437,0.0008743570000000001,0.0008743570000000001
11.0,121.0,0,0,121.0,0,16.731885134960603,0.0017870660000000001,0.0017870660000000001
12.0,144.0,0,0,144.0,0,16.72752956135705,0.001209114,0.001209114
13.0,169.0,0,0,169.0,0,17.004263141643467,0.0008674860000000001,0.0008674860000000001
14.0,196.0,0,0,196.0,0,16.992975141085303,0.0008632700000000001,0.0008632700000000001
15.0,225.0,0,0,225.0,0,17.162491389674564,0.000828205,0.000828205
16.0,256.0,0,0,256.0,0,17.160130865754116,0.000918293,0.000918293
17.0,289.0,0,0,289.0,0,17.297838924599546,0.0009793830000000001,0.0009793830000000001
18.0,324.0,0,0,324.0,0,17.29238521777703,0.000994,0.000994
19.0,361.0,0,0,361.0,0,17.422379253106218,0.000966824,0.000966824
20.0,400.0,0,0,400.0,0,17.48780352247314,0.0010097320000000002,0.0010097320000000002
21.0,441.0,0,0,441.0,0,17.59282854014794,0.001029285,0.001029285
22.0,484.0,0,0,484.0,0,17.639736224766207,0.001030249,0.001030249
23.0,529.0,0,0,529.0,0,17.798861197792487,0.001046082,0.001046082
24.0,576.0,0,0,576.0,0,17.835000052760254,0.001125693,0.001125693
25.0,625.0,0,0,625.0,0,17.944629309583974,0.001188632,0.001188632
26.0,676.0,0,0,676.0,0,17.962356192982128,0.0011406530000000002,0.0011406530000000002
27.0,729.0,0,0,729.0,0,18.055288607220294,0.00114075,0.00114075
28.0,784.0,0,0,784.0,0,18.107854768064662,0.001217943,0.001217943
29.0,841.0,0,0,841.0,0,18.175181866136036,0.0011905210000000002,0.0011905210000000002
30.0,900.0,0,0,900.0,0,18.196550677053615,0.0011306390000000001,0.0011306390000000001
31.0,961.0,0,0,961.0,0,18.30718722758778,0.001131094,0.001131094
32.0,1024.0,0,0,1024.0,0,18.339928001546,0.0013696110000000002,0.0013696110000000002
33.0,1089.0,0,0,1089.0,0,18.42815552533228,0.0018963780000000002,0.0018963780000000002
34.0,1156.0,0,0,1156.0,0,18.447919427912684,0.0017035140000000002,0.0017035140000000002
35.0,1225.0,0,0,1225.0,0,18.5445292461116,0.0018259250000000002,0.0018259250000000002
36.0,1296.0,0,0,1296.0,0,18.565381681314097,0.0017071950000000001,0.0017071950000000001
37.0,1369.0,0,0,1369.0,0,18.666711330050532,0.001816291,0.001816291
38.0,1444.0,0,0,1444.0,0,18.690348999295644,0.001829085,0.001829085
39.0,1521.0,0,0,1521.0,0,18.794560702459076,0.0019173550000000001,0.0019173550000000001
40.0,1600.0,0,0,1600.0,0,18.812709581959815,0.0018544590000000001,0.0018544590000000001
41.0,1681.0,0,0,1681.0,0,18.912538544783356,0.0019438500000000002,0.0019438500000000002
42.0,1764.0,0,0,1764.0,0,18.92865506490289,0.001849221,0.001849221
43.0,1849.0,0,0,1849.0,0,18.990184951858463,0.0020279910000000003,0.0020279910000000003
44.0,1936.0,0,0,1936.0,0,19.023529532532773,0.002565597,0.002565597
45.0,2025.0,0,0,2025.0,0,19.07606705271615,0.00203503,0.00203503
46.0,2116.0,0,0,2116.0,0,19.09834345642412,0.001977965,0.001977965
47.0,2209.0,0,0,2209.0,0,19.167875097267366,0.001881517,0.001881517
48.0,2304.0,0,0,2304.0,0,19.176235045211662,0.0030459920000000004,0.0030459920000000004
49.0,2401.0,0,0,2401.0,0,19.256531348383675,0.002167757,0.002167757
50.0,2500.0,0,0,2500.0,0,19.28889928100636,0.002030512,0.002030512
51.0,2601.0,0,0,2601.0,0,19.342043471124637,0.0020712910000000003,0.0020712910000000003
52.0,2704.0,0,0,2704.0,0,19.35880262526677,0.0020848900000000003,0.0020848900000000003
53.0,2809.0,0,0,2809.0,0,19.416830778190658,0.00204959,0.00204959
54.0,2916.0,0,0,2916.0,0,19.429029904775234,0.0020654460000000003,0.0020654460000000003
55.0,3025.0,0,0,3025.0,0,19.472012884636513,0.002144186,0.002144186
56.0,3136.0,0,0,3136.0,0,19.48685451552139,0.0021421910000000003,0.0021421910000000003
57.0,3249.0,0,0,3249.0,0,19.555430178329978,0.002127155,0.002127155
58.0,3364.0,0,0,3364.0,0,19.581622625323252,0.0022142850000000003,0.0022142850000000003
59.0,3481.0,0,0,3481.0,0,19.631654635701384,0.0022985510000000002,0.0022985510000000002
60.0,3600.0,0,0,3600.0,0,19.664168720406984,0.002432257,0.002432257
61.0,3721.0,0,0,3721.0,0,19.719596021871855,0.002546791,0.002546791
62.0,3844.0,0,0,3844.0,0,19.74221405956569,0.0021879250000000003,0.0021879250000000003
63.0,3969.0,0,0,3969.0,0,19.811329668305625,0.002138198,0.002138198
64.0,4096.0,0,0,4096.0,0,19.8392969978674,0.0025222350000000003,0.0025222350000000003
65.0,4225.0,0,0,4225.0,0,19.893875728451714,0.0028863870000000002,0.0028863870000000002
66.0,4356.0,0,0,4356.0,0,19.904965281444355,0.002723618,0.002723618
67.0,4489.0,0,0,4489.0,0,19.967290871589757,0.002720849,0.002720849
68.0,4624.0,0,0,4624.0,0,19.983561300494067,0.002718409,0.002718409
69.0,4761.0,0,0,4761.0,0,20.03869596156964,0.0028580050000000003,0.0028580050000000003
70.0,4900.0,0,0,4900.0,0,20.043081858909545,0.00274652,0.00274652
71.0,5041.0,0,0,5041.0,0,20.08998787419675,0.002769428,0.002769428
72.0,5184.0,0,0,5184.0,0,20.09995975402287,0.002945249,0.002945249
73.0,5329.0,0,0,5329.0,0,20.16804088966053,0.0036519160000000003,0.0036519160000000003
74.0,5476.0,0,0,5476.0,0,20.177393216203892,0.0034103120000000004,0.0034103120000000004
75.0,5625.0,0,0,5625.0,0,20.218714055250103,0.0033034960000000004,0.0033034960000000004
76.0,5776.0,0,0,5776.0,0,20.23732933084121,0.003153672,0.003153672
77.0,5929.0,0,0,5929.0,0,20.280733187845378,0.003048142,0.003048142
78.0,6084.0,0,0,6084.0,0,20.294385849740447,0.002872013,0.002872013
79.0,6241.0,0,0,6241.0,0,20.35691414734103,0.005959823,0.005959823
80.0,6400.0,0,0,6400.0,0,20.37581289638087,0.0033164910000000004,0.0033164910000000004
81.0,6561.0,0,0,6561.0,0,20.422078359955293,0.003141104,0.003141104
82.0,6724.0,0,0,6724.0,0,20.433254331327753,0.0031736470000000004,0.0031736470000000004
83.0,6889.0,0,0,6889.0,0,20.473421372824685,0.003065781,0.003065781
84.0,7056.0,0,0,7056.0,0,20.498635157473316,0.0036982620000000003,0.0036982620000000003
85.0,7225.0,0,0,7225.0,0,20.546811162847018,0.003340352,0.003340352
86.0,7396.0,0,0,7396.0,0,20.55361683780699,0.003141458,0.003141458
87.0,7569.0,0,0,7569.0,0,20.59348405898737,0.00315494,0.00315494
88.0,7744.0,0,0,7744.0,0,20.600742782410407,0.004020457,0.004020457
89.0,7921.0,0,0,7921.0,0,20.64370966085027,0.0034146040000000003,0.0034146040000000003
90.0,8100.0,0,0,8100.0,0,20.657384006358164,0.003235075,0.003235075
91.0,8281.0,0,0,8281.0,0,20.70193410075786,0.004031247,0.004031247
92.0,8464.0,0,0,8464.0,0,20.72292798282639,0.0037336450000000003,0.0037336450000000003
93.0,8649.0,0,0,8649.0,0,20.76582137539811,0.0034219880000000004,0.0034219880000000004
94.0,8836.0,0,0,8836.0,0,20.77535909397269,0.0032652170000000004,0.0032652170000000004
95.0,9025.0,0,0,9025.0,0,20.820719306293142,0.003432056,0.003432056
96.0,9216.0,0,0,9216.0,0,20.838055793335695,0.0032753580000000003,0.0032753580000000003
97.0,9409.0,0,0,9409.0,0,20.882872037003203,0.0040839150000000005,0.0040839150000000005
98.0,9604.0,0,0,9604.0,0,20.896903619686242,0.0049843380000000005,0.0049843380000000005
99.0,9801.0,0,0,9801.0,0,20.941874731029735,0.004108635,0.004108635
100.0,10000.0,0,0,10000.0,0,20.957826870004325,0.004084918,0.004084918
101.0,10201.0,0,0,10201.0,0,20.99435235680511,0.004118921,0.004118921
102.0,10404.0,0,0,10404.0,0,21.0107136778143,0.0041184360000000005,0.0041184360000000005
103.0,10609.0,0,0,10609.0,0,21.0430967854115,0.0053605580000000005,0.0053605580000000005
104.0,10816.0,0,0,10816.0,0,21.056759357360036,0.0046073170000000005,0.0046073170000000005
105.0,11025.0,0,0,11025.0,0,21.08972076978922,0.004245978,0.004245978
106.0,11236.0,0,0,11236.0,0,21.1117552610325,0.004154029,0.004154029
107.0,11449.0,0,0,11449.0,0,21.15698071698871,0.004495974000000001,0.004495974000000001
108.0,11664.0,0,0,11664.0,0,21.16835708322106,0.004188555,0.004188555
109.0,11881.0,0,0,11881.0,0,21.207009511932874,0.003971548,0.003971548
110.0,12100.0,0,0,12100.0,0,21.227197684431015,0.004190775,0.004190775
111.0,12321.0,0,0,12321.0,0,21.25485634990898,0.004233598,0.004233598
112.0,12544.0,0,0,12544.0,0,21.27051290511058,0.0041702250000000005,0.0041702250000000005
113.0,12769.0,0,0,12769.0,0,21.312982107733134,0.00437984,0.00437984
114.0,12996.0,0,0,12996.0,0,21.329692908608536,0.005140049000000001,0.005140049000000001
115.0,13225.0,0,0,13225.0,0,21.37022117361207,0.004411789,0.004411789
116.0,13456.0,0,0,13456.0,0,21.380788772116553,0.00425234,0.00425234
117.0,13689.0,0,0,13689.0,0,21.425709268839288,0.004876190000000001,0.004876190000000001
118.0,13924.0,0,0,13924.0,0,21.436312139341865,0.004306702,0.004306702
119.0,14161.0,0,0,14161.0,0,21.47293534051071,0.004364682,0.004364682
120.0,14400.0,0,0,14400.0,0,21.484909505108973,0.004469788000000001,0.004469788000000001
