N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,14.552330867950378,0.0006314690000000001,0.0006314690000000001
3.0,9.0,0,0,9.0,0,14.913291078584274,0.0006484720000000001,0.0006484720000000001
4.0,16.0,0,0,16.0,0,15.401864308911478,0.000634392,0.000634392
5.0,25.0,0,0,25.0,0,15.751301709370464,0.000717464,0.000717464
6.0,36.0,0,0,36.0,0,15.715601038847943,0.000650063,0.000650063
7.0,49.0,0,0,49.0,0,16.16568081054998,0.000658199,0.000658199
8.0,64.0,0,0,64.0,0,16.463399506304203,0.0007223650000000001,0.0007223650000000001
9.0,81.0,0,0,81.0,0,16.51960075081569,0.000750119,0.000750119
10.0,100.0,0,0,100.0,0,16.614104560394384,0.001087083,0.001087083
11.0,121.0,0,0,121.0,0,16.814033655678113,0.00074041,0.00074041
12.0,144.0,0,0,144.0,0,16.87484855301315,0.0007716680000000001,0.0007716680000000001
13.0,169.0,0,0,169.0,0,16.983943520332932,0.0007606710000000001,0.0007606710000000001
14.0,196.0,0,0,196.0,0,17.0938971562027,0.0008021220000000001,0.0008021220000000001
15.0,225.0,0,0,225.0,0,17.15725873231906,0.000804668,0.000804668
16.0,256.0,0,0,256.0,0,17.259133750713623,0.000851238,0.000851238
17.0,289.0,0,0,289.0,0,17.25648872795562,0.0008752670000000001,0.0008752670000000001
18.0,324.0,0,0,324.0,0,17.41356667850026,0.000864659,0.000864659
19.0,361.0,0,0,361.0,0,17.475680607227943,0.0008763060000000001,0.0008763060000000001
20.0,400.0,0,0,400.0,0,17.55848017606233,0.0008872550000000001,0.0008872550000000001
21.0,441.0,0,0,441.0,0,17.599376821316653,0.000908809,0.000908809
22.0,484.0,0,0,484.0,0,17.676693163320042,0.000928028,0.000928028
23.0,529.0,0,0,529.0,0,17.734091140338993,0.000902881,0.000902881
24.0,576.0,0,0,576.0,0,17.77887125580621,0.000927891,0.000927891
25.0,625.0,0,0,625.0,0,17.962502429289092,0.001061371,0.001061371
26.0,676.0,0,0,676.0,0,18.023423517475244,0.000981578,0.000981578
27.0,729.0,0,0,729.0,0,17.988325166746215,0.001009052,0.001009052
28.0,784.0,0,0,784.0,0,18.14018301739676,0.001072934,0.001072934
29.0,841.0,0,0,841.0,0,18.12037060488646,0.0009742870000000001,0.0009742870000000001
30.0,900.0,0,0,900.0,0,18.17729315386524,0.000982926,0.000982926
31.0,961.0,0,0,961.0,0,18.307726310060886,0.001446954,0.001446954
32.0,1024.0,0,0,1024.0,0,18.339778147118658,0.00217071,0.00217071
33.0,1089.0,0,0,1089.0,0,18.421095953112783,0.0023017800000000002,0.0023017800000000002
34.0,1156.0,0,0,1156.0,0,18.404790244450858,0.001402505,0.001402505
35.0,1225.0,0,0,1225.0,0,18.538112849175196,0.002392174,0.002392174
36.0,1296.0,0,0,1296.0,0,18.581185293613018,0.0023567650000000002,0.0023567650000000002
37.0,1369.0,0,0,1369.0,0,18.65264053765244,0.0024439830000000003,0.0024439830000000003
38.0,1444.0,0,0,1444.0,0,18.692537087998552,0.0018176770000000002,0.0018176770000000002
39.0,1521.0,0,0,1521.0,0,18.73314162364498,0.0016232120000000002,0.0016232120000000002
40.0,1600.0,0,0,1600.0,0,18.813670081568667,0.0024548260000000002,0.0024548260000000002
41.0,1681.0,0,0,1681.0,0,18.82941361415353,0.001530548,0.001530548
42.0,1764.0,0,0,1764.0,0,18.836134729229272,0.001542828,0.001542828
43.0,1849.0,0,0,1849.0,0,18.946203196579024,0.0015220040000000002,0.0015220040000000002
44.0,1936.0,0,0,1936.0,0,18.961625268364333,0.0016516990000000002,0.0016516990000000002
45.0,2025.0,0,0,2025.0,0,19.017765730880033,0.0015272710000000002,0.0015272710000000002
46.0,2116.0,0,0,2116.0,0,19.062247649179923,0.0015566760000000001,0.0015566760000000001
47.0,2209.0,0,0,2209.0,0,19.124972367112655,0.0015557190000000001,0.0015557190000000001
48.0,2304.0,0,0,2304.0,0,19.13265046264162,0.0015562660000000002,0.0015562660000000002
49.0,2401.0,0,0,2401.0,0,19.217354330582143,0.0016288230000000002,0.0016288230000000002
50.0,2500.0,0,0,2500.0,0,19.272952861450754,0.001602106,0.001602106
51.0,2601.0,0,0,2601.0,0,19.34809953333176,0.001638074,0.001638074
52.0,2704.0,0,0,2704.0,0,19.339099540775447,0.001673512,0.001673512
53.0,2809.0,0,0,2809.0,0,19.368391914740247,0.0019669320000000002,0.0019669320000000002
54.0,2916.0,0,0,2916.0,0,19.450649627248225,0.0016469770000000002,0.0016469770000000002
55.0,3025.0,0,0,3025.0,0,19.466239487992624,0.001725338,0.001725338
56.0,3136.0,0,0,3136.0,0,19.488033844821093,0.001969658,0.001969658
57.0,3249.0,0,0,3249.0,0,19.523495327402696,0.0020269520000000003,0.0020269520000000003
58.0,3364.0,0,0,3364.0,0,19.594077248348178,0.0018279390000000002,0.0018279390000000002
59.0,3481.0,0,0,3481.0,0,19.574648746108867,0.001675723,0.001675723
60.0,3600.0,0,0,3600.0,0,19.66495197356696,0.001803113,0.001803113
61.0,3721.0,0,0,3721.0,0,19.631686591520488,0.0018625480000000001,0.0018625480000000001
62.0,3844.0,0,0,3844.0,0,19.733583297934228,0.0018354010000000002,0.0018354010000000002
63.0,3969.0,0,0,3969.0,0,19.717844948075374,0.0018015890000000001,0.0018015890000000001
