N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.22314821928878,0.001024848,0.001024848
3.0,9.0,0,0,9.0,0,12.36599133101173,0.000637339,0.000637339
4.0,16.0,0,0,16.0,0,12.555876257486931,0.0006439950000000001,0.0006439950000000001
5.0,25.0,0,0,25.0,0,12.72709838857719,0.0007061670000000001,0.0007061670000000001
6.0,36.0,0,0,36.0,0,12.94126515771065,0.000655801,0.000655801
7.0,49.0,0,0,49.0,0,13.139393945042592,0.0006695200000000001,0.0006695200000000001
8.0,64.0,0,0,64.0,0,13.357695536729752,0.000729046,0.000729046
9.0,81.0,0,0,81.0,0,13.625755789559124,0.0007703450000000001,0.0007703450000000001
10.0,100.0,0,0,100.0,0,13.850384974043102,0.0007817560000000001,0.0007817560000000001
11.0,121.0,0,0,121.0,0,13.978338584360056,0.0008731040000000001,0.0008731040000000001
12.0,144.0,0,0,144.0,0,14.147383378538184,0.000846182,0.000846182
13.0,169.0,0,0,169.0,0,14.300796463232547,0.0008558420000000001,0.0008558420000000001
14.0,196.0,0,0,196.0,0,14.54050473571657,0.000916232,0.000916232
15.0,225.0,0,0,225.0,0,14.738168234813163,0.000814885,0.000814885
16.0,256.0,0,0,256.0,0,14.886102621924188,0.000838161,0.000838161
17.0,289.0,0,0,289.0,0,15.086624515563546,0.0009193270000000001,0.0009193270000000001
18.0,324.0,0,0,324.0,0,15.171593531921523,0.0008994020000000001,0.0008994020000000001
19.0,361.0,0,0,361.0,0,15.319059023612965,0.0009432380000000001,0.0009432380000000001
20.0,400.0,0,0,400.0,0,15.418926791669346,0.0009656510000000001,0.0009656510000000001
21.0,441.0,0,0,441.0,0,15.51088115723026,0.000956841,0.000956841
22.0,484.0,0,0,484.0,0,15.57382303244138,0.0009681440000000001,0.0009681440000000001
23.0,529.0,0,0,529.0,0,15.686969589802626,0.000999139,0.000999139
24.0,576.0,0,0,576.0,0,15.747644689067293,0.001001268,0.001001268
25.0,625.0,0,0,625.0,0,15.820016991472805,0.001007282,0.001007282
26.0,676.0,0,0,676.0,0,15.93762380141082,0.001024395,0.001024395
27.0,729.0,0,0,729.0,0,15.999477545999849,0.001028346,0.001028346
28.0,784.0,0,0,784.0,0,16.07151684955514,0.001143232,0.001143232
29.0,841.0,0,0,841.0,0,16.149453572186562,0.001120085,0.001120085
30.0,900.0,0,0,900.0,0,16.212060293307328,0.001066249,0.001066249
31.0,961.0,0,0,961.0,0,16.27443166740637,0.001060699,0.001060699
32.0,1024.0,0,0,1024.0,0,16.356009160402895,0.001499288,0.001499288
33.0,1089.0,0,0,1089.0,0,16.391491966837055,0.0015550400000000002,0.0015550400000000002
34.0,1156.0,0,0,1156.0,0,16.486540990913415,0.001519497,0.001519497
35.0,1225.0,0,0,1225.0,0,16.531581946589906,0.0015200760000000002,0.0015200760000000002
36.0,1296.0,0,0,1296.0,0,16.60091405106585,0.0015280550000000002,0.0015280550000000002
37.0,1369.0,0,0,1369.0,0,16.656887985852087,0.0015465790000000002,0.0015465790000000002
38.0,1444.0,0,0,1444.0,0,16.719156039583225,0.001544688,0.001544688
39.0,1521.0,0,0,1521.0,0,16.781425334677714,0.001565407,0.001565407
40.0,1600.0,0,0,1600.0,0,16.835727824403225,0.001574256,0.001574256
41.0,1681.0,0,0,1681.0,0,16.883894704711683,0.001574726,0.001574726
42.0,1764.0,0,0,1764.0,0,16.94935995073646,0.0016370820000000002,0.0016370820000000002
43.0,1849.0,0,0,1849.0,0,16.994176674693662,0.001659799,0.001659799
44.0,1936.0,0,0,1936.0,0,17.04508947218708,0.0016591790000000002,0.0016591790000000002
45.0,2025.0,0,0,2025.0,0,17.09753821723576,0.0017101210000000002,0.0017101210000000002
46.0,2116.0,0,0,2116.0,0,17.137246559458415,0.0017008420000000002,0.0017008420000000002
47.0,2209.0,0,0,2209.0,0,17.168512113927694,0.001707331,0.001707331
48.0,2304.0,0,0,2304.0,0,17.226773497111434,0.002092051,0.002092051
49.0,2401.0,0,0,2401.0,0,17.26180708379166,0.0017895270000000002,0.0017895270000000002
50.0,2500.0,0,0,2500.0,0,17.303602088476687,0.001881674,0.001881674
51.0,2601.0,0,0,2601.0,0,17.346724409351523,0.001765265,0.001765265
52.0,2704.0,0,0,2704.0,0,17.38166204387316,0.001827999,0.001827999
53.0,2809.0,0,0,2809.0,0,17.424656054444824,0.0018548500000000001,0.0018548500000000001
54.0,2916.0,0,0,2916.0,0,17.454720134600525,0.001774883,0.001774883
55.0,3025.0,0,0,3025.0,0,17.48994242655016,0.001790574,0.001790574
56.0,3136.0,0,0,3136.0,0,17.535655283791478,0.001816405,0.001816405
57.0,3249.0,0,0,3249.0,0,17.56898302381931,0.0018212030000000002,0.0018212030000000002
58.0,3364.0,0,0,3364.0,0,17.611833686884577,0.0019154550000000002,0.0019154550000000002
59.0,3481.0,0,0,3481.0,0,17.652375049529287,0.0019012410000000001,0.0019012410000000001
60.0,3600.0,0,0,3600.0,0,17.688881381517604,0.0019706380000000003,0.0019706380000000003
61.0,3721.0,0,0,3721.0,0,17.725002931970064,0.001967478,0.001967478
62.0,3844.0,0,0,3844.0,0,17.760980089209387,0.001933082,0.001933082
63.0,3969.0,0,0,3969.0,0,17.792140621621446,0.00195464,0.00195464
64.0,4096.0,0,0,4096.0,0,17.83010231698943,0.0020007790000000003,0.0020007790000000003
65.0,4225.0,0,0,4225.0,0,17.846111010769626,0.0028119100000000004,0.0028119100000000004
66.0,4356.0,0,0,4356.0,0,17.88076986785921,0.0025683670000000002,0.0025683670000000002
67.0,4489.0,0,0,4489.0,0,17.919339368559484,0.002910287,0.002910287
68.0,4624.0,0,0,4624.0,0,17.953812704984106,0.002659471,0.002659471
69.0,4761.0,0,0,4761.0,0,17.994701935974334,0.0025983110000000003,0.0025983110000000003
70.0,4900.0,0,0,4900.0,0,18.01907662264601,0.002500454,0.002500454
71.0,5041.0,0,0,5041.0,0,18.060546004516958,0.002629582,0.002629582
72.0,5184.0,0,0,5184.0,0,18.07544701601162,0.002630284,0.002630284
73.0,5329.0,0,0,5329.0,0,18.10377228566878,0.0025814320000000003,0.0025814320000000003
74.0,5476.0,0,0,5476.0,0,18.13858473457493,0.002743208,0.002743208
75.0,5625.0,0,0,5625.0,0,18.165951993622635,0.0026601000000000003,0.0026601000000000003
76.0,5776.0,0,0,5776.0,0,18.193308427657623,0.002678273,0.002678273
77.0,5929.0,0,0,5929.0,0,18.21471025805527,0.0026652850000000003,0.0026652850000000003
78.0,6084.0,0,0,6084.0,0,18.25192676222349,0.0027293810000000003,0.0027293810000000003
79.0,6241.0,0,0,6241.0,0,18.27839282548632,0.002702725,0.002702725
80.0,6400.0,0,0,6400.0,0,18.312816376541072,0.002716782,0.002716782
81.0,6561.0,0,0,6561.0,0,18.33792485048765,0.0027342070000000002,0.0027342070000000002
82.0,6724.0,0,0,6724.0,0,18.352798050307662,0.003136467,0.003136467
83.0,6889.0,0,0,6889.0,0,18.384903857798307,0.002852724,0.002852724
84.0,7056.0,0,0,7056.0,0,18.392042215049482,0.002785449,0.002785449
85.0,7225.0,0,0,7225.0,0,18.428812368038475,0.002812513,0.002812513
86.0,7396.0,0,0,7396.0,0,18.44894374913277,0.002822394,0.002822394
87.0,7569.0,0,0,7569.0,0,18.480799604814155,0.0028680330000000003,0.0028680330000000003
88.0,7744.0,0,0,7744.0,0,18.504443544098766,0.002842729,0.002842729
89.0,7921.0,0,0,7921.0,0,18.52619099278771,0.002922267,0.002922267
90.0,8100.0,0,0,8100.0,0,18.55877246660671,0.0030129090000000002,0.0030129090000000002
91.0,8281.0,0,0,8281.0,0,18.577975829421632,0.003056043,0.003056043
92.0,8464.0,0,0,8464.0,0,18.610995439699245,0.0029876300000000002,0.0029876300000000002
93.0,8649.0,0,0,8649.0,0,18.6381318609821,0.0037954190000000004,0.0037954190000000004
94.0,8836.0,0,0,8836.0,0,18.663793969168434,0.003000701,0.003000701
95.0,9025.0,0,0,9025.0,0,18.686897938694187,0.002944294,0.002944294
96.0,9216.0,0,0,9216.0,0,18.708307011207694,0.00304657,0.00304657
97.0,9409.0,0,0,9409.0,0,18.734339747458673,0.003720268,0.003720268
98.0,9604.0,0,0,9604.0,0,18.76684420382325,0.007902807000000001,0.007902807000000001
99.0,9801.0,0,0,9801.0,0,18.794744261809416,0.007100129,0.007100129
100.0,10000.0,0,0,10000.0,0,18.81320473129572,0.007867454000000001,0.007867454000000001
101.0,10201.0,0,0,10201.0,0,18.840853542299868,0.007489445000000001,0.007489445000000001
102.0,10404.0,0,0,10404.0,0,18.856287976868508,0.008494515000000001,0.008494515000000001
103.0,10609.0,0,0,10609.0,0,18.876431194444322,0.007745345000000001,0.007745345000000001
104.0,10816.0,0,0,10816.0,0,18.89954327504585,0.010468684,0.010468684
105.0,11025.0,0,0,11025.0,0,18.924706288824158,0.008847802,0.008847802
106.0,11236.0,0,0,11236.0,0,18.944895695671804,0.007416752,0.007416752
107.0,11449.0,0,0,11449.0,0,18.96373490277504,0.005134827000000001,0.005134827000000001
108.0,11664.0,0,0,11664.0,0,18.986810175195497,0.007913327000000001,0.007913327000000001
109.0,11881.0,0,0,11881.0,0,19.01557197675851,0.0037726620000000004,0.0037726620000000004
110.0,12100.0,0,0,12100.0,0,19.027873819265363,0.0038092290000000003,0.0038092290000000003
111.0,12321.0,0,0,12321.0,0,19.057226191453843,0.00422564,0.00422564
112.0,12544.0,0,0,12544.0,0,19.07502549140649,0.003880693,0.003880693
113.0,12769.0,0,0,12769.0,0,19.091448176387388,0.007633016,0.007633016
114.0,12996.0,0,0,12996.0,0,19.109640964066937,0.005445837,0.005445837
115.0,13225.0,0,0,13225.0,0,19.127973812991335,0.004314122,0.004314122
116.0,13456.0,0,0,13456.0,0,19.157051820620463,0.003840707,0.003840707
117.0,13689.0,0,0,13689.0,0,19.176614817084136,0.0038824970000000004,0.0038824970000000004
118.0,13924.0,0,0,13924.0,0,19.19356634615337,0.003912695,0.003912695
119.0,14161.0,0,0,14161.0,0,19.214991940827947,0.003909767000000001,0.003909767000000001
120.0,14400.0,0,0,14400.0,0,19.234830489347715,0.004133284,0.004133284
121.0,14641.0,0,0,14641.0,0,19.257817148760545,0.003945065,0.003945065
122.0,14884.0,0,0,14884.0,0,19.273365478972273,0.004446793,0.004446793
123.0,15129.0,0,0,15129.0,0,19.29754937835031,0.0040485140000000005,0.0040485140000000005
124.0,15376.0,0,0,15376.0,0,19.310703928059034,0.004013658000000001,0.004013658000000001
125.0,15625.0,0,0,15625.0,0,19.338083250191684,0.004187968,0.004187968
126.0,15876.0,0,0,15876.0,0,19.353700815881623,0.008618593,0.008618593
127.0,16129.0,0,0,16129.0,0,19.370311966174285,0.007125213,0.007125213
128.0,16384.0,0,0,16384.0,0,19.39100147520797,0.008600003,0.008600003
129.0,16641.0,0,0,16641.0,0,19.408303226467194,0.007531843000000001,0.007531843000000001
130.0,16900.0,0,0,16900.0,0,19.427482532529687,0.011008154000000001,0.011008154000000001
131.0,17161.0,0,0,17161.0,0,19.446485908323197,0.008735227,0.008735227
132.0,17424.0,0,0,17424.0,0,19.467249725743823,0.011525085000000001,0.011525085000000001
133.0,17689.0,0,0,17689.0,0,19.486552276331384,0.007469375,0.007469375
134.0,17956.0,0,0,17956.0,0,19.507432811490407,0.008092867,0.008092867
135.0,18225.0,0,0,18225.0,0,19.518056362490498,0.004645865,0.004645865
136.0,18496.0,0,0,18496.0,0,19.532985622812596,0.0045763850000000005,0.0045763850000000005
137.0,18769.0,0,0,18769.0,0,19.560901192155338,0.004966784,0.004966784
138.0,19044.0,0,0,19044.0,0,19.580485545899574,0.004547117000000001,0.004547117000000001
139.0,19321.0,0,0,19321.0,0,19.601861389317868,0.004982668,0.004982668
140.0,19600.0,0,0,19600.0,0,19.615303328381934,0.010972861,0.010972861
141.0,19881.0,0,0,19881.0,0,19.633642289222696,0.005117138,0.005117138
142.0,20164.0,0,0,20164.0,0,19.650686882287257,0.004803039,0.004803039
143.0,20449.0,0,0,20449.0,0,19.673480298502763,0.004895498000000001,0.004895498000000001
144.0,20736.0,0,0,20736.0,0,19.68644688311827,0.004841106,0.004841106
145.0,21025.0,0,0,21025.0,0,19.713311511588476,0.004781148000000001,0.004781148000000001
146.0,21316.0,0,0,21316.0,0,19.723987615263002,0.004677588,0.004677588
147.0,21609.0,0,0,21609.0,0,19.745930421980802,0.004837015,0.004837015
148.0,21904.0,0,0,21904.0,0,19.763988502141867,0.0048725850000000005,0.0048725850000000005
149.0,22201.0,0,0,22201.0,0,19.7787400615429,0.005321977,0.005321977
150.0,22500.0,0,0,22500.0,0,19.798083460028437,0.004979857000000001,0.004979857000000001
151.0,22801.0,0,0,22801.0,0,19.82081271582945,0.014183202,0.014183202
152.0,23104.0,0,0,23104.0,0,19.840984272411102,0.007987111,0.007987111
153.0,23409.0,0,0,23409.0,0,19.846942927459313,0.008426949000000001,0.008426949000000001
154.0,23716.0,0,0,23716.0,0,19.86884283646954,0.006269308,0.006269308
155.0,24025.0,0,0,24025.0,0,19.88850751482712,0.007365924,0.007365924
156.0,24336.0,0,0,24336.0,0,19.90333999416022,0.008309744,0.008309744
157.0,24649.0,0,0,24649.0,0,19.924504395204792,0.006250061,0.006250061
158.0,24964.0,0,0,24964.0,0,19.93845909349811,0.0082448,0.0082448
159.0,25281.0,0,0,25281.0,0,19.958310062230492,0.007780472,0.007780472
160.0,25600.0,0,0,25600.0,0,19.973615240631037,0.007303971,0.007303971
161.0,25921.0,0,0,25921.0,0,19.992413240628256,0.008141592000000001,0.008141592000000001
162.0,26244.0,0,0,26244.0,0,20.010547675407317,0.006178367000000001,0.006178367000000001
163.0,26569.0,0,0,26569.0,0,20.0301850571943,0.006480301000000001,0.006480301000000001
164.0,26896.0,0,0,26896.0,0,20.049187921836076,0.006048361,0.006048361
165.0,27225.0,0,0,27225.0,0,20.074078939865476,0.0061924300000000005,0.0061924300000000005
166.0,27556.0,0,0,27556.0,0,20.082328467049333,0.005903861000000001,0.005903861000000001
167.0,27889.0,0,0,27889.0,0,20.096025483623347,0.006521514000000001,0.006521514000000001
168.0,28224.0,0,0,28224.0,0,20.11757564141937,0.006160536,0.006160536
169.0,28561.0,0,0,28561.0,0,20.13336430377638,0.005914842,0.005914842
170.0,28900.0,0,0,28900.0,0,20.15423004936118,0.006258077000000001,0.006258077000000001
171.0,29241.0,0,0,29241.0,0,20.173359999344115,0.006805037000000001,0.006805037000000001
172.0,29584.0,0,0,29584.0,0,20.187470082108202,0.006329722,0.006329722
