N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.264437703487953,0.000506087,0.000506087
3.0,9.0,0,0,9.0,0,12.341987911677538,0.0005052170000000001,0.0005052170000000001
4.0,16.0,0,0,16.0,0,12.415725042813193,0.000626586,0.000626586
5.0,25.0,0,0,25.0,0,12.70614150471304,0.000501308,0.000501308
6.0,36.0,0,0,36.0,0,12.79239062591823,0.000473418,0.000473418
7.0,49.0,0,0,49.0,0,12.832689656310501,0.000490186,0.000490186
8.0,64.0,0,0,64.0,0,13.093759342179787,0.00050458,0.00050458
9.0,81.0,0,0,81.0,0,13.157236756488725,0.0005210600000000001,0.0005210600000000001
10.0,100.0,0,0,100.0,0,13.398161134563955,0.0005916770000000001,0.0005916770000000001
11.0,121.0,0,0,121.0,0,13.5399163471692,0.0007041080000000001,0.0007041080000000001
12.0,144.0,0,0,144.0,0,13.689685880358331,0.00062025,0.00062025
13.0,169.0,0,0,169.0,0,13.880880925315724,0.000701997,0.000701997
14.0,196.0,0,0,196.0,0,13.907608356699836,0.000579844,0.000579844
15.0,225.0,0,0,225.0,0,14.099197922622155,0.000567683,0.000567683
16.0,256.0,0,0,256.0,0,14.180520389198684,0.000652504,0.000652504
17.0,289.0,0,0,289.0,0,14.276041595887154,0.000596526,0.000596526
18.0,324.0,0,0,324.0,0,14.442275148641775,0.000605402,0.000605402
19.0,361.0,0,0,361.0,0,14.492870881273594,0.0006465700000000001,0.0006465700000000001
20.0,400.0,0,0,400.0,0,14.443112151114939,0.00059708,0.00059708
21.0,441.0,0,0,441.0,0,14.663121514112813,0.0006249080000000001,0.0006249080000000001
22.0,484.0,0,0,484.0,0,14.720664996455914,0.000631048,0.000631048
23.0,529.0,0,0,529.0,0,14.884026895231974,0.0006474170000000001,0.0006474170000000001
24.0,576.0,0,0,576.0,0,14.941811719553598,0.0006524450000000001,0.0006524450000000001
25.0,625.0,0,0,625.0,0,15.068344568406808,0.0006564800000000001,0.0006564800000000001
26.0,676.0,0,0,676.0,0,15.164547663236071,0.000652227,0.000652227
27.0,729.0,0,0,729.0,0,15.130007469517164,0.000717548,0.000717548
