N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.279126473352349,0.0005974730000000001,0.0005974730000000001
3.0,9.0,0,0,9.0,0,12.33912251769971,0.000594667,0.000594667
4.0,16.0,0,0,16.0,0,12.525166234937195,0.000684349,0.000684349
5.0,25.0,0,0,25.0,0,12.81062302899892,0.00067716,0.00067716
6.0,36.0,0,0,36.0,0,12.940138550710243,0.0006577600000000001,0.0006577600000000001
7.0,49.0,0,0,49.0,0,13.078342364252325,0.0006765110000000001,0.0006765110000000001
8.0,64.0,0,0,64.0,0,13.381475719580386,0.000739726,0.000739726
9.0,81.0,0,0,81.0,0,13.501884691582319,0.000756358,0.000756358
10.0,100.0,0,0,100.0,0,13.75540577586703,0.000733516,0.000733516
11.0,121.0,0,0,121.0,0,13.951453766515913,0.0007179720000000001,0.0007179720000000001
12.0,144.0,0,0,144.0,0,14.057755030154235,0.001077999,0.001077999
13.0,169.0,0,0,169.0,0,14.321730351758365,0.000770678,0.000770678
14.0,196.0,0,0,196.0,0,14.417256792451944,0.0008251850000000001,0.0008251850000000001
15.0,225.0,0,0,225.0,0,14.676096312405711,0.0008559520000000001,0.0008559520000000001
16.0,256.0,0,0,256.0,0,14.739377427288339,0.0008534160000000001,0.0008534160000000001
17.0,289.0,0,0,289.0,0,14.918895478730349,0.0008648130000000001,0.0008648130000000001
18.0,324.0,0,0,324.0,0,15.034928695686855,0.000865669,0.000865669
19.0,361.0,0,0,361.0,0,15.180354975372696,0.0011557800000000001,0.0011557800000000001
20.0,400.0,0,0,400.0,0,15.179551084577467,0.00089548,0.00089548
21.0,441.0,0,0,441.0,0,15.363540581786225,0.0009069420000000001,0.0009069420000000001
22.0,484.0,0,0,484.0,0,15.416537394742779,0.0009300170000000001,0.0009300170000000001
23.0,529.0,0,0,529.0,0,15.571699380965608,0.000927105,0.000927105
24.0,576.0,0,0,576.0,0,15.65207619523942,0.000931905,0.000931905
25.0,625.0,0,0,625.0,0,15.737623892959416,0.000993461,0.000993461
26.0,676.0,0,0,676.0,0,15.861535835060836,0.0014874620000000002,0.0014874620000000002
27.0,729.0,0,0,729.0,0,15.861664979234824,0.001000257,0.001000257
28.0,784.0,0,0,784.0,0,15.954391834133244,0.0010608260000000002,0.0010608260000000002
29.0,841.0,0,0,841.0,0,16.033601427222703,0.001036589,0.001036589
30.0,900.0,0,0,900.0,0,16.124132970478794,0.000981406,0.000981406
31.0,961.0,0,0,961.0,0,16.13960617505608,0.000994494,0.000994494
32.0,1024.0,0,0,1024.0,0,16.27805956532875,0.001066462,0.001066462
33.0,1089.0,0,0,1089.0,0,16.300932363675425,0.0013188470000000002,0.0013188470000000002
34.0,1156.0,0,0,1156.0,0,16.387272700292005,0.001392615,0.001392615
35.0,1225.0,0,0,1225.0,0,16.417446696427938,0.001394546,0.001394546
36.0,1296.0,0,0,1296.0,0,16.469388423110463,0.0015403320000000002,0.0015403320000000002
37.0,1369.0,0,0,1369.0,0,16.54487866602444,0.001416389,0.001416389
38.0,1444.0,0,0,1444.0,0,16.58807985200642,0.001399419,0.001399419
39.0,1521.0,0,0,1521.0,0,16.66872519668566,0.001439972,0.001439972
40.0,1600.0,0,0,1600.0,0,16.728962650692,0.001438671,0.001438671
41.0,1681.0,0,0,1681.0,0,16.764788512601903,0.0014720150000000001,0.0014720150000000001
42.0,1764.0,0,0,1764.0,0,16.840795175320288,0.001477802,0.001477802
43.0,1849.0,0,0,1849.0,0,16.86599810082761,0.001488273,0.001488273
44.0,1936.0,0,0,1936.0,0,16.930483034636488,0.0015035430000000002,0.0015035430000000002
45.0,2025.0,0,0,2025.0,0,16.95699211925038,0.002074905,0.002074905
46.0,2116.0,0,0,2116.0,0,16.969628746052418,0.0016126460000000001,0.0016126460000000001
47.0,2209.0,0,0,2209.0,0,17.021178029071265,0.0015547620000000001,0.0015547620000000001
48.0,2304.0,0,0,2304.0,0,17.06946409214231,0.00154476,0.00154476
49.0,2401.0,0,0,2401.0,0,17.144611167605103,0.0016179690000000001,0.0016179690000000001
50.0,2500.0,0,0,2500.0,0,17.196130099090862,0.0015754640000000002,0.0015754640000000002
51.0,2601.0,0,0,2601.0,0,17.248615687607142,0.0016523000000000002,0.0016523000000000002
52.0,2704.0,0,0,2704.0,0,17.269419378349777,0.0016523150000000001,0.0016523150000000001
53.0,2809.0,0,0,2809.0,0,17.314132731552906,0.001682644,0.001682644
54.0,2916.0,0,0,2916.0,0,17.325243434235258,0.00162663,0.00162663
55.0,3025.0,0,0,3025.0,0,17.36510544939188,0.0016987810000000001,0.0016987810000000001
56.0,3136.0,0,0,3136.0,0,17.409266877309648,0.0016377870000000001,0.0016377870000000001
57.0,3249.0,0,0,3249.0,0,17.43544663004434,0.0018716960000000002,0.0018716960000000002
58.0,3364.0,0,0,3364.0,0,17.50133482550977,0.001781999,0.001781999
59.0,3481.0,0,0,3481.0,0,17.540018763578725,0.001659277,0.001659277
60.0,3600.0,0,0,3600.0,0,17.575305647692716,0.001920669,0.001920669
61.0,3721.0,0,0,3721.0,0,17.601771640975517,0.0018086780000000002,0.0018086780000000002
62.0,3844.0,0,0,3844.0,0,17.638998743763736,0.002025724,0.002025724
63.0,3969.0,0,0,3969.0,0,17.68033337778794,0.002813767,0.002813767
64.0,4096.0,0,0,4096.0,0,17.707879178607175,0.00232545,0.00232545
65.0,4225.0,0,0,4225.0,0,17.7128506513686,0.002760652,0.002760652
66.0,4356.0,0,0,4356.0,0,17.76085207684494,0.002228662,0.002228662
67.0,4489.0,0,0,4489.0,0,17.80034383159077,0.0022028150000000003,0.0022028150000000003
68.0,4624.0,0,0,4624.0,0,17.833824347789477,0.0021947290000000003,0.0021947290000000003
69.0,4761.0,0,0,4761.0,0,17.87346136040831,0.002278373,0.002278373
70.0,4900.0,0,0,4900.0,0,17.88100028825876,0.002239961,0.002239961
71.0,5041.0,0,0,5041.0,0,17.950583388700856,0.002220847,0.002220847
72.0,5184.0,0,0,5184.0,0,17.94504911047814,0.002254836,0.002254836
73.0,5329.0,0,0,5329.0,0,17.989944706442106,0.0023408920000000002,0.0023408920000000002
74.0,5476.0,0,0,5476.0,0,18.005529941855063,0.002276808,0.002276808
75.0,5625.0,0,0,5625.0,0,18.03602303571148,0.0022645810000000003,0.0022645810000000003
76.0,5776.0,0,0,5776.0,0,18.087303559675618,0.00228299,0.00228299
77.0,5929.0,0,0,5929.0,0,18.094699821074766,0.002379244,0.002379244
78.0,6084.0,0,0,6084.0,0,18.148566170398315,0.0025188740000000004,0.0025188740000000004
79.0,6241.0,0,0,6241.0,0,18.165523013954544,0.0024036730000000003,0.0024036730000000003
80.0,6400.0,0,0,6400.0,0,18.206364766128736,0.002419295,0.002419295
81.0,6561.0,0,0,6561.0,0,18.22520463987084,0.0033293410000000004,0.0033293410000000004
82.0,6724.0,0,0,6724.0,0,18.216354244144604,0.002489353,0.002489353
83.0,6889.0,0,0,6889.0,0,18.274744177582516,0.002483014,0.002483014
