N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.622772171046403,0.000527074,0.000527074
3.0,9.0,0,0,9.0,0,12.74464481002903,0.0006128080000000001,0.0006128080000000001
4.0,16.0,0,0,16.0,0,13.38408072070287,0.000660739,0.000660739
5.0,25.0,0,0,25.0,0,13.566911933139265,0.0007054930000000001,0.0007054930000000001
6.0,36.0,0,0,36.0,0,13.995203974841592,0.000697151,0.000697151
7.0,49.0,0,0,49.0,0,14.192720959680143,0.001070339,0.001070339
8.0,64.0,0,0,64.0,0,14.331520454286931,0.0007615520000000001,0.0007615520000000001
9.0,81.0,0,0,81.0,0,14.512377098730695,0.0008098230000000001,0.0008098230000000001
10.0,100.0,0,0,100.0,0,14.590615375324568,0.0007710070000000001,0.0007710070000000001
11.0,121.0,0,0,121.0,0,14.67663292311739,0.000819065,0.000819065
12.0,144.0,0,0,144.0,0,14.756167438386171,0.0007989770000000001,0.0007989770000000001
13.0,169.0,0,0,169.0,0,14.801588871634292,0.0008869710000000001,0.0008869710000000001
14.0,196.0,0,0,196.0,0,14.897250575259546,0.001467041,0.001467041
15.0,225.0,0,0,225.0,0,14.976022622347374,0.000850493,0.000850493
16.0,256.0,0,0,256.0,0,15.057494449372628,0.00085232,0.00085232
17.0,289.0,0,0,289.0,0,15.187412401313567,0.000908644,0.000908644
18.0,324.0,0,0,324.0,0,15.210001321107393,0.000887816,0.000887816
19.0,361.0,0,0,361.0,0,15.416650864178756,0.0009302350000000001,0.0009302350000000001
20.0,400.0,0,0,400.0,0,15.479360081575063,0.001681303,0.001681303
21.0,441.0,0,0,441.0,0,15.555104107476332,0.0009568080000000001,0.0009568080000000001
22.0,484.0,0,0,484.0,0,15.59402123272008,0.0009799960000000001,0.0009799960000000001
23.0,529.0,0,0,529.0,0,15.689690946518205,0.0009860930000000002,0.0009860930000000002
24.0,576.0,0,0,576.0,0,15.75989733498929,0.000990734,0.000990734
25.0,625.0,0,0,625.0,0,15.80285553415807,0.000996967,0.000996967
26.0,676.0,0,0,676.0,0,15.901635644214572,0.001096242,0.001096242
27.0,729.0,0,0,729.0,0,15.9906712800683,0.001033448,0.001033448
28.0,784.0,0,0,784.0,0,16.03441935699459,0.001037896,0.001037896
29.0,841.0,0,0,841.0,0,16.070142354220586,0.001085052,0.001085052
30.0,900.0,0,0,900.0,0,16.14169118575922,0.0013810060000000002,0.0013810060000000002
31.0,961.0,0,0,961.0,0,16.197719019965238,0.0011177890000000001,0.0011177890000000001
32.0,1024.0,0,0,1024.0,0,16.227365914972612,0.0010773150000000001,0.0010773150000000001
33.0,1089.0,0,0,1089.0,0,16.286611917697492,0.001477192,0.001477192
34.0,1156.0,0,0,1156.0,0,16.34113418825677,0.0015004010000000002,0.0015004010000000002
35.0,1225.0,0,0,1225.0,0,16.382416004821597,0.001499508,0.001499508
36.0,1296.0,0,0,1296.0,0,16.405028797371596,0.001520815,0.001520815
37.0,1369.0,0,0,1369.0,0,16.4655591966905,0.001541368,0.001541368
38.0,1444.0,0,0,1444.0,0,16.505190693168657,0.0015547920000000002,0.0015547920000000002
39.0,1521.0,0,0,1521.0,0,16.568901223907574,0.001572533,0.001572533
40.0,1600.0,0,0,1600.0,0,16.63359981205651,0.0015527140000000002,0.0015527140000000002
41.0,1681.0,0,0,1681.0,0,16.62876208167567,0.0015871160000000002,0.0015871160000000002
42.0,1764.0,0,0,1764.0,0,16.775349795140173,0.0016252340000000001,0.0016252340000000001
43.0,1849.0,0,0,1849.0,0,16.793719116216963,0.0016460420000000001,0.0016460420000000001
44.0,1936.0,0,0,1936.0,0,16.838133619927007,0.001643539,0.001643539
45.0,2025.0,0,0,2025.0,0,16.881670162195903,0.001740273,0.001740273
46.0,2116.0,0,0,2116.0,0,16.939776686401725,0.0017150650000000002,0.0017150650000000002
47.0,2209.0,0,0,2209.0,0,16.98363936981688,0.0016873320000000002,0.0016873320000000002
48.0,2304.0,0,0,2304.0,0,17.06793720448077,0.0022051360000000003,0.0022051360000000003
49.0,2401.0,0,0,2401.0,0,17.125287960404332,0.001798749,0.001798749
50.0,2500.0,0,0,2500.0,0,17.144977106097315,0.001736031,0.001736031
51.0,2601.0,0,0,2601.0,0,17.234890733373653,0.0017034370000000001,0.0017034370000000001
52.0,2704.0,0,0,2704.0,0,17.2752676015753,0.001803094,0.001803094
53.0,2809.0,0,0,2809.0,0,17.30073258547861,0.0018351860000000002,0.0018351860000000002
54.0,2916.0,0,0,2916.0,0,17.360840561890953,0.001776068,0.001776068
55.0,3025.0,0,0,3025.0,0,17.385346182467458,0.001767085,0.001767085
56.0,3136.0,0,0,3136.0,0,17.473572225015584,0.002858151,0.002858151
57.0,3249.0,0,0,3249.0,0,17.469082097066927,0.001811335,0.001811335
58.0,3364.0,0,0,3364.0,0,17.566440382419607,0.001907175,0.001907175
59.0,3481.0,0,0,3481.0,0,17.565589163537304,0.0018943360000000002,0.0018943360000000002
60.0,3600.0,0,0,3600.0,0,17.603751716274672,0.0018932180000000001,0.0018932180000000001
61.0,3721.0,0,0,3721.0,0,17.676773707970657,0.0019111640000000001,0.0019111640000000001
62.0,3844.0,0,0,3844.0,0,17.699918635212903,0.002362508,0.002362508
63.0,3969.0,0,0,3969.0,0,17.716471584479812,0.002012839,0.002012839
64.0,4096.0,0,0,4096.0,0,17.78078283968882,0.002471352,0.002471352
65.0,4225.0,0,0,4225.0,0,17.789986221052917,0.002484551,0.002484551
