N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.004602084044233,0.000827694,0.000827694
3.0,9.0,0,0,9.0,0,12.872163907880779,0.0004935370000000001,0.0004935370000000001
4.0,16.0,0,0,16.0,0,13.089031495449227,0.000492556,0.000492556
5.0,25.0,0,0,25.0,0,12.958232038654378,0.000501764,0.000501764
6.0,36.0,0,0,36.0,0,13.594453179581096,0.00046629,0.00046629
7.0,49.0,0,0,49.0,0,13.748578901513955,0.00046390600000000004,0.00046390600000000004
8.0,64.0,0,0,64.0,0,13.741098407049384,0.000539183,0.000539183
9.0,81.0,0,0,81.0,0,14.157482655701381,0.0005551600000000001,0.0005551600000000001
10.0,100.0,0,0,100.0,0,14.17962236625915,0.000544318,0.000544318
11.0,121.0,0,0,121.0,0,14.260289040595449,0.000508183,0.000508183
12.0,144.0,0,0,144.0,0,14.329679483654488,0.000511171,0.000511171
13.0,169.0,0,0,169.0,0,14.497061479883781,0.0005523990000000001,0.0005523990000000001
14.0,196.0,0,0,196.0,0,14.53370662623623,0.0006560800000000001,0.0006560800000000001
15.0,225.0,0,0,225.0,0,14.557790223931711,0.000544998,0.000544998
16.0,256.0,0,0,256.0,0,14.815904033056457,0.000564736,0.000564736
17.0,289.0,0,0,289.0,0,14.868864260218428,0.0006809040000000001,0.0006809040000000001
18.0,324.0,0,0,324.0,0,14.76080844100181,0.000574438,0.000574438
19.0,361.0,0,0,361.0,0,15.046550101403486,0.0005930190000000001,0.0005930190000000001
20.0,400.0,0,0,400.0,0,15.101604997762028,0.0005817110000000001,0.0005817110000000001
21.0,441.0,0,0,441.0,0,15.175486982143598,0.0006235100000000001,0.0006235100000000001
22.0,484.0,0,0,484.0,0,15.100461590471204,0.000611421,0.000611421
23.0,529.0,0,0,529.0,0,15.362559125231494,0.000613672,0.000613672
24.0,576.0,0,0,576.0,0,15.274271414362712,0.000631514,0.000631514
25.0,625.0,0,0,625.0,0,15.369271608775053,0.0011401760000000001,0.0011401760000000001
26.0,676.0,0,0,676.0,0,15.434093353124624,0.000709895,0.000709895
27.0,729.0,0,0,729.0,0,15.587827864445359,0.001881878,0.001881878
28.0,784.0,0,0,784.0,0,15.551461589593277,0.00070868,0.00070868
29.0,841.0,0,0,841.0,0,15.555757329142242,0.0006770210000000001,0.0006770210000000001
30.0,900.0,0,0,900.0,0,15.622826517531152,0.000696524,0.000696524
31.0,961.0,0,0,961.0,0,15.751884137721873,0.0007041440000000001,0.0007041440000000001
32.0,1024.0,0,0,1024.0,0,15.77387883828788,0.0007026830000000001,0.0007026830000000001
33.0,1089.0,0,0,1089.0,0,15.815875063254524,0.000733262,0.000733262
34.0,1156.0,0,0,1156.0,0,15.858259852300964,0.000920655,0.000920655
35.0,1225.0,0,0,1225.0,0,15.89478811084927,0.000737456,0.000737456
36.0,1296.0,0,0,1296.0,0,16.005243645966594,0.000752439,0.000752439
37.0,1369.0,0,0,1369.0,0,15.917641219602176,0.0007588180000000001,0.0007588180000000001
38.0,1444.0,0,0,1444.0,0,15.961593257531469,0.0008065990000000001,0.0008065990000000001
39.0,1521.0,0,0,1521.0,0,16.042136897984026,0.000813889,0.000813889
40.0,1600.0,0,0,1600.0,0,16.16957356362056,0.000957411,0.000957411
41.0,1681.0,0,0,1681.0,0,16.050153555123817,0.000833643,0.000833643
42.0,1764.0,0,0,1764.0,0,16.235483002018206,0.0008377570000000001,0.0008377570000000001
43.0,1849.0,0,0,1849.0,0,16.303415736340362,0.0008498690000000001,0.0008498690000000001
44.0,1936.0,0,0,1936.0,0,16.31575731781932,0.000858487,0.000858487
45.0,2025.0,0,0,2025.0,0,16.316266452827357,0.00108941,0.00108941
46.0,2116.0,0,0,2116.0,0,16.3970712255116,0.0009347130000000001,0.0009347130000000001
47.0,2209.0,0,0,2209.0,0,16.438058205042868,0.000940198,0.000940198
48.0,2304.0,0,0,2304.0,0,16.421251104599538,0.000981184,0.000981184
49.0,2401.0,0,0,2401.0,0,16.530120829153795,0.000894431,0.000894431
50.0,2500.0,0,0,2500.0,0,16.574276205400853,0.0011765990000000002,0.0011765990000000002
51.0,2601.0,0,0,2601.0,0,16.594577885968917,0.000932409,0.000932409
52.0,2704.0,0,0,2704.0,0,16.647281850337116,0.0009056250000000001,0.0009056250000000001
53.0,2809.0,0,0,2809.0,0,16.69481361706729,0.0009373070000000001,0.0009373070000000001
54.0,2916.0,0,0,2916.0,0,16.662220003189073,0.0009218780000000001,0.0009218780000000001
55.0,3025.0,0,0,3025.0,0,16.698812680021074,0.0009397860000000001,0.0009397860000000001
56.0,3136.0,0,0,3136.0,0,16.782760240962247,0.000962555,0.000962555
57.0,3249.0,0,0,3249.0,0,16.804037154339753,0.000981744,0.000981744
58.0,3364.0,0,0,3364.0,0,16.88928418507215,0.000984052,0.000984052
59.0,3481.0,0,0,3481.0,0,16.86435128160938,0.000971033,0.000971033
60.0,3600.0,0,0,3600.0,0,16.86995065582552,0.000997234,0.000997234
61.0,3721.0,0,0,3721.0,0,16.932429747364914,0.0010108460000000001,0.0010108460000000001
62.0,3844.0,0,0,3844.0,0,17.071326987647087,0.001023807,0.001023807
63.0,3969.0,0,0,3969.0,0,16.993622826798955,0.001024434,0.001024434
64.0,4096.0,0,0,4096.0,0,17.10741698016787,0.001097916,0.001097916
65.0,4225.0,0,0,4225.0,0,17.030990180079144,0.0010758480000000001,0.0010758480000000001
66.0,4356.0,0,0,4356.0,0,17.10833883761605,0.0017956080000000002,0.0017956080000000002
67.0,4489.0,0,0,4489.0,0,17.227054151080797,0.001148874,0.001148874
68.0,4624.0,0,0,4624.0,0,17.152479979418416,0.001107907,0.001107907
69.0,4761.0,0,0,4761.0,0,17.148216985429126,0.0012337960000000001,0.0012337960000000001
70.0,4900.0,0,0,4900.0,0,17.26770413319666,0.001114964,0.001114964
71.0,5041.0,0,0,5041.0,0,17.211746790385078,0.0011483510000000001,0.0011483510000000001
72.0,5184.0,0,0,5184.0,0,17.351367110188004,0.001131877,0.001131877
73.0,5329.0,0,0,5329.0,0,17.26001779180628,0.001146269,0.001146269
74.0,5476.0,0,0,5476.0,0,17.373032791871825,0.001168149,0.001168149
75.0,5625.0,0,0,5625.0,0,17.308554504616062,0.001156572,0.001156572
76.0,5776.0,0,0,5776.0,0,17.40972531405559,0.0011795780000000001,0.0011795780000000001
77.0,5929.0,0,0,5929.0,0,17.441074571694145,0.0011724980000000001,0.0011724980000000001
78.0,6084.0,0,0,6084.0,0,17.420624865537707,0.0012079880000000001,0.0012079880000000001
79.0,6241.0,0,0,6241.0,0,17.496046406686737,0.0012061530000000002,0.0012061530000000002
80.0,6400.0,0,0,6400.0,0,17.448653243130593,0.001211073,0.001211073
81.0,6561.0,0,0,6561.0,0,17.53657910009335,0.0012223800000000001,0.0012223800000000001
82.0,6724.0,0,0,6724.0,0,17.535584193857794,0.001235922,0.001235922
83.0,6889.0,0,0,6889.0,0,17.55861480922184,0.001248084,0.001248084
84.0,7056.0,0,0,7056.0,0,17.721719071647392,0.001373551,0.001373551
85.0,7225.0,0,0,7225.0,0,17.660378644144643,0.001328982,0.001328982
86.0,7396.0,0,0,7396.0,0,17.64067258330515,0.0012636300000000002,0.0012636300000000002
87.0,7569.0,0,0,7569.0,0,17.760824059547712,0.0012823300000000001,0.0012823300000000001
88.0,7744.0,0,0,7744.0,0,17.673801178919064,0.0013042980000000002,0.0013042980000000002
89.0,7921.0,0,0,7921.0,0,17.8400371256376,0.001309908,0.001309908
90.0,8100.0,0,0,8100.0,0,17.735886571608713,0.001388675,0.001388675
91.0,8281.0,0,0,8281.0,0,17.795316041892768,0.001321871,0.001321871
92.0,8464.0,0,0,8464.0,0,17.775634156478205,0.0013166780000000002,0.0013166780000000002
93.0,8649.0,0,0,8649.0,0,17.797866722868214,0.0013564730000000002,0.0013564730000000002
94.0,8836.0,0,0,8836.0,0,17.834945510303747,0.001349327,0.001349327
95.0,9025.0,0,0,9025.0,0,17.904942620808136,0.001373141,0.001373141
96.0,9216.0,0,0,9216.0,0,17.937694610813033,0.0013719070000000001,0.0013719070000000001
97.0,9409.0,0,0,9409.0,0,17.90497907381706,0.001427131,0.001427131
98.0,9604.0,0,0,9604.0,0,17.99110538313977,0.001442109,0.001442109
99.0,9801.0,0,0,9801.0,0,17.98543176239108,0.001457932,0.001457932
100.0,10000.0,0,0,10000.0,0,18.035272732597505,0.001470139,0.001470139
101.0,10201.0,0,0,10201.0,0,18.06752171803713,0.001473322,0.001473322
102.0,10404.0,0,0,10404.0,0,18.054461575954686,0.0021992630000000003,0.0021992630000000003
103.0,10609.0,0,0,10609.0,0,18.142931383331103,0.001528602,0.001528602
104.0,10816.0,0,0,10816.0,0,18.148421191046452,0.001503688,0.001503688
105.0,11025.0,0,0,11025.0,0,18.116283161169775,0.001519813,0.001519813
106.0,11236.0,0,0,11236.0,0,18.17890787589896,0.001570208,0.001570208
107.0,11449.0,0,0,11449.0,0,18.174290777036582,0.001526587,0.001526587
108.0,11664.0,0,0,11664.0,0,18.193553106745984,0.0015453600000000002,0.0015453600000000002
109.0,11881.0,0,0,11881.0,0,18.269427239310197,0.0015564930000000002,0.0015564930000000002
110.0,12100.0,0,0,12100.0,0,18.26743380918012,0.001570652,0.001570652
111.0,12321.0,0,0,12321.0,0,18.32583700472023,0.0015825260000000001,0.0015825260000000001
112.0,12544.0,0,0,12544.0,0,18.239319138185074,0.001578689,0.001578689
113.0,12769.0,0,0,12769.0,0,18.409154098860117,0.001592733,0.001592733
114.0,12996.0,0,0,12996.0,0,18.411771711960245,0.001600665,0.001600665
115.0,13225.0,0,0,13225.0,0,18.313968979568543,0.0016127650000000002,0.0016127650000000002
116.0,13456.0,0,0,13456.0,0,18.407645452640576,0.00160235,0.00160235
117.0,13689.0,0,0,13689.0,0,18.392383546994328,0.00162099,0.00162099
118.0,13924.0,0,0,13924.0,0,18.436590489908976,0.001658331,0.001658331
119.0,14161.0,0,0,14161.0,0,18.453807477315088,0.0016528360000000002,0.0016528360000000002
120.0,14400.0,0,0,14400.0,0,18.452319776779436,0.0018197520000000002,0.0018197520000000002
121.0,14641.0,0,0,14641.0,0,18.504815038584677,0.0017198860000000001,0.0017198860000000001
122.0,14884.0,0,0,14884.0,0,18.541482617154475,0.001835858,0.001835858
123.0,15129.0,0,0,15129.0,0,18.55186495604457,0.0017726220000000002,0.0017726220000000002
124.0,15376.0,0,0,15376.0,0,18.625714818444006,0.001732456,0.001732456
125.0,15625.0,0,0,15625.0,0,18.538078763176006,0.001842976,0.001842976
126.0,15876.0,0,0,15876.0,0,18.630309770434895,0.0017612980000000001,0.0017612980000000001
127.0,16129.0,0,0,16129.0,0,18.697722937545223,0.0017708320000000002,0.0017708320000000002
128.0,16384.0,0,0,16384.0,0,18.603918502959218,0.001780595,0.001780595
129.0,16641.0,0,0,16641.0,0,18.691986670340356,0.0012152290000000002,0.0012152290000000002
130.0,16900.0,0,0,16900.0,0,18.7180120946052,0.001234667,0.001234667
131.0,17161.0,0,0,17161.0,0,18.734281722245644,0.0012505670000000002,0.0012505670000000002
132.0,17424.0,0,0,17424.0,0,18.755411768436726,0.0012622450000000002,0.0012622450000000002
133.0,17689.0,0,0,17689.0,0,18.75564895414197,0.001237968,0.001237968
134.0,17956.0,0,0,17956.0,0,18.800664301819815,0.0012882800000000002,0.0012882800000000002
135.0,18225.0,0,0,18225.0,0,18.802268287452097,0.0012445800000000001,0.0012445800000000001
136.0,18496.0,0,0,18496.0,0,18.840044937645967,0.001273363,0.001273363
137.0,18769.0,0,0,18769.0,0,18.863470818060144,0.001281875,0.001281875
138.0,19044.0,0,0,19044.0,0,18.8583927589731,0.001343687,0.001343687
139.0,19321.0,0,0,19321.0,0,18.899438736182084,0.0013375020000000002,0.0013375020000000002
140.0,19600.0,0,0,19600.0,0,18.91662124429058,0.0013317180000000002,0.0013317180000000002
141.0,19881.0,0,0,19881.0,0,18.9090256451065,0.0013000420000000002,0.0013000420000000002
142.0,20164.0,0,0,20164.0,0,18.88044569385041,0.001302367,0.001302367
143.0,20449.0,0,0,20449.0,0,18.988973101432055,0.001335899,0.001335899
144.0,20736.0,0,0,20736.0,0,19.05294059264438,0.001337964,0.001337964
145.0,21025.0,0,0,21025.0,0,18.985603749006103,0.0014867460000000002,0.0014867460000000002
146.0,21316.0,0,0,21316.0,0,19.069040540567464,0.0013289040000000001,0.0013289040000000001
147.0,21609.0,0,0,21609.0,0,19.048492547924273,0.001335299,0.001335299
148.0,21904.0,0,0,21904.0,0,19.099901812353636,0.001345454,0.001345454
149.0,22201.0,0,0,22201.0,0,19.11122974897612,0.00135355,0.00135355
150.0,22500.0,0,0,22500.0,0,19.175664278765602,0.001361123,0.001361123
151.0,22801.0,0,0,22801.0,0,19.146261431302527,0.001371389,0.001371389
152.0,23104.0,0,0,23104.0,0,19.177587652999826,0.0013503780000000002,0.0013503780000000002
153.0,23409.0,0,0,23409.0,0,19.223724596116202,0.001376085,0.001376085
154.0,23716.0,0,0,23716.0,0,19.15703016842707,0.00136681,0.00136681
