N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.680091762751983,0.000928365,0.000928365
3.0,9.0,0,0,9.0,0,12.690379470751747,0.000668527,0.000668527
4.0,16.0,0,0,16.0,0,13.424693686755212,0.0021169030000000003,0.0021169030000000003
5.0,25.0,0,0,25.0,0,13.684804665844986,0.000667192,0.000667192
6.0,36.0,0,0,36.0,0,13.843046649881977,0.000704527,0.000704527
7.0,49.0,0,0,49.0,0,14.153506898252232,0.000725948,0.000725948
8.0,64.0,0,0,64.0,0,14.177724421268552,0.0009543700000000001,0.0009543700000000001
9.0,81.0,0,0,81.0,0,14.483354702344467,0.0008326970000000001,0.0008326970000000001
10.0,100.0,0,0,100.0,0,14.543236725309134,0.000898296,0.000898296
11.0,121.0,0,0,121.0,0,14.712888092515842,0.0008394260000000001,0.0008394260000000001
12.0,144.0,0,0,144.0,0,14.747184094134989,0.0008265620000000001,0.0008265620000000001
13.0,169.0,0,0,169.0,0,14.799053391510327,0.0009878900000000002,0.0009878900000000002
14.0,196.0,0,0,196.0,0,14.849202787653544,0.001272457,0.001272457
15.0,225.0,0,0,225.0,0,14.941904605085403,0.0008656930000000001,0.0008656930000000001
16.0,256.0,0,0,256.0,0,14.993313441786945,0.000898978,0.000898978
17.0,289.0,0,0,289.0,0,15.181602567225932,0.001110878,0.001110878
18.0,324.0,0,0,324.0,0,15.260678029166566,0.001002193,0.001002193
19.0,361.0,0,0,361.0,0,15.396266690986511,0.000957839,0.000957839
20.0,400.0,0,0,400.0,0,15.422461757944333,0.001003945,0.001003945
21.0,441.0,0,0,441.0,0,15.525336865409564,0.001036726,0.001036726
22.0,484.0,0,0,484.0,0,15.574818085131302,0.001030338,0.001030338
23.0,529.0,0,0,529.0,0,15.674051817220924,0.0011085230000000001,0.0011085230000000001
24.0,576.0,0,0,576.0,0,15.714307540403889,0.001081403,0.001081403
25.0,625.0,0,0,625.0,0,15.825257190984969,0.0011314950000000002,0.0011314950000000002
26.0,676.0,0,0,676.0,0,15.906990447720199,0.001124795,0.001124795
27.0,729.0,0,0,729.0,0,15.953777145597597,0.001389038,0.001389038
28.0,784.0,0,0,784.0,0,16.009097456341802,0.001233345,0.001233345
29.0,841.0,0,0,841.0,0,16.065018755107694,0.001190097,0.001190097
30.0,900.0,0,0,900.0,0,16.088667958326038,0.0011221570000000001,0.0011221570000000001
31.0,961.0,0,0,961.0,0,16.177741938806342,0.001128036,0.001128036
32.0,1024.0,0,0,1024.0,0,16.197863277106283,0.0012228240000000002,0.0012228240000000002
33.0,1089.0,0,0,1089.0,0,16.254828807260196,0.001900924,0.001900924
34.0,1156.0,0,0,1156.0,0,16.302386378165792,0.001697261,0.001697261
35.0,1225.0,0,0,1225.0,0,16.356706228746035,0.001823404,0.001823404
36.0,1296.0,0,0,1296.0,0,16.382030924875313,0.0017096230000000002,0.0017096230000000002
37.0,1369.0,0,0,1369.0,0,16.436381437454123,0.0018379440000000002,0.0018379440000000002
38.0,1444.0,0,0,1444.0,0,16.472265522301413,0.0018181220000000001,0.0018181220000000001
39.0,1521.0,0,0,1521.0,0,16.55238267432388,0.0019303740000000001,0.0019303740000000001
40.0,1600.0,0,0,1600.0,0,16.58585322216804,0.0018689580000000002,0.0018689580000000002
41.0,1681.0,0,0,1681.0,0,16.64583285839126,0.0018828270000000001,0.0018828270000000001
42.0,1764.0,0,0,1764.0,0,16.731885516116783,0.002323805,0.002323805
43.0,1849.0,0,0,1849.0,0,16.780281620960483,0.002014023,0.002014023
44.0,1936.0,0,0,1936.0,0,16.80163235052523,0.002104242,0.002104242
45.0,2025.0,0,0,2025.0,0,16.86985622451372,0.0024064340000000003,0.0024064340000000003
46.0,2116.0,0,0,2116.0,0,16.89874704946263,0.002010421,0.002010421
47.0,2209.0,0,0,2209.0,0,16.957956469658615,0.0020591750000000003,0.0020591750000000003
48.0,2304.0,0,0,2304.0,0,17.010510466939152,0.003218776,0.003218776
49.0,2401.0,0,0,2401.0,0,17.115048769966254,0.002046792,0.002046792
50.0,2500.0,0,0,2500.0,0,17.14544285248339,0.00203022,0.00203022
51.0,2601.0,0,0,2601.0,0,17.206353722026893,0.002527198,0.002527198
52.0,2704.0,0,0,2704.0,0,17.23718606310149,0.0021328790000000003,0.0021328790000000003
53.0,2809.0,0,0,2809.0,0,17.298344372715405,0.002068583,0.002068583
54.0,2916.0,0,0,2916.0,0,17.350663817721113,0.00205745,0.00205745
