N,I,H,G,P,K,psnr,total_time,epoch_time
2.0,4.0,0,0,4.0,0,12.489530746087363,0.002451809,0.002451809
3.0,9.0,0,0,9.0,0,12.726891949902875,0.0006306720000000001,0.0006306720000000001
4.0,16.0,0,0,16.0,0,13.522624904659832,0.000608323,0.000608323
5.0,25.0,0,0,25.0,0,13.405439280421849,0.0006406080000000001,0.0006406080000000001
6.0,36.0,0,0,36.0,0,13.958633549195136,0.000653585,0.000653585
7.0,49.0,0,0,49.0,0,14.13642133500934,0.000652469,0.000652469
8.0,64.0,0,0,64.0,0,14.268018337362339,0.00079757,0.00079757
9.0,81.0,0,0,81.0,0,14.52777996110845,0.0007577650000000001,0.0007577650000000001
10.0,100.0,0,0,100.0,0,14.499748942438163,0.0007609170000000001,0.0007609170000000001
11.0,121.0,0,0,121.0,0,14.583991323613146,0.00090061,0.00090061
12.0,144.0,0,0,144.0,0,14.710183222253448,0.0008160550000000001,0.0008160550000000001
13.0,169.0,0,0,169.0,0,14.823647695034134,0.000745112,0.000745112
14.0,196.0,0,0,196.0,0,14.849688076671615,0.000806046,0.000806046
15.0,225.0,0,0,225.0,0,14.93368788686174,0.0008155300000000001,0.0008155300000000001
16.0,256.0,0,0,256.0,0,15.086547010609578,0.000853247,0.000853247
17.0,289.0,0,0,289.0,0,15.19964438304952,0.000872295,0.000872295
18.0,324.0,0,0,324.0,0,15.090676009516915,0.000887506,0.000887506
19.0,361.0,0,0,361.0,0,15.357362966088719,0.0008894780000000001,0.0008894780000000001
20.0,400.0,0,0,400.0,0,15.439210385511322,0.0008994280000000001,0.0008994280000000001
21.0,441.0,0,0,441.0,0,15.515183584878669,0.000921102,0.000921102
22.0,484.0,0,0,484.0,0,15.491586985141172,0.002177636,0.002177636
23.0,529.0,0,0,529.0,0,15.673202531126245,0.0009657260000000001,0.0009657260000000001
24.0,576.0,0,0,576.0,0,15.739937039586279,0.0009379190000000001,0.0009379190000000001
25.0,625.0,0,0,625.0,0,15.722938048599453,0.000935706,0.000935706
26.0,676.0,0,0,676.0,0,15.81253092770546,0.000957038,0.000957038
27.0,729.0,0,0,729.0,0,15.954691721546531,0.0009578000000000001,0.0009578000000000001
28.0,784.0,0,0,784.0,0,15.954865735852044,0.002665091,0.002665091
29.0,841.0,0,0,841.0,0,15.974596489909567,0.0010369300000000001,0.0010369300000000001
30.0,900.0,0,0,900.0,0,16.07577173625463,0.00099335,0.00099335
31.0,961.0,0,0,961.0,0,16.172510666651306,0.001014913,0.001014913
32.0,1024.0,0,0,1024.0,0,16.16687203082243,0.0010798650000000002,0.0010798650000000002
33.0,1089.0,0,0,1089.0,0,16.229870379568133,0.0013227690000000001,0.0013227690000000001
34.0,1156.0,0,0,1156.0,0,16.287075328757723,0.001351832,0.001351832
35.0,1225.0,0,0,1225.0,0,16.33968177137566,0.0013867290000000002,0.0013867290000000002
36.0,1296.0,0,0,1296.0,0,16.3885460092451,0.0013660900000000001,0.0013660900000000001
37.0,1369.0,0,0,1369.0,0,16.400515950839292,0.0014252940000000001,0.0014252940000000001
38.0,1444.0,0,0,1444.0,0,16.426642782006464,0.0014040200000000002,0.0014040200000000002
39.0,1521.0,0,0,1521.0,0,16.50882294338962,0.001445099,0.001445099
40.0,1600.0,0,0,1600.0,0,16.592152671106106,0.001447694,0.001447694
41.0,1681.0,0,0,1681.0,0,16.53133481398363,0.0027768740000000004,0.0027768740000000004
42.0,1764.0,0,0,1764.0,0,16.708921452738373,0.001542334,0.001542334
43.0,1849.0,0,0,1849.0,0,16.73067741900899,0.001723846,0.001723846
44.0,1936.0,0,0,1936.0,0,16.77096889465453,0.0015222220000000002,0.0015222220000000002
45.0,2025.0,0,0,2025.0,0,16.804694086769043,0.002883516,0.002883516
46.0,2116.0,0,0,2116.0,0,16.88807654970811,0.001600597,0.001600597
47.0,2209.0,0,0,2209.0,0,16.905861423180543,0.001559756,0.001559756
48.0,2304.0,0,0,2304.0,0,16.96911062653503,0.001558057,0.001558057
49.0,2401.0,0,0,2401.0,0,17.025242220446973,0.001641344,0.001641344
50.0,2500.0,0,0,2500.0,0,17.069002303370308,0.001655998,0.001655998
