N,I,H,G,P,K,psnr,total_time,epoch_time
10,10,1,1,11,0.1,15.812398918353727,6.311983616,0.0006311983616
10,10,1,10,110,1.0,18.651011407839917,6.3548328960000005,0.0006354832896000001
10,10,1,2,22,0.2,17.06927665188539,6.2232975360000005,0.0006223297536
10,10,1,3,33,0.3,17.125710283528345,6.265704448,0.0006265704448
10,10,1,4,44,0.4,17.74846578303899,6.460688384,0.0006460688384
10,10,1,5,55,0.5,17.992318339056084,6.30200576,0.000630200576
10,10,1,90,990,9.0,20.342312759454792,7.027108864000001,0.0007027108864
10,10,10,10,1010,1.0,20.741973071863832,20.616671232,0.0020616671232
10,10,10,9,828,0.9,21.167108326921614,23.59474176,0.002359474176
10,10,2,10,210,1.0,19.87717792708611,7.962031104,0.0007962031104
10,10,2,26,962,2.6,21.80107995931982,8.032765952,0.0008032765952
10,10,3,10,310,1.0,21.01302204945226,9.796690944,0.0009796690944
10,10,3,19,931,1.9,20.880881483087354,10.176833536,0.0010176833536
10,10,4,10,410,1.0,20.492335415854605,11.408689152,0.0011408689152000002
10,10,4,16,944,1.6,21.59726417968543,11.657969664000001,0.0011657969664000001
10,10,5,10,510,1.0,21.18081772009059,12.692888576000001,0.0012692888576
10,10,5,14,938,1.4,20.73596743364568,13.502655488,0.0013502655488
10,10,6,10,610,1.0,20.52420290554641,14.599327744000002,0.0014599327744000002
10,10,6,13,988,1.3,21.009794959492424,15.253841920000001,0.0015253841920000002
10,10,7,10,710,1.0,21.249093289867922,16.21789696,0.001621789696
10,10,7,12,996,1.2,21.208190733576618,17.738686464,0.0017738686464
10,10,8,10,810,1.0,21.03805006762443,17.862727680000003,0.0017862727680000002
10,10,8,11,968,1.1,20.79569929482611,18.048249856,0.0018048249856000003
10,10,9,10,910,1.0,21.804253957182933,19.64502016,0.0019645020160000003
100,100,1,9,909,0.09,27.764775437379793,6.692924928,0.0006692924928
100,100,10,6,930,0.06,27.624158278851375,21.784322048,0.0021784322048
100,100,2,9,990,0.09,29.72773380353386,8.31243008,0.000831243008
100,100,3,8,936,0.08,27.88076322607315,10.475118592000001,0.0010475118592
100,100,4,8,1000,0.08,29.149938556793455,12.096349184000001,0.0012096349184000002
100,100,5,7,903,0.07,28.180918742227785,13.502373888000001,0.0013502373888
100,100,6,7,952,0.07,28.2151258220288,14.940319744000002,0.0014940319744000002
100,100,7,6,822,0.06,28.315640070227637,17.329319936,0.0017329319936
100,100,8,6,858,0.06,27.265215924770704,18.527219712,0.0018527219712
100,100,9,6,894,0.06,26.44119729536943,19.660652544,0.0019660652544
2,2,1,1,3,0.5,14.016221695627774,6.135362048,0.0006135362048
2,2,1,2,6,1.0,14.514060214985934,6.2405125120000005,0.0006240512512000001
2,2,1,3,9,1.5,14.514060214985934,6.257294848000001,0.0006257294848000001
2,2,1,4,12,2.0,15.403902847022026,6.4492974080000005,0.0006449297408
2,2,1,5,15,2.5,15.307705544169883,6.519905280000001,0.000651990528
2,2,1,6,18,3.0,15.307705544169883,6.3373783040000005,0.0006337378304000001
2,2,10,2,42,1.0,5.513921865460432,20.764368896,0.0020764368896
2,2,2,2,10,1.0,14.016221695627774,7.899167232000001,0.0007899167232000001
2,2,3,2,14,1.0,5.513921865460432,9.962702848000001,0.0009962702848
2,2,4,2,18,1.0,14.016221695627774,11.44113664,0.001144113664
2,2,5,2,22,1.0,14.016221695627774,13.16375552,0.001316375552
2,2,6,2,26,1.0,5.513921865460432,14.436933632,0.0014436933632
2,2,7,2,30,1.0,5.513921865460432,16.0201472,0.00160201472
2,2,8,2,34,1.0,5.513921865460432,17.776316416,0.0017776316416000001
2,2,9,2,38,1.0,5.513921865460432,19.107704832,0.0019107704832
20,20,1,10,210,0.5,20.412508831349683,6.5994972160000005,0.0006599497216000001
20,20,1,16,336,0.8,21.55140070301539,6.467508224,0.0006467508224000001
20,20,1,20,420,1.0,21.814154089634524,6.461961728,0.0006461961728
20,20,1,25,525,1.25,22.612518589016815,7.278005248,0.0007278005248
20,20,1,39,819,1.95,22.57665490518238,6.959624192000001,0.0006959624192000001
20,20,1,40,840,2.0,23.315739334321588,6.4745216,0.00064745216
20,20,1,47,987,2.35,22.91844160525113,7.41938176,0.000741938176
20,20,10,9,918,0.45,24.027554398338555,21.281701888,0.0021281701888
20,20,2,10,310,0.5,22.972362095285707,8.302917632,0.0008302917632
20,20,2,16,592,0.8,24.62832357714398,8.139823104000001,0.0008139823104000002
20,20,2,20,820,1.0,25.400762639261735,8.29577984,0.0008295779839999999
20,20,2,22,946,1.1,24.557164719128274,9.194319872000001,0.0009194319872000001
20,20,2,25,1150,1.25,25.76231582698295,8.098922496,0.0008098922496000001
20,20,3,17,935,0.85,24.523318832109243,10.597513216000001,0.0010597513216000002
20,20,3,20,1220,1.0,25.740192901722168,9.816576000000001,0.0009816576000000001
