N,I,H,G,P,K,psnr,total_time,epoch_time
10,10,1,1,11,0.1,15.768972602234449,6.351773184000001,0.0006351773184000001
10,10,1,2,22,0.2,17.534434533103816,6.310926848,0.0006310926848
10,10,1,3,33,0.3,17.70419817034921,6.4129100800000005,0.0006412910080000001
10,10,1,4,44,0.4,18.262750149245477,6.299359744,0.0006299359744
10,10,1,5,55,0.5,18.765232852701647,6.3678325760000005,0.0006367832576000001
2,2,1,1,3,0.5,13.162930214525389,6.223803392000001,0.0006223803392000001
2,2,1,2,6,1.0,15.400776806421364,6.126918656,0.0006126918656
2,2,1,3,9,1.5,15.539983079534124,6.29770752,0.000629770752
2,2,1,4,12,2.0,15.539982789857982,6.476869120000001,0.0006476869120000001
2,2,1,5,15,2.5,15.549673120771283,6.315650048,0.0006315650048
2,2,1,6,18,3.0,15.539983948562675,6.428889600000001,0.0006428889600000001
2,2,2,2,10,1.0,15.362347511217294,7.942392832,0.0007942392832
3,3,1,1,4,0.3333333333333333,15.12138452711204,6.291961856,0.0006291961856
3,3,1,2,8,0.6666666666666666,15.636586206290506,6.13280256,0.000613280256
3,3,1,3,12,1.0,15.783837577611974,6.374706176,0.0006374706176
3,3,1,4,16,1.3333333333333333,15.895266870001423,6.473649152,0.0006473649152
3,3,1,5,20,1.6666666666666667,16.003807769034303,6.369001472000001,0.0006369001472
3,3,1,6,24,2.0,16.573347083557593,6.411909120000001,0.0006411909120000001
4,4,1,1,5,0.25,15.340651407765883,6.165773312000001,0.0006165773312
4,4,1,2,10,0.5,15.704013408354676,6.276018176,0.0006276018176
4,4,1,3,15,0.75,15.846071010780065,6.170042368000001,0.0006170042368000001
4,4,1,4,20,1.0,16.922964183978447,6.285696000000001,0.0006285696
4,4,1,5,25,1.25,17.365666420044434,6.25283072,0.0006252830720000001
4,4,1,6,30,1.5,17.560940656387505,6.3498414080000005,0.0006349841408
5,5,1,1,6,0.2,15.53154635065594,6.308471808,0.0006308471808
5,5,1,2,12,0.4,15.547405417725619,6.223747072,0.0006223747072
5,5,1,3,18,0.6,16.004162342006328,6.250580992000001,0.0006250580992
5,5,1,4,24,0.8,17.001365693202523,6.335927296,0.0006335927296000001
5,5,1,5,30,1.0,17.28275426197036,6.262114304000001,0.0006262114304
5,5,1,6,36,1.2,17.544570923974142,6.2403251200000005,0.0006240325120000001
6,6,1,1,7,0.16666666666666666,15.468150666883671,6.134373376,0.0006134373376
6,6,1,2,14,0.3333333333333333,16.643400894583134,6.172843008,0.0006172843008
6,6,1,3,21,0.5,17.133007263736566,6.303737344,0.0006303737344
6,6,1,4,28,0.6666666666666666,17.96812335439302,6.428167168000001,0.0006428167168
6,6,1,5,35,0.8333333333333334,17.620335249203357,6.32257536,0.000632257536
7,7,1,1,8,0.14285714285714285,15.731252435502363,6.254645760000001,0.000625464576
7,7,1,2,16,0.2857142857142857,16.68320292952776,6.2645309440000005,0.0006264530944000001
7,7,1,3,24,0.42857142857142855,17.079197789638695,6.502059008000001,0.0006502059008000001
7,7,1,4,32,0.5714285714285714,17.546620264161298,6.419044864,0.0006419044864
7,7,1,5,40,0.7142857142857143,17.88063033041412,6.386954240000001,0.000638695424
8,8,1,1,9,0.125,15.734251902757832,6.10095104,0.000610095104
8,8,1,2,18,0.25,17.002134290140518,6.274093056000001,0.0006274093056000001
8,8,1,3,27,0.375,17.715777370267247,6.473587200000001,0.0006473587200000001
8,8,1,4,36,0.5,18.2324121718205,6.411225088,0.0006411225088
8,8,1,5,45,0.625,17.923614104423635,6.31430656,0.0006314306560000001
9,9,1,1,10,0.1111111111111111,15.745865931075155,6.244122624,0.0006244122624
9,9,1,2,20,0.2222222222222222,17.0160399562954,6.204900352,0.0006204900352
9,9,1,3,30,0.3333333333333333,17.68653872560177,6.350628352,0.0006350628352
9,9,1,4,40,0.4444444444444444,18.119205818646908,6.3469568,0.00063469568
9,9,1,5,50,0.5555555555555556,18.61428438100775,6.2680391680000005,0.0006268039168000001
