N,I,H,G,P,K,psnr,total_time,epoch_time
10,20,1,1,21,0.05,14.111351548390822,58.74622464,0.005874622464
10,20,1,10,210,0.5,17.398707279492257,113.28300646400001,0.0113283006464
10,20,1,2,42,0.1,15.035677110086631,73.137340416,0.0073137340416
10,20,1,3,63,0.15,15.683965159740286,77.97878784000001,0.007797878784000001
10,20,1,4,84,0.2,16.15400142088044,83.085344768,0.0083085344768
10,20,1,5,105,0.25,16.491614778848827,86.073131008,0.0086073131008
10,20,1,6,126,0.3,16.65186110594213,90.14053273600001,0.009014053273600001
10,20,1,7,147,0.35,16.943542863388437,94.61219328,0.009461219328
10,20,1,8,168,0.4,17.150453937407,97.44629760000001,0.009744629760000002
10,20,1,9,189,0.45,17.265285740701884,108.49501184,0.010849501184
10,20,2,1,22,0.05,5.5469927552114315,77.295632384,0.0077295632384
10,20,2,2,46,0.1,14.111351548390822,120.23275520000001,0.012023275520000001
10,20,2,4,100,0.2,16.46206179679561,133.17337088000002,0.013317337088000002
10,20,3,3,81,0.15,15.522415617692612,174.81434726400002,0.017481434726400003
10,20,4,3,90,0.15,15.808874703875835,223.19657779200003,0.022319657779200003
10,20,5,3,99,0.15,15.926467357128956,272.553361408,0.0272553361408
10,20,6,2,62,0.1,5.5469927552114315,298.89855488,0.029889855488
11,22,1,5,115,0.22727272727272727,16.680264799267597,87.08975001600001,0.0087089750016
11,22,2,4,108,0.18181818181818182,16.484760425361724,134.77325209600002,0.013477325209600002
11,22,3,3,87,0.13636363636363635,15.606348934404197,176.038281216,0.0176038281216
11,22,4,3,96,0.13636363636363635,15.858680047730306,224.44269568,0.022444269568
11,22,5,3,105,0.13636363636363635,15.476000583543296,273.761550336,0.027376155033600004
11,22,6,3,114,0.13636363636363635,15.943664332703236,322.30591692800004,0.03223059169280001
12,24,1,5,125,0.20833333333333334,16.65749567918241,85.81931008000001,0.008581931008000001
12,24,2,4,116,0.16666666666666666,16.751834094551743,133.38732134400001,0.013338732134400002
12,24,3,4,132,0.16666666666666666,16.761891017199822,185.281118208,0.0185281118208
12,24,4,3,102,0.125,16.259906541760785,220.35192217600002,0.022035192217600003
12,24,5,3,111,0.125,16.143657028689113,272.177004544,0.0272177004544
12,24,6,3,120,0.125,16.166952349564447,320.952172544,0.0320952172544
13,26,1,6,162,0.23076923076923078,16.909973544552074,97.0256384,0.009702563840000001
13,26,2,5,160,0.19230769230769232,16.92531837961215,147.657883648,0.0147657883648
13,26,3,4,140,0.15384615384615385,17.07724443417992,194.761719808,0.0194761719808
13,26,4,4,156,0.15384615384615385,16.863052739312486,247.264804864,0.024726480486400002
13,26,5,3,117,0.11538461538461539,15.754425534036749,278.834642944,0.0278834642944
13,26,6,3,126,0.11538461538461539,16.084385648008187,327.450492928,0.032745049292800005
2,4,1,1,5,0.25,13.29559884549024,42.160787456,0.0042160787456
2,4,1,10,50,2.5,15.369597756835585,100.61589708800001,0.0100615897088
2,4,1,2,10,0.5,13.535817643205139,63.257812992000005,0.006325781299200001
2,4,1,3,15,0.75,13.579134126533335,68.002377728,0.0068002377728
2,4,1,4,20,1.0,14.87047785654691,71.64292300800001,0.007164292300800001
2,4,1,5,25,1.25,14.881066491434789,75.38320179200001,0.007538320179200001
2,4,1,6,30,1.5,15.220501702557057,78.96159027200001,0.0078961590272
2,4,1,7,35,1.75,15.218865421908987,83.06996019200001,0.008306996019200001
2,4,1,8,40,2.0,15.14527959001211,85.604876288,0.0085604876288
2,4,1,9,45,2.25,15.257621877361167,96.16914841600001,0.0096169148416
2,4,2,1,6,0.25,5.5469927552114315,60.486889472,0.0060486889472
2,4,2,2,14,0.5,13.29559884549024,108.19730636800001,0.010819730636800001
2,4,2,3,24,0.75,14.857982939008469,118.48704000000001,0.011848704000000002
3,6,1,1,7,0.16666666666666666,13.474536444775913,42.636599296,0.0042636599296
3,6,1,10,70,1.6666666666666667,16.077946974073743,100.85351424000001,0.010085351424000001
3,6,1,2,14,0.3333333333333333,14.701812635725366,63.526649856000006,0.006352664985600001
3,6,1,3,21,0.5,14.794827136586616,68.2283008,0.00682283008
3,6,1,4,28,0.6666666666666666,15.25001297734912,71.978172416,0.007197817241600001
3,6,1,5,35,0.8333333333333334,15.50736752838722,75.65193216,0.0075651932160000004
3,6,1,6,42,1.0,15.575577666976844,79.45026764800001,0.0079450267648
3,6,1,7,49,1.1666666666666667,15.612059234465354,83.218055168,0.0083218055168
3,6,1,8,56,1.3333333333333333,15.95938904735241,85.831876608,0.0085831876608
3,6,1,9,63,1.5,15.960779672558731,96.44195020800001,0.0096441950208
3,6,2,1,8,0.16666666666666666,5.5469927552114315,61.237415936000005,0.0061237415936
3,6,2,2,18,0.3333333333333333,13.845962684481908,108.276031488,0.0108276031488
3,6,2,3,30,0.5,15.301579640998808,118.615670784,0.0118615670784
4,8,1,1,9,0.125,13.827773121328129,42.958635008,0.0042958635008
4,8,1,10,90,1.25,16.41388720604369,108.41397657600001,0.010841397657600001
4,8,1,2,18,0.25,14.831680301590382,63.102562304,0.0063102562304000005
4,8,1,3,27,0.375,15.026909522379853,67.953713152,0.0067953713152
4,8,1,4,36,0.5,15.02599688450575,71.517126656,0.007151712665600001
4,8,1,5,45,0.625,15.485676058802424,75.216896,0.007521689600000001
4,8,1,6,54,0.75,15.7480333482054,79.064449024,0.0079064449024
4,8,1,7,63,0.875,16.16701894831451,87.87122585600001,0.0087871225856
4,8,1,8,72,1.0,16.18535297893594,91.562754048,0.009156275404800001
4,8,1,9,81,1.125,16.33937010491716,104.42752,0.010442752
4,8,2,1,10,0.125,5.5469927552114315,61.597995008000005,0.0061597995008
4,8,2,2,22,0.25,14.515731170039608,109.860118528,0.0109860118528
4,8,2,3,36,0.375,15.126346809189023,118.49205350400001,0.0118492053504
5,10,1,1,11,0.1,13.837211053381997,48.844959744,0.0048844959744
5,10,1,10,110,1.0,16.682158644526332,106.20624896000001,0.010620624896
5,10,1,2,22,0.2,14.46082824237357,66.513420288,0.006651342028800001
5,10,1,3,33,0.3,15.272027540468326,72.89487360000001,0.007289487360000001
5,10,1,4,44,0.4,15.351611839901572,76.56497152,0.007656497152
5,10,1,5,55,0.5,16.12259762189103,80.184475648,0.0080184475648
5,10,1,6,66,0.6,16.26226050975612,84.13748428800001,0.008413748428800001
5,10,1,7,77,0.7,16.425664433170084,88.401248256,0.0088401248256
5,10,1,8,88,0.8,16.33641160648502,91.056939008,0.0091056939008
5,10,1,9,99,0.9,16.745301188130327,101.78520678400001,0.010178520678400001
5,10,2,1,12,0.1,5.5469927552114315,67.416604672,0.006741660467200001
5,10,2,2,26,0.2,14.386954785006889,115.141443584,0.0115141443584
5,10,2,3,42,0.3,15.131575536263146,123.442282496,0.012344228249600001
6,12,1,1,13,0.08333333333333333,14.039004502013622,50.023784448,0.0050023784448
6,12,1,10,130,0.8333333333333334,16.767863576271868,106.399137792,0.0106399137792
6,12,1,2,26,0.16666666666666666,14.683638686250578,67.439931392,0.006743993139200001
6,12,1,3,39,0.25,15.451449217392403,73.22488012800001,0.007322488012800001
6,12,1,4,52,0.3333333333333333,16.010469227601106,76.76290662400001,0.007676290662400001
6,12,1,5,65,0.4166666666666667,16.285488858470714,80.65445888,0.008065445888000001
6,12,1,6,78,0.5,16.226896276532884,84.659355648,0.008465935564800001
6,12,1,7,91,0.5833333333333334,16.29035433372878,88.78982758400001,0.008878982758400001
6,12,1,8,104,0.6666666666666666,16.609665718868346,91.24723097600001,0.0091247230976
6,12,1,9,117,0.75,16.734637954751022,102.04908748800001,0.010204908748800002
6,12,2,1,14,0.08333333333333333,5.5469927552114315,68.556947456,0.0068556947456
6,12,2,2,30,0.16666666666666666,14.741717761411895,115.44605491200001,0.0115446054912
6,12,3,2,34,0.16666666666666666,5.5469927552114315,158.319280128,0.0158319280128
7,14,1,1,15,0.07142857142857142,14.08339668796926,51.214983168,0.005121498316800001
7,14,1,10,150,0.7142857142857143,17.198011222069304,107.14832896,0.010714832896
7,14,1,2,30,0.14285714285714285,15.066878134225178,69.107777536,0.0069107777536
7,14,1,3,45,0.21428571428571427,15.431649262849199,73.84154112,0.007384154112
7,14,1,4,60,0.2857142857142857,15.993750927837205,77.603201024,0.0077603201024
7,14,1,5,75,0.35714285714285715,16.54161888806536,81.35149977600001,0.0081351499776
7,14,1,6,90,0.42857142857142855,16.484459774867254,85.110964224,0.0085110964224
7,14,1,7,105,0.5,16.644166199933593,89.29258700800001,0.008929258700800002
7,14,1,8,120,0.5714285714285714,17.028135244398314,91.83202508800001,0.0091832025088
7,14,1,9,135,0.6428571428571429,16.938177998924804,102.67537408000001,0.010267537408000002
7,14,2,1,16,0.07142857142857142,5.5469927552114315,69.85926246400001,0.006985926246400001
7,14,2,2,34,0.14285714285714285,14.859857016544066,116.168441856,0.0116168441856
7,14,3,2,38,0.14285714285714285,5.5469927552114315,158.822760448,0.0158822760448
7,14,4,2,42,0.14285714285714285,14.725625518592821,205.119782912,0.020511978291200002
7,14,5,2,46,0.14285714285714285,15.06700179027986,250.0898816,0.025008988160000002
8,16,1,1,17,0.0625,14.105712683412419,51.049627648000005,0.0051049627648000005
8,16,1,10,170,0.625,17.451876376767707,106.50979532800001,0.010650979532800002
8,16,1,2,34,0.125,14.942324634031653,68.098777088,0.0068098777088
8,16,1,3,51,0.1875,15.899163976927284,72.777572352,0.007277757235200001
8,16,1,4,68,0.25,16.37902074148058,76.44397568000001,0.007644397568000001
8,16,1,5,85,0.3125,16.457818890385138,80.10894540800001,0.008010894540800001
8,16,1,6,102,0.375,16.813960630604974,83.981320192,0.0083981320192
8,16,1,7,119,0.4375,16.812409138011038,88.1082368,0.00881082368
8,16,1,8,136,0.5,17.035776017538396,90.80702566400001,0.009080702566400001
8,16,1,9,153,0.5625,17.321264578439404,101.861441536,0.0101861441536
8,16,2,1,18,0.0625,5.5469927552114315,69.64573798400001,0.006964573798400001
8,16,2,2,38,0.125,14.105712683412419,115.13300582400001,0.0115133005824
8,16,2,3,60,0.1875,15.616018554692594,121.214124032,0.0121214124032
8,16,3,2,42,0.125,5.5469927552114315,157.809491968,0.0157809491968
8,16,4,2,46,0.125,15.089909700684023,204.110839808,0.0204110839808
8,16,5,2,50,0.125,15.089859819554377,249.69071820800002,0.024969071820800003
8,16,6,2,54,0.125,5.5469927552114315,293.838061568,0.0293838061568
9,18,1,1,19,0.05555555555555555,14.118692242026443,58.3643136,0.00583643136
9,18,1,10,190,0.5555555555555556,17.40337076892795,112.41921740800001,0.011241921740800001
9,18,1,2,38,0.1111111111111111,15.067639350265353,73.02361088,0.007302361088000001
9,18,1,3,57,0.16666666666666666,15.549905385545799,77.726441472,0.007772644147200001
9,18,1,4,76,0.2222222222222222,16.360393742332032,81.354899456,0.0081354899456
9,18,1,5,95,0.2777777777777778,16.57185788952486,85.249654784,0.0085249654784
9,18,1,6,114,0.3333333333333333,16.818924079490653,89.517719552,0.0089517719552
9,18,1,7,133,0.3888888888888889,16.986609080834462,93.772988416,0.0093772988416
9,18,1,8,152,0.4444444444444444,16.967801714112923,96.625360896,0.0096625360896
9,18,1,9,171,0.5,17.204265425556827,107.638644736,0.010763864473600001
9,18,2,1,20,0.05555555555555555,5.5469927552114315,76.868018176,0.007686801817600001
9,18,2,2,42,0.1111111111111111,14.11869265967759,120.157560832,0.0120157560832
9,18,2,3,66,0.16666666666666666,15.805171672943086,126.19541708800001,0.012619541708800001
9,18,3,3,75,0.16666666666666666,15.771498050239474,174.449721344,0.0174449721344
9,18,4,2,50,0.1111111111111111,15.076204036453024,209.309646848,0.0209309646848
9,18,5,2,54,0.1111111111111111,15.159512638945484,254.46988185600003,0.025446988185600004
9,18,6,2,58,0.1111111111111111,5.5469927552114315,298.61845401600004,0.029861845401600005
