N,I,H,G,P,K,psnr,total_time,epoch_time
10,20,1,1,21,0.05,15.243322819675429,58.811359232,0.0058811359232
10,20,1,10,210,0.5,20.079536649780305,113.360830464,0.0113360830464
10,20,1,2,42,0.1,17.344373538320788,73.202761728,0.0073202761728
10,20,1,3,63,0.15,18.165603344994224,77.99755571200001,0.007799755571200001
10,20,1,4,84,0.2,18.82429405105273,83.166691328,0.0083166691328
10,20,1,5,105,0.25,19.19791504372211,86.044442624,0.0086044442624
10,20,1,6,126,0.3,19.30004077295503,90.110713856,0.0090110713856
10,20,1,7,147,0.35,19.55521294144682,94.62618521600001,0.009462618521600002
10,20,1,8,168,0.4,19.82768593029319,97.436237824,0.0097436237824
10,20,1,9,189,0.45,19.98919927096761,108.50202419200001,0.0108502024192
10,20,2,1,22,0.05,5.795096179549537,77.415661568,0.0077415661568
10,20,2,2,46,0.1,15.24332254912595,120.13227212800001,0.012013227212800001
10,20,2,4,100,0.2,18.94040604281519,133.890588672,0.0133890588672
10,20,3,3,81,0.15,18.518133849391265,174.75062988800002,0.017475062988800003
10,20,4,3,90,0.15,18.201803146427046,223.20881664,0.022320881664
10,20,5,3,99,0.15,17.56071230572075,272.182525952,0.0272182525952
10,20,6,2,62,0.1,5.795096179549537,298.720559104,0.029872055910400003
11,22,1,5,115,0.22727272727272727,19.211431199962902,87.08537548800001,0.0087085375488
11,22,2,4,108,0.18181818181818182,18.91831467424884,134.771646464,0.013477164646400001
11,22,3,3,87,0.13636363636363635,18.49534125828437,175.96833792,0.017596833792
11,22,4,3,96,0.13636363636363635,18.366361591206722,224.48426188800002,0.0224484261888
11,22,5,3,105,0.13636363636363635,18.63369280996105,273.73191168,0.027373191168
11,22,6,3,114,0.13636363636363635,18.352618134796415,321.455620096,0.032145562009600004
12,24,1,5,125,0.20833333333333334,19.327264748836882,85.83733248,0.008583733248
12,24,2,4,116,0.16666666666666666,19.095658650497928,135.40634624,0.013540634624
12,24,3,4,132,0.16666666666666666,19.320190598163958,184.99059712000002,0.018499059712000002
12,24,4,3,102,0.125,18.20265711593827,220.21708185600002,0.0220217081856
