N,I,H,G,P,K,psnr,total_time,epoch_time
2,4,1,1,5,0.25,14.20969508627607,41.25184,0.0041251840000000005
2,4,1,2,10,0.5,14.20969508627607,64.045023232,0.006404502323200001
2,4,1,3,15,0.75,15.079719739710205,67.652542464,0.0067652542464
2,4,10,1,14,0.25,4.471261668842014,211.79270758400003,0.021179270758400003
2,4,2,1,6,0.25,4.471261668842014,60.344098816000006,0.006034409881600001
2,4,2,2,14,0.5,4.471261668842014,108.15546982400001,0.0108155469824
2,4,3,1,7,0.25,4.471261668842014,79.29588940800001,0.0079295889408
2,4,4,1,8,0.25,4.471261668842014,98.30848921600001,0.0098308489216
2,4,5,1,9,0.25,4.471261668842014,116.98488934400001,0.011698488934400002
2,4,6,1,10,0.25,4.471261668842014,138.00013824,0.013800013824000002
2,4,7,1,11,0.25,4.471261668842014,157.068869632,0.0157068869632
2,4,8,1,12,0.25,4.471261668842014,176.65310720000002,0.01766531072
2,4,9,1,13,0.25,4.471261668842014,194.908389376,0.0194908389376
3,6,1,1,7,0.16666666666666666,14.486404138917619,42.4880128,0.00424880128
3,6,1,2,14,0.3333333333333333,15.213961081880251,63.14355097600001,0.006314355097600001
3,6,10,1,16,0.16666666666666666,4.471261668842014,215.45425305600003,0.021545425305600004
3,6,2,1,8,0.16666666666666666,4.471261668842014,61.35185408,0.006135185408000001
3,6,3,1,9,0.16666666666666666,4.471261668842014,81.244168192,0.0081244168192
3,6,4,1,10,0.16666666666666666,4.471261668842014,100.892106752,0.0100892106752
3,6,5,1,11,0.16666666666666666,4.471261668842014,119.78616832,0.011978616832
3,6,6,1,12,0.16666666666666666,4.471261668842014,139.12080384,0.013912080384
3,6,7,1,13,0.16666666666666666,4.471261668842014,156.30344192,0.015630344192
3,6,8,1,14,0.16666666666666666,4.471261668842014,175.164424192,0.0175164424192
3,6,9,1,15,0.16666666666666666,4.471261668842014,196.135469056,0.0196135469056
4,8,1,1,9,0.125,14.671016043538943,43.455795200000004,0.00434557952
4,8,2,1,10,0.125,4.471261668842014,62.670880768,0.0062670880768
4,8,3,1,11,0.125,4.471261668842014,81.831952384,0.0081831952384
4,8,4,1,12,0.125,4.471261668842014,101.312495616,0.010131249561600001
4,8,5,1,13,0.125,4.471261668842014,118.60010598400001,0.0118600105984
4,8,6,1,14,0.125,4.471261668842014,137.79902464,0.013779902464
4,8,7,1,15,0.125,4.471261668842014,158.192173056,0.0158192173056
4,8,8,1,16,0.125,4.471261668842014,177.545445376,0.0177545445376
5,10,1,1,11,0.1,14.699709497362026,49.198915584000005,0.004919891558400001
5,10,2,1,12,0.1,4.471261668842014,68.491665408,0.0068491665408000005
5,10,3,1,13,0.1,4.471261668842014,86.58873548800001,0.008658873548800001
5,10,4,1,14,0.1,4.471261668842014,105.51699865600001,0.0105516998656
5,10,5,1,15,0.1,4.471261668842014,125.68805376,0.012568805376
5,10,6,1,16,0.1,4.471261668842014,144.91869184,0.014491869184
6,12,1,1,13,0.08333333333333333,14.788849735088165,49.966284800000004,0.00499662848
6,12,2,1,14,0.08333333333333333,4.471261668842014,68.684521472,0.0068684521472
6,12,3,1,15,0.08333333333333333,4.471261668842014,88.686567424,0.0088686567424
6,12,4,1,16,0.08333333333333333,4.471261668842014,107.894915072,0.0107894915072
7,14,1,1,15,0.07142857142857142,14.911688069350886,51.704111104000006,0.0051704111104000005
7,14,2,1,16,0.07142857142857142,4.471261668842014,70.981074944,0.0070981074944
