N,I,H,G,P,K,psnr,total_time,epoch_time
2,4,1,1,5,0.25,6.069116692624145,41.424736256,0.0041424736256000004
2,4,1,2,10,0.5,14.004580000565031,63.79996774400001,0.0063799967744000005
2,4,1,3,15,0.75,14.004580000565031,67.553820672,0.0067553820672
2,4,10,1,14,0.25,4.471261668842014,211.61826713600001,0.0211618267136
2,4,2,1,6,0.25,4.471261668842014,60.345679872000005,0.006034567987200001
2,4,2,2,14,0.5,4.471261668842014,108.429869056,0.0108429869056
2,4,3,1,7,0.25,4.471261668842014,79.31400192000001,0.007931400192000001
2,4,4,1,8,0.25,4.471261668842014,98.372083712,0.009837208371200001
2,4,5,1,9,0.25,4.471261668842014,117.1421184,0.01171421184
2,4,6,1,10,0.25,4.471261668842014,138.139697152,0.0138139697152
2,4,7,1,11,0.25,4.471261668842014,157.170368512,0.0157170368512
2,4,8,1,12,0.25,4.471261668842014,176.68102553600002,0.0176681025536
2,4,9,1,13,0.25,4.471261668842014,195.147415552,0.019514741555200003
3,6,1,1,7,0.16666666666666666,14.307433875222364,42.756161536,0.0042756161536
3,6,1,2,14,0.3333333333333333,14.587424445722759,63.11092224,0.006311092224
3,6,10,1,16,0.16666666666666666,4.471261668842014,215.621255168,0.0215621255168
3,6,2,1,8,0.16666666666666666,4.471261668842014,61.330878464,0.0061330878464
3,6,3,1,9,0.16666666666666666,4.471261668842014,81.33791744,0.008133791744
3,6,4,1,10,0.16666666666666666,4.471261668842014,100.843618304,0.0100843618304
3,6,5,1,11,0.16666666666666666,4.471261668842014,119.77149644800001,0.011977149644800001
3,6,6,1,12,0.16666666666666666,4.471261668842014,139.062706176,0.0139062706176
3,6,7,1,13,0.16666666666666666,4.471261668842014,156.16352256000002,0.015616352256000002
3,6,8,1,14,0.16666666666666666,4.471261668842014,175.26944563200001,0.017526944563200003
3,6,9,1,15,0.16666666666666666,4.471261668842014,196.043292672,0.019604329267200002
4,8,1,1,9,0.125,14.25626119972323,43.294851072,0.0043294851072
4,8,2,1,10,0.125,4.471261668842014,62.634754048000005,0.0062634754048
4,8,3,1,11,0.125,4.471261668842014,81.795989504,0.0081795989504
4,8,4,1,12,0.125,4.471261668842014,101.25449625600001,0.0101254496256
4,8,5,1,13,0.125,4.471261668842014,118.48989081600001,0.011848989081600002
4,8,6,1,14,0.125,4.471261668842014,137.45569792,0.013745569792000001
4,8,7,1,15,0.125,4.471261668842014,157.95801292800002,0.0157958012928
4,8,8,1,16,0.125,4.471261668842014,177.45600512000001,0.017745600512
5,10,1,1,11,0.1,14.141830666708676,49.219944448,0.0049219944448
5,10,2,1,12,0.1,4.471261668842014,68.537073664,0.0068537073664
5,10,3,1,13,0.1,4.471261668842014,86.496681984,0.0086496681984
5,10,4,1,14,0.1,4.471261668842014,105.39078451200001,0.010539078451200001
5,10,5,1,15,0.1,4.471261668842014,125.56381388800001,0.012556381388800001
5,10,6,1,16,0.1,4.471261668842014,145.13088102400002,0.014513088102400002
6,12,1,1,13,0.08333333333333333,14.72529412851144,49.965953024,0.0049965953024
6,12,2,1,14,0.08333333333333333,4.471261668842014,68.647931904,0.0068647931904000006
6,12,3,1,15,0.08333333333333333,4.471261668842014,88.67413196800001,0.008867413196800001
6,12,4,1,16,0.08333333333333333,4.471261668842014,107.859820544,0.0107859820544
7,14,1,1,15,0.07142857142857142,14.82204452645882,51.676532736000006,0.005167653273600001
7,14,2,1,16,0.07142857142857142,4.471261668842014,70.765764608,0.0070765764608
