N,I,H,G,P,K,psnr,total_time,epoch_time
2,4,1,1,5,0.25,14.191597001456122,41.957359616000005,0.004195735961600001
2,4,1,2,10,0.5,14.95154571289147,63.902244864000004,0.0063902244864
2,4,1,3,15,0.75,14.95154571289147,67.552055296,0.0067552055296
2,4,10,1,14,0.25,4.471261668842014,212.25381888,0.021225381888
2,4,2,1,6,0.25,4.471261668842014,60.400828416,0.0060400828416
2,4,2,2,14,0.5,4.471261668842014,108.228370432,0.010822837043200001
2,4,3,1,7,0.25,4.471261668842014,79.392751616,0.0079392751616
2,4,4,1,8,0.25,4.471261668842014,98.406137856,0.0098406137856
2,4,5,1,9,0.25,4.471261668842014,117.028102144,0.0117028102144
2,4,6,1,10,0.25,4.471261668842014,137.993568256,0.0137993568256
2,4,7,1,11,0.25,4.471261668842014,157.224042496,0.015722404249600003
2,4,8,1,12,0.25,4.471261668842014,176.637919232,0.0176637919232
2,4,9,1,13,0.25,4.471261668842014,195.674832896,0.0195674832896
3,6,1,1,7,0.16666666666666666,14.416320093674251,43.192188928,0.0043192188928
3,6,1,2,14,0.3333333333333333,15.366494632907834,63.038746624000005,0.0063038746624
3,6,10,1,16,0.16666666666666666,4.471261668842014,215.99941427200002,0.021599941427200002
3,6,2,1,8,0.16666666666666666,4.471261668842014,61.347237888,0.0061347237888
3,6,3,1,9,0.16666666666666666,4.471261668842014,82.59988684800001,0.0082599886848
3,6,4,1,10,0.16666666666666666,4.471261668842014,100.81855078400001,0.0100818550784
3,6,5,1,11,0.16666666666666666,4.471261668842014,119.82079590400001,0.011982079590400001
3,6,6,1,12,0.16666666666666666,4.471261668842014,139.14062848,0.013914062848
3,6,7,1,13,0.16666666666666666,4.471261668842014,157.00385792,0.015700385792
3,6,8,1,14,0.16666666666666666,4.471261668842014,175.613149184,0.0175613149184
3,6,9,1,15,0.16666666666666666,4.471261668842014,195.064528896,0.019506452889600002
4,8,1,1,9,0.125,14.663174538695355,43.281887232,0.0043281887232
4,8,2,1,10,0.125,4.471261668842014,62.685224960000006,0.006268522496000001
4,8,3,1,11,0.125,4.471261668842014,81.825062912,0.0081825062912
4,8,4,1,12,0.125,4.471261668842014,101.31241369600001,0.0101312413696
4,8,5,1,13,0.125,4.471261668842014,118.620766208,0.0118620766208
4,8,6,1,14,0.125,4.471261668842014,137.58991564800002,0.013758991564800002
4,8,7,1,15,0.125,4.471261668842014,157.94307072,0.015794307072
4,8,8,1,16,0.125,4.471261668842014,177.54767360000002,0.017754767360000003
5,10,1,1,11,0.1,14.566351419144512,49.191993344000004,0.004919199334400001
5,10,2,1,12,0.1,4.471261668842014,68.57410969600001,0.0068574109696000005
5,10,3,1,13,0.1,4.471261668842014,86.532358144,0.0086532358144
5,10,4,1,14,0.1,4.471261668842014,105.557213184,0.010555721318400001
5,10,5,1,15,0.1,4.471261668842014,125.601488896,0.012560148889600001
5,10,6,1,16,0.1,4.471261668842014,145.138352128,0.0145138352128
6,12,1,1,13,0.08333333333333333,14.767777317375739,49.833951232000004,0.0049833951232
6,12,2,1,14,0.08333333333333333,4.471261668842014,68.687814656,0.0068687814656
6,12,3,1,15,0.08333333333333333,4.471261668842014,88.701018112,0.0088701018112
6,12,4,1,16,0.08333333333333333,4.471261668842014,107.921702912,0.0107921702912
7,14,1,1,15,0.07142857142857142,14.98276843477826,51.612442624,0.005161244262400001
7,14,2,1,16,0.07142857142857142,4.471261668842014,70.75956326400001,0.0070759563264
