N,I,H,G,P,K,psnr,total_time,epoch_time
10,20,1,1,21,0.05,12.44572958049834,58.827276288,0.0058827276288
10,20,1,10,210,0.5,14.445633132958378,113.29393459200001,0.011329393459200001
10,20,1,2,42,0.1,12.730268348052887,73.141551104,0.0073141551104
10,20,1,3,63,0.15,13.070023782352557,78.000832512,0.0078000832512
10,20,1,4,84,0.2,13.442618134407297,81.48690534400001,0.0081486905344
10,20,1,5,105,0.25,13.561195724057594,86.05476454400001,0.008605476454400001
10,20,1,6,126,0.3,13.710914110519761,90.10905907200001,0.0090109059072
10,20,1,7,147,0.35,14.110445619694502,94.638219264,0.0094638219264
10,20,1,8,168,0.4,14.233798253566574,97.43220736,0.009743220736000001
10,20,1,9,189,0.45,14.299472635515864,108.504891392,0.0108504891392
10,20,2,1,22,0.05,4.5339196701710796,77.471965184,0.0077471965184
10,20,2,2,46,0.1,12.44572958049834,120.138473472,0.0120138473472
10,20,2,4,100,0.2,13.535915151673299,133.833293824,0.013383329382400002
10,20,3,3,81,0.15,12.810997285705437,174.757249024,0.0174757249024
10,20,4,3,90,0.15,13.08358113137632,223.251808256,0.0223251808256
10,20,5,3,99,0.15,13.210923273665676,272.003530752,0.027200353075200003
10,20,6,2,62,0.1,4.5339196701710796,298.818961408,0.0298818961408
11,22,1,5,115,0.22727272727272727,13.662780491030343,86.772482048,0.0086772482048
11,22,2,4,108,0.18181818181818182,13.602293954055549,134.270091264,0.0134270091264
11,22,3,3,87,0.13636363636363635,12.46440007258756,175.854583808,0.0175854583808
11,22,4,3,96,0.13636363636363635,13.27685553658303,224.51039436800002,0.0224510394368
11,22,5,3,105,0.13636363636363635,12.46440007258756,273.727045632,0.027372704563199998
11,22,6,3,114,0.13636363636363635,12.464400357941884,327.214301184,0.0327214301184
12,24,1,5,125,0.20833333333333334,13.7920738008739,85.912133632,0.0085912133632
12,24,2,4,116,0.16666666666666666,13.64458534127717,135.36886784,0.013536886784
12,24,3,4,132,0.16666666666666666,13.762473864730207,182.907994112,0.0182907994112
12,24,4,3,102,0.125,13.31005108721875,220.26125312000002,0.022026125312000003
12,24,5,3,111,0.125,12.481499877980495,272.338026496,0.0272338026496
12,24,6,3,120,0.125,13.23930627952633,316.039430144,0.0316039430144
