N,I,H,G,P,K,psnr,total_time,epoch_time
12,24,1,5,125,0.20833333333333334,17.028320917350086,64.437256192,0.0016923326030045174
12,24,2,4,116,0.16666666666666666,16.935997393160065,61.633019904,0.002618336373847657
12,24,3,4,132,0.16666666666666666,17.00793539741661,77.353353216,0.0035594217382661514
12,24,4,3,102,0.125,16.698110299450853,59.434479616000004,0.004253218807499642
12,24,5,3,111,0.125,16.380630506459692,59.539075072,0.005148657477689381
12,24,6,3,120,0.125,16.546560240142032,65.573814272,0.006100457184110151
12,24,7,3,129,0.125,16.563440488229805,65.63115008,0.006982780091499096
12,24,8,3,138,0.125,16.53791610445634,59.701624832,0.007819466251735428
128,256,1,63,16191,0.24609375,22.451802703731182,1242.3856128,0.015028615822325446
128,256,2,52,16068,0.203125,22.696233979150836,1418.6383933440002,0.02043382008676865
128,256,3,46,16054,0.1796875,23.002283615427793,1459.546750976,0.024920975139173938
128,256,4,42,16086,0.1640625,23.11453767006426,1131.0661632000001,0.029863921508158635
128,256,5,39,16107,0.15234375,22.711975096312802,1336.5667430400001,0.033001647976296296
128,256,6,37,16354,0.14453125,22.532179110392995,609.2061409280001,0.03746655233259533
128,256,7,35,16345,0.13671875,22.336437580412564,539.688435712,0.041109722403412555
128,256,8,33,16104,0.12890625,22.320843757609914,3765.8034176,0.04590315972598064
16,32,1,7,231,0.21875,17.366742698676813,60.878675968,0.0021030356490258396
16,32,2,6,234,0.1875,17.40507057691072,1179.436187648,0.003159173046464722
16,32,3,5,215,0.15625,17.291606427804435,1189.687721984,0.0041071300609809985
16,32,4,5,240,0.15625,17.376101678633027,111.746392064,0.00518280191382589
16,32,5,4,196,0.125,17.123171955483066,1094.7256647680001,0.005695792718838288
16,32,6,4,212,0.125,17.049564853046075,126.16685977600001,0.006659638943045659
16,32,7,4,228,0.125,17.030658218820562,795.705868288,0.007555054246427589
16,32,8,4,244,0.125,17.16726053132671,204.651347968,0.00851295124658902
192,384,1,95,36575,0.24739583333333334,24.06058915194396,650.058727424,0.030166538002877167
192,384,2,79,36656,0.20572916666666666,24.849703397269014,5838.294482944,0.042651090206699056
192,384,3,70,36750,0.18229166666666666,25.481904635098434,3958.773645312,0.05310012535125347
192,384,4,63,36162,0.1640625,25.540555300052148,2638.56979968,0.04706353095890411
192,384,5,59,36639,0.15364583333333334,25.07168096552973,1859.431038976,0.05071682729116548
192,384,6,55,36300,0.14322916666666666,24.50640667071829,1079.7100564480002,0.054177834133574194
192,384,7,52,36244,0.13541666666666666,24.241642263538292,1019.7787607040001,0.059797042377389475
192,384,8,50,36750,0.13020833333333334,24.213690889631287,2704.162684928,0.06472695401713821
24,48,1,11,539,0.22916666666666666,18.216419694644003,153.344999424,0.002650597193300261
24,48,2,9,522,0.1875,18.214981888530843,59.377524736000005,0.003801621405723798
24,48,3,8,520,0.16666666666666666,18.026731610508563,64.558350336,0.005084535743561471
24,48,4,7,490,0.14583333333333334,18.00122337519018,65.623957504,0.0060740427160311
24,48,5,7,539,0.14583333333333334,17.999505209766326,157.39314176000002,0.00727661311881646
