D,sig,type,gen,N,H,G,seed,opt,mlr,epoch_count,P,last_mse,last_epoch,best_mse,best_epoch,worst_mse,worst_epoch,time_min,time_max,time_total,I
1,0823_greece,simple,sinc,56,0,1,0,adam,1,10000,56,0.014134268276393414,10000,0.014134266413748264,3196,0.2871379852294922,0,332941.0,1954266.0,4307217408.0,56
1,0823_greece,simple,sinc,16,0,1,0,adam,1,10000,16,0.020566776394844055,10000,0.020566772669553757,2896,0.2791098952293396,0,344771.0,1942577.0,4348656640.0,16
1,0823_greece,simple,sinc,269,0,1,0,adam,1,10000,269,0.004862929694354534,10000,0.0048629287630319595,3328,0.2780247926712036,0,342123.0,3710543.0,4413826048.0,269
1,0823_greece,simple,sinc,265,0,1,0,adam,1,10000,265,0.004890906624495983,10000,0.004890906158834696,3280,0.27773499488830566,0,354257.0,3713250.0,4522270720.0,265
1,0823_greece,simple,sinc,105,0,1,0,adam,1,10000,105,0.010761315934360027,10000,0.010761314071714878,3222,0.2773543894290924,0,328073.0,1916529.0,4177156096.0,105
1,0823_greece,simple,sinc,197,0,1,0,adam,1,10000,197,0.005978749133646488,10000,0.005978748667985201,3239,0.27873849868774414,0,360083.0,3867196.0,4517924352.0,197
1,0823_greece,simple,sinc,185,0,1,0,adam,1,10000,185,0.007548364344984293,10000,0.007548363413661718,7671,0.27785614132881165,0,353732.0,3696527.0,4583538176.0,185
1,0823_greece,simple,sinc,11,0,1,0,adam,1,10000,11,0.026045721024274826,10000,0.026045717298984528,2801,0.23259299993515015,0,331540.0,1950644.0,4217847808.0,11
1,0823_greece,simple,sinc,86,0,1,0,adam,1,10000,86,0.01207109447568655,10000,0.012071092613041401,3140,0.2764199674129486,0,330333.0,1851310.0,4243516416.0,86
1,0823_greece,simple,sinc,170,0,1,0,adam,1,10000,170,0.007944352924823761,10000,0.007944352924823761,3810,0.2779599130153656,0,324930.0,3835382.0,3944848128.0,170
1,0823_greece,simple,sinc,210,0,1,0,adam,1,10000,210,0.005647917743772268,10000,0.005647916812449694,3333,0.2773585021495819,0,343219.0,3848042.0,4409452544.0,210
1,0823_greece,simple,sinc,110,0,1,0,adam,1,10000,110,0.010557476431131363,10000,0.010557476431131363,3092,0.2782938778400421,0,331051.0,2028244.0,4255185152.0,110
1,0823_greece,simple,sinc,84,0,1,0,adam,1,10000,84,0.012142781168222427,10000,0.012142780236899853,3209,0.27945542335510254,0,342735.0,2571554.0,4312795136.0,84
1,0823_greece,simple,sinc,99,0,1,0,adam,1,10000,99,0.010957904160022736,10000,0.010957903228700161,3368,0.27927911281585693,0,329490.0,1991180.0,4129486848.0,99
